Apache, Michael Dukakis, Democrat, 61.5
Cochise, George H W Bush, Republican, 56.38
Coconino, George H W Bush, Republican, 51.8
Gila, George H W Bush, Republican, 51.38
Graham, George H W Bush, Republican, 59.18
Greenlee, Michael Dukakis, Democrat, 52.48
La Paz, George H W Bush, Republican, 58.55
Maricopa, George H W Bush, Republican, 64.9
Mohave, George H W Bush, Republican, 62.4
Navajo, George H W Bush, Republican, 52.82
Pima, George H W Bush, Republican, 50.28
Pinal, George H W Bush, Republican, 51.29
Santa Cruz, George H W Bush, Republican, 49.63
Yavapai, George H W Bush, Republican, 64.44
Yuma, George H W Bush, Republican, 58.95
