Orange, George H W Bush, Republican, 67.75
Sutter, George H W Bush, Republican, 67.47
Inyo, George H W Bush, Republican, 64.34
Modoc, George H W Bush, Republican, 62.68
Glenn, George H W Bush, Republican, 62.06
Ventura, George H W Bush, Republican, 61.64
Kern, George H W Bush, Republican, 61.48
Mono, George H W Bush, Republican, 61.38
Yuba, George H W Bush, Republican, 61.37
San Diego, George H W Bush, Republican, 60.19
San Bernardino, George H W Bush, Republican, 59.99
Tulare, George H W Bush, Republican, 59.61
Placer, George H W Bush, Republican, 59.59
Colusa, George H W Bush, Republican, 59.49
Riverside, George H W Bush, Republican, 59.46
Shasta, George H W Bush, Republican, 59.36
El Dorado, George H W Bush, Republican, 59.33
Lassen, George H W Bush, Republican, 58.59
Nevada, George H W Bush, Republican, 57.76
Tehama, George H W Bush, Republican, 56.52
Kings, George H W Bush, Republican, 56.41
Calaveras, George H W Bush, Republican, 56.28
Butte, George H W Bush, Republican, 56.04
Amador, George H W Bush, Republican, 55.87
San Luis Obispo, George H W Bush, Republican, 55.85
Alpine, George H W Bush, Republican, 55.43
Imperial, George H W Bush, Republican, 55.16
Trinity, George H W Bush, Republican, 54.63
Madera, George H W Bush, Republican, 54.59
Mariposa, George H W Bush, Republican, 54.53
San Joaquin, George H W Bush, Republican, 54.39
Santa Barbara, George H W Bush, Republican, 54.24
San Benito, George H W Bush, Republican, 54.11
Tuolumne, George H W Bush, Republican, 54
Stanislaus, George H W Bush, Republican, 53.07
Merced, George H W Bush, Republican, 51.2
Plumas, George H W Bush, Republican, 51.06
Sacramento, George H W Bush, Republican, 51.01
Siskiyou, George H W Bush, Republican, 50.88
Sierra, George H W Bush, Republican, 50.71
Napa, George H W Bush, Republican, 50.19
Fresno, George H W Bush, Republican, 49.95
Monterey, George H W Bush, Republican, 49.83
Del Norte, George H W Bush, Republican, 49.73
Lake, Michael Dukakis, Democrat, 50.39
Contra Costa, Michael Dukakis, Democrat, 51.1
Solano, Michael Dukakis, Democrat, 51.23
Santa Clara, Michael Dukakis, Democrat, 51.3
Los Angeles, Michael Dukakis, Democrat, 51.89
San Mateo, Michael Dukakis, Democrat, 55.74
Mendocino, Michael Dukakis, Democrat, 55.42
Sonoma, Michael Dukakis, Democrat, 56.48
Yolo, Michael Dukakis, Democrat, 57.01
Humboldt, Michael Dukakis, Democrat, 57.11
Marin, Michael Dukakis, Democrat, 58.85
Santa Cruz, Michael Dukakis, Democrat, 61.53
Alameda, Michael Dukakis, Democrat, 64.78
San Francisco, Michael Dukakis, Democrat, 72.78
