Androscoggin, George H W Bush, Republican, 51.72
Aroostook, George H W Bush, Republican, 53.38
Cumberland, George H W Bush, Republican, 52.93
Franklin, George H W Bush, Republican, 54.16
Hancock, George H W Bush, Republican, 56.07
Kennebec, George H W Bush, Republican, 53.6
Knox, George H W Bush, Republican, 57.54
Lincoln, George H W Bush, Republican, 61.79
Oxford, George H W Bush, Republican, 55.91
Penobscot, George H W Bush, Republican, 54.76
Piscataquis, George H W Bush, Republican, 58.27
Sagadahoc, George H W Bush, Republican, 58.22
Somerset, George H W Bush, Republican, 56.58
Waldo, George H W Bush, Republican, 55.73
Washington, George H W Bush, Republican, 56.93
York, George H W Bush, Republican, 59.98
