Adair, George H W Bush, Republican, 56.65
Andrew, George H W Bush, Republican, 52.08
Atchison, George H W Bush, Republican, 54.37
Audrain, Michael Dukakis, Democrat, 50.61
Barry, George H W Bush, Republican, 63
Barton, George H W Bush, Republican, 67.35
Bates, George H W Bush, Republican, 51.57
Benton, George H W Bush, Republican, 56.42
Bollinger, George H W Bush, Republican, 58.94
Boone, Michael Dukakis, Democrat, 51.35
Buchanan, Michael Dukakis, Democrat, 54.57
Butler, George H W Bush, Republican, 58
Caldwell, George H W Bush, Republican, 54.38
Callaway, George H W Bush, Republican, 56.01
Camden, George H W Bush, Republican, 66.1
Cape Girardeau, George H W Bush, Republican, 67.53
Carroll, George H W Bush, Republican, 54.59
Carter, George H W Bush, Republican, 56.53
Cass, George H W Bush, Republican, 55.75
Cedar, George H W Bush, Republican, 62.52
Chariton, Michael Dukakis, Democrat, 51.53
Christian, George H W Bush, Republican, 61.66
Clark, Michael Dukakis, Democrat, 56.11
Clay, George H W Bush, Republican, 50.26
Clinton, Michael Dukakis, Democrat, 52.48
Cole, George H W Bush, Republican, 68.16
Cooper, George H W Bush, Republican, 59.64
Crawford, George H W Bush, Republican, 55.19
Dade, George H W Bush, Republican, 61.97
Dallas, George H W Bush, Republican, 55.55
Daviess, George H W Bush, Republican, 50.17
DeKalb, Michael Dukakis, Democrat, 51.26
Dent, George H W Bush, Republican, 54.92
Douglas, George H W Bush, Republican, 64.85
Dunklin, Michael Dukakis, Democrat, 51.17
Franklin, George H W Bush, Republican, 58.06
Gasconade, George H W Bush, Republican, 72.01
Gentry, Michael Dukakis, Democrat, 54.53
Greene, George H W Bush, Republican, 59.36
Grundy, George H W Bush, Republican, 56.38
Harrison, George H W Bush, Republican, 55.89
Henry, George H W Bush, Republican, 50.04
Hickory, George H W Bush, Republican, 54.82
Holt, George H W Bush, Republican, 55.54
Howard, Michael Dukakis, Democrat, 56.59
Howell, George H W Bush, Republican, 62.49
Iron, Michael Dukakis, Democrat, 54.75
Jackson, Michael Dukakis, Democrat, 57.67
Jasper, George H W Bush, Republican, 63.92
Jefferson, George H W Bush, Republican, 51.16
Johnson, George H W Bush, Republican, 58.14
Knox, Michael Dukakis, Democrat, 50.77
Laclede, George H W Bush, Republican, 63.65
Lafayette, George H W Bush, Republican, 54.54
Lawrence, George H W Bush, Republican, 60.73
Lewis, Michael Dukakis, Democrat, 57.57
Lincoln, George H W Bush, Republican, 53.38
Linn, Michael Dukakis, Democrat, 50.58
Livingston, George H W Bush, Republican, 52.88
Macon, George H W Bush, Republican, 51.3
Madison, George H W Bush, Republican, 53.75
Maries, George H W Bush, Republican, 55.14
Marion, Michael Dukakis, Democrat, 52.62
McDonald, George H W Bush, Republican, 61.95
Mercer, Michael Dukakis, Democrat, 50
Miller, George H W Bush, Republican, 68.82
Mississippi, Michael Dukakis, Democrat, 55.81
Moniteau, George H W Bush, Republican, 64.3
Monroe, Michael Dukakis, Democrat, 61.31
Montgomery, George H W Bush, Republican, 56.66
Morgan, George H W Bush, Republican, 60.13
New Madrid, Michael Dukakis, Democrat, 52.89
Newton, George H W Bush, Republican, 64.36
Nodaway, Michael Dukakis, Democrat, 50.55
Oregon, Michael Dukakis, Democrat, 54.22
Osage, George H W Bush, Republican, 68.58
Ozark, George H W Bush, Republican, 64.21
Pemiscot, Michael Dukakis, Democrat, 51.67
Perry, George H W Bush, Republican, 64.08
Pettis, George H W Bush, Republican, 63.47
Phelps, George H W Bush, Republican, 58.44
Pike, Michael Dukakis, Democrat, 53.75
Platte, George H W Bush, Republican, 51.18
Polk, George H W Bush, Republican, 59.39
Pulaski, George H W Bush, Republican, 57.22
Putnam, George H W Bush, Republican, 62.73
Ralls, Michael Dukakis, Democrat, 62.38
Randolph, Michael Dukakis, Democrat, 54.57
Ray, Michael Dukakis, Democrat, 56.33
Reynolds, Michael Dukakis, Democrat, 61.42
Ripley, George H W Bush, Republican, 57.29
Saint Charles, George H W Bush, Republican, 62.9
Saint Clair, George H W Bush, Republican, 55.27
Saint Francois, Michael Dukakis, Democrat, 50.59
Saint Louis County, George H W Bush, Republican, 54.67
Saint Louis City, Michael Dukakis, Democrat, 72.55
Sainte Genevieve, Michael Dukakis, Democrat, 58.6
Saline, Michael Dukakis, Democrat, 51.97
Schuyler, George H W Bush, Republican, 51.11
Scotland, George H W Bush, Republican, 52.61
Scott, George H W Bush, Republican, 57.45
Shannon, Michael Dukakis, Democrat, 51.31
Shelby, Michael Dukakis, Democrat, 53.35
Stoddard, George H W Bush, Republican, 55.25
Stone, George H W Bush, Republican, 63.49
Sullivan, George H W Bush, Republican, 54.75
Taney, George H W Bush, Republican, 66.17
Texas, George H W Bush, Republican, 53.91
Vernon, George H W Bush, Republican, 54.79
Warren, George H W Bush, Republican, 60.07
Washington, Michael Dukakis, Democrat, 53.49
Wayne, George H W Bush, Republican, 51.8
Webster, George H W Bush, Republican, 56.7
Worth, Michael Dukakis, Democrat, 51.88
Wright, George H W Bush, Republican, 64.92
