Albany, Michael Dukakis, Democrat, 58.7
Allegany, George H W Bush, Republican, 67.4
Bronx, Michael Dukakis, Democrat, 73.22
Broome, Michael Dukakis, Democrat, 49.95
Cattaraugus, George H W Bush, Republican, 60.72
Cayuga, George H W Bush, Republican, 52.45
Chautauqua, George H W Bush, Republican, 54.68
Chemung, George H W Bush, Republican, 56.41
Chenango, George H W Bush, Republican, 58.92
Clinton, George H W Bush, Republican, 54.97
Columbia, George H W Bush, Republican, 56.12
Cortland, George H W Bush, Republican, 58.26
Delaware, George H W Bush, Republican, 59.92
Dutchess, George H W Bush, Republican, 60.97
Erie, Michael Dukakis, Democrat, 55.43
Essex, George H W Bush, Republican, 60.48
Franklin, George H W Bush, Republican, 53.14
Fulton, George H W Bush, Republican, 56.17
Genesee, George H W Bush, Republican, 58.29
Greene, George H W Bush, Republican, 61.46
Hamilton, George H W Bush, Republican, 69.94
Herkimer, George H W Bush, Republican, 53.9
Jefferson, George H W Bush, Republican, 57.41
Kings, Michael Dukakis, Democrat, 66.28
Lewis, George H W Bush, Republican, 57.08
Livingston, George H W Bush, Republican, 59.1
Madison, George H W Bush, Republican, 57.86
Monroe, George H W Bush, Republican, 49.85
Montgomery, Michael Dukakis, Democrat, 50.13
Nassau, George H W Bush, Republican, 56.96
New York, Michael Dukakis, Democrat, 76.14
Niagara, Michael Dukakis, Democrat, 50.42
Oneida, George H W Bush, Republican, 53.2
Onondaga, George H W Bush, Republican, 51.91
Ontario, George H W Bush, Republican, 55.23
Orange, George H W Bush, Republican, 62.44
Orleans, George H W Bush, Republican, 59.97
Oswego, George H W Bush, Republican, 57.37
Otsego, George H W Bush, Republican, 53.51
Putnam, George H W Bush, Republican, 65.99
Queens, Michael Dukakis, Democrat, 59.47
Rensselaer, George H W Bush, Republican, 51.18
Richmond, George H W Bush, Republican, 61.46
Rockland, George H W Bush, Republican, 56.83
St. Lawrence, George H W Bush, Republican, 51.39
Saratoga, George H W Bush, Republican, 57.39
Schenectady, Michael Dukakis, Democrat, 51.83
Schoharie, George H W Bush, Republican, 55.9
Schuyler, George H W Bush, Republican, 59.25
Seneca, George H W Bush, Republican, 53.21
Steuben, George H W Bush, Republican, 65.93
Suffolk, George H W Bush, Republican, 60.51
Sullivan, George H W Bush, Republican, 57
Tioga, George H W Bush, Republican, 60.49
Tompkins, Michael Dukakis, Democrat, 58.46
Ulster, George H W Bush, Republican, 56.75
Warren, George H W Bush, Republican, 64.41
Washington, George H W Bush, Republican, 62.64
Wayne, George H W Bush, Republican, 60.8
Westchester, George H W Bush, Republican, 53.36
Wyoming, George H W Bush, Republican, 63.59
Yates, George H W Bush, Republican, 60.48
