Mitchell, George H W Bush, Republican, 76.82
Avery, George H W Bush, Republican, 75.33
Randolph, George H W Bush, Republican, 73.32
Davie, George H W Bush, Republican, 71.37
Yadkin, George H W Bush, Republican, 71.1
Gaston, George H W Bush, Republican, 70.32
Catawba, George H W Bush, Republican, 69.01
Davidson, George H W Bush, Republican, 68.11
Henderson, George H W Bush, Republican, 67.68
Cabarrus, George H W Bush, Republican, 67.75
Wilkes, George H W Bush, Republican, 67.65
Iredell, George H W Bush, Republican, 67.02
Caldwell, George H W Bush, Republican, 65.78
Union, George H W Bush, Republican, 65.71
Alexander, George H W Bush, Republican, 65.56
Rowan, George H W Bush, Republican, 65.48
Alamance, George H W Bush, Republican, 65.48
Moore, George H W Bush, Republican, 65.37
Dare, George H W Bush, Republican, 64.85
Nash, George H W Bush, Republican, 64.34
Lincoln, George H W Bush, Republican, 64.26
Stanly, George H W Bush, Republican, 64.13
Johnston, George H W Bush, Republican, 63.97
Cherokee, George H W Bush, Republican, 63.78
Onslow, George H W Bush, Republican, 62.87
Clay, George H W Bush, Republican, 62.47
Lee, George H W Bush, Republican, 62.47
Wayne, George H W Bush, Republican, 62.48
Craven, George H W Bush, Republican, 62.1
Transylvania, George H W Bush, Republican, 61.86
Stokes, George H W Bush, Republican, 61.81
Carteret, George H W Bush, Republican, 61.55
Macon, George H W Bush, Republican, 61.39
Graham, George H W Bush, Republican, 61.16
Surry, George H W Bush, Republican, 61.06
Currituck, George H W Bush, Republican, 60.98
New Hanover, George H W Bush, Republican, 60.56
Beaufort, George H W Bush, Republican, 60.35
Polk, George H W Bush, Republican, 60.31
Rutherford, George H W Bush, Republican, 59.73
Ashe, George H W Bush, Republican, 59.69
Mecklenburg, George H W Bush, Republican, 59.42
Burke, George H W Bush, Republican, 59.41
McDowell, George H W Bush, Republican, 59.34
Forsyth, George H W Bush, Republican, 59.02
Watauga, George H W Bush, Republican, 58.59
Lenoir, George H W Bush, Republican, 58.13
Buncombe, George H W Bush, Republican, 57.55
Cleveland, George H W Bush, Republican, 57.54
Harnett, George H W Bush, Republican, 57.25
Wilson, George H W Bush, Republican, 57.11
Wake, George H W Bush, Republican, 56.87
Guilford, George H W Bush, Republican, 56.35
Person, George H W Bush, Republican, 56
Brunswick, George H W Bush, Republican, 55.78
Rockingham, George H W Bush, Republican, 55.77
Pitt, George H W Bush, Republican, 55.08
Perquimans, George H W Bush, Republican, 53.32
Madison, George H W Bush, Republican, 53.07
Cumberland, George H W Bush, Republican, 53.07
Montgomery, George H W Bush, Republican, 52.8
Pender, George H W Bush, Republican, 52.84
Yancey, George H W Bush, Republican, 52
Chowan, George H W Bush, Republican, 51.56
Sampson, George H W Bush, Republican, 51.49
Camden, George H W Bush, Republican, 50.87
Pamlico, George H W Bush, Republican, 50.98
Jackson, George H W Bush, Republican, 51.03
Alleghany, George H W Bush, Republican, 50.98
Pasquotank, George H W Bush, Republican, 50.76
Franklin, George H W Bush, Republican, 50.17
Vance, Michael Dukakis, Democrat, 49.94
Haywood, Michael Dukakis, Democrat, 49.98
Swain, Michael Dukakis, Democrat, 50.23
Duplin, Michael Dukakis, Democrat, 50.7
Granville, Michael Dukakis, Democrat, 50.58
Chatham, Michael Dukakis, Democrat, 51.92
Greene, Michael Dukakis, Democrat, 52.1
Martin, Michael Dukakis, Democrat, 53.26
Halifax, Michael Dukakis, Democrat, 53.83
Jones, Michael Dukakis, Democrat, 54.03
Durham, Michael Dukakis, Democrat, 53.79
Scotland, Michael Dukakis, Democrat, 54.56
Tyrrell, Michael Dukakis, Democrat, 55.09
Caswell, Michael Dukakis, Democrat, 55.79
Washington, Michael Dukakis, Democrat, 56.08
Edgecombe, Michael Dukakis, Democrat, 56.82
Bladen, Michael Dukakis, Democrat, 57.08
Columbus, Michael Dukakis, Democrat, 57.75
Gates, Michael Dukakis, Democrat, 58.08
Hyde, Michael Dukakis, Democrat, 58.13
Richmond, Michael Dukakis, Democrat, 58.34
Orange, Michael Dukakis, Democrat, 60.23
Hoke, Michael Dukakis, Democrat, 61.52
Hertford, Michael Dukakis, Democrat, 62.33
Robeson, Michael Dukakis, Democrat, 62.92
Anson, Michael Dukakis, Democrat, 63.29
Bertie, Michael Dukakis, Democrat, 63.56
Northampton, Michael Dukakis, Democrat, 65.39
Warren, Michael Dukakis, Democrat, 66.09
