Barbour, Michael Dukakis, Democrat, 51.45
Berkeley, George H W Bush, Republican, 62.8
Boone, Michael Dukakis, Democrat, 69.97
Braxton, Michael Dukakis, Democrat, 62.27
Brooke, Michael Dukakis, Democrat, 60.72
Cabell, George H W Bush, Republican, 52.65
Calhoun, Michael Dukakis, Democrat, 53.78
Clay, Michael Dukakis, Democrat, 59.38
Doddridge, George H W Bush, Republican, 66.03
Fayette, Michael Dukakis, Democrat, 67.94
Gilmer, Michael Dukakis, Democrat, 54.21
Grant, George H W Bush, Republican, 77.85
Greenbrier, Michael Dukakis, Democrat, 52.87
Hampshire, George H W Bush, Republican, 60.66
Hancock, Michael Dukakis, Democrat, 58.39
Hardy, George H W Bush, Republican, 60.19
Harrison, Michael Dukakis, Democrat, 55.9
Jackson, George H W Bush, Republican, 55.35
Jefferson, George H W Bush, Republican, 55
Kanawha, Michael Dukakis, Democrat, 51.73
Lewis, George H W Bush, Republican, 52.14
Lincoln, Michael Dukakis, Democrat, 59.2
Logan, Michael Dukakis, Democrat, 72.51
Marion, Michael Dukakis, Democrat, 60.82
Marshall, Michael Dukakis, Democrat, 53.47
Mason, Michael Dukakis, Democrat, 50.51
McDowell, Michael Dukakis, Democrat, 74.16
Mercer, George H W Bush, Republican, 50.03
Mineral, George H W Bush, Republican, 59.49
Mingo, Michael Dukakis, Democrat, 71.78
Monongalia, Michael Dukakis, Democrat, 53.83
Monroe, George H W Bush, Republican, 52.61
Morgan, George H W Bush, Republican, 65.78
Nicholas, Michael Dukakis, Democrat, 57.89
Ohio, George H W Bush, Republican, 50.25
Pendleton, George H W Bush, Republican, 54.27
Pleasants, George H W Bush, Republican, 55.26
Pocahontas, Michael Dukakis, Democrat, 50.83
Preston, George H W Bush, Republican, 56.92
Putnam, George H W Bush, Republican, 55
Raleigh, Michael Dukakis, Democrat, 57.71
Randolph, Michael Dukakis, Democrat, 52.24
Ritchie, George H W Bush, Republican, 66.25
Roane, George H W Bush, Republican, 53.66
Summers, Michael Dukakis, Democrat, 57.81
Taylor, Michael Dukakis, Democrat, 50.09
Tucker, Michael Dukakis, Democrat, 52.25
Tyler, George H W Bush, Republican, 61.05
Upshur, George H W Bush, Republican, 60.97
Wayne, Michael Dukakis, Democrat, 54.65
Webster, Michael Dukakis, Democrat, 67.92
Wetzel, Michael Dukakis, Democrat, 53.44
Wirt, George H W Bush, Republican, 54.45
Wood, George H W Bush, Republican, 59.73
Wyoming, Michael Dukakis, Democrat, 63.38
