Albany, George H W Bush, Republican, 49.87
Big Horn, George H W Bush, Republican, 68.16
Campbell, George H W Bush, Republican, 73.55
Carbon, George H W Bush, Republican, 55.7
Converse, George H W Bush, Republican, 68.45
Crook, George H W Bush, Republican, 76.34
Fremont, George H W Bush, Republican, 59.59
Goshen, George H W Bush, Republican, 61.44
Hot Springs, George H W Bush, Republican, 64.11
Johnson, George H W Bush, Republican, 72.81
Laramie, George H W Bush, Republican, 56.04
Lincoln, George H W Bush, Republican, 66.1
Natrona, George H W Bush, Republican, 59.63
Niobrara, George H W Bush, Republican, 69.27
Park, George H W Bush, Republican, 70.95
Platte, George H W Bush, Republican, 59.16
Sheridan, George H W Bush, Republican, 55.48
Sublette, George H W Bush, Republican, 72.81
Sweetwater, George H W Bush, Republican, 49.47
Teton, George H W Bush, Republican, 61.02
Uinta, George H W Bush, Republican, 62.97
Washakie, George H W Bush, Republican, 67.36
Weston, George H W Bush, Republican, 72.98
