Adams, George H W Bush, Republican, 47.83
Allen, George H W Bush, Republican, 45.24
Bartholomew, George H W Bush, Republican, 47.91
Benton, George H W Bush, Republican, 46.96
Blackford, George H W Bush, Republican, 40.62
Boone, George H W Bush, Republican, 54.64
Brown, George H W Bush, Republican, 41.63
Carroll, George H W Bush, Republican, 44.38
Cass, George H W Bush, Republican, 45.7
Clark, Bill Clinton, Democrat, 47.58
Clay, George H W Bush, Republican, 46.2
Clinton, George H W Bush, Republican, 50.24
Crawford, Bill Clinton, Democrat, 45.25
Daviess, George H W Bush, Republican, 53.15
Dearborn, George H W Bush, Republican, 44.8
Decatur, George H W Bush, Republican, 50.48
DeKalb, George H W Bush, Republican, 44.48
Delaware, George H W Bush, Republican, 40.36
Dubois, George H W Bush, Republican, 42.44
Elkhart, George H W Bush, Republican, 53.5
Fayette, George H W Bush, Republican, 40.86
Floyd, Bill Clinton, Democrat, 44.4
Fountain, George H W Bush, Republican, 40.32
Franklin, George H W Bush, Republican, 46.91
Fulton, George H W Bush, Republican, 46.7
Gibson, Bill Clinton, Democrat, 46.68
Grant, George H W Bush, Republican, 48.04
Greene, Bill Clinton, Democrat, 39.91
Hamilton, George H W Bush, Republican, 62.46
Hancock, George H W Bush, Republican, 53.65
Harrison, Bill Clinton, Democrat, 42.19
Hendricks, George H W Bush, Republican, 55.45
Henry, George H W Bush, Republican, 43.62
Howard, George H W Bush, Republican, 44.57
Huntington, George H W Bush, Republican, 56.79
Jackson, George H W Bush, Republican, 44.81
Jasper, George H W Bush, Republican, 48.62
Jay, George H W Bush, Republican, 40.84
Jefferson, Bill Clinton, Democrat, 41.77
Jennings, George H W Bush, Republican, 42.66
Johnson, George H W Bush, Republican, 54.36
Knox, Bill Clinton, Democrat, 38.87
Kosciusko, George H W Bush, Republican, 57.44
LaGrange, George H W Bush, Republican, 48.15
Lake, Bill Clinton, Democrat, 55.17
LaPorte, Bill Clinton, Democrat, 41.72
Lawrence, George H W Bush, Republican, 45.96
Madison, George H W Bush, Republican, 39.76
Marion, George H W Bush, Republican, 43.66
Marshall, George H W Bush, Republican, 48.58
Martin, George H W Bush, Republican, 46.4
Miami, George H W Bush, Republican, 46.1
Monroe, Bill Clinton, Democrat, 45.22
Montgomery, George H W Bush, Republican, 52.2
Morgan, George H W Bush, Republican, 51.83
Newton, George H W Bush, Republican, 42.95
Noble, George H W Bush, Republican, 42.9
Ohio, George H W Bush, Republican, 40.14
Orange, George H W Bush, Republican, 46.64
Owen, George H W Bush, Republican, 42
Parke, George H W Bush, Republican, 41.6
Perry, Bill Clinton, Democrat, 51.47
Pike, Bill Clinton, Democrat, 46.46
Porter, George H W Bush, Republican, 39.68
Posey, Bill Clinton, Democrat, 40.44
Pulaski, George H W Bush, Republican, 45.84
Putnam, George H W Bush, Republican, 44.33
Randolph, George H W Bush, Republican, 41.9
Ripley, George H W Bush, Republican, 46.02
Rush, George H W Bush, Republican, 48.36
St. Joseph, Bill Clinton, Democrat, 44.23
Scott, Bill Clinton, Democrat, 51.98
Shelby, George H W Bush, Republican, 49.81
Spencer, Bill Clinton, Democrat, 44.9
Starke, Bill Clinton, Democrat, 42.19
Steuben, George H W Bush, Republican, 42.44
Sullivan, Bill Clinton, Democrat, 45.93
Switzerland, Bill Clinton, Democrat, 45.31
Tippecanoe, George H W Bush, Republican, 45.79
Tipton, George H W Bush, Republican, 49.55
Union, George H W Bush, Republican, 46.97
Vanderburgh, Bill Clinton, Democrat, 43.99
Vermillion, Bill Clinton, Democrat, 46.63
Vigo, Bill Clinton, Democrat, 42.81
Wabash, George H W Bush, Republican, 46.77
Warren, George H W Bush, Republican, 40
Warrick, Bill Clinton, Democrat, 41.78
Washington, Bill Clinton, Democrat, 40.69
Wayne, George H W Bush, Republican, 44.69
Wells, George H W Bush, Republican, 48.17
White, George H W Bush, Republican, 45.22
Whitley, George H W Bush, Republican, 43.27
