Adair, George H W Bush, Republican, 58.22
Allen, George H W Bush, Republican, 47.53
Anderson, George H W Bush, Republican, 42.2
Ballard, Bill Clinton, Democrat, 58.45
Barren, Bill Clinton, Democrat, 43.84
Bath, Bill Clinton, Democrat, 53.02
Bell, Bill Clinton, Democrat, 49.63
Boone, George H W Bush, Republican, 52.2
Bourbon, Bill Clinton, Democrat, 41.84
Boyd, Bill Clinton, Democrat, 49.63
Boyle, George H W Bush, Republican, 43.32
Bracken, Bill Clinton, Democrat, 42.94
Breathitt, Bill Clinton, Democrat, 65.52
Breckinridge, Bill Clinton, Democrat, 44.39
Bullitt, Bill Clinton, Democrat, 41.28
Butler, George H W Bush, Republican, 56.78
Caldwell, Bill Clinton, Democrat, 53.09
Calloway, Bill Clinton, Democrat, 48.52
Campbell, George H W Bush, Republican, 49.88
Carlisle, Bill Clinton, Democrat, 53.5
Carroll, Bill Clinton, Democrat, 56.57
Carter, Bill Clinton, Democrat, 49.35
Casey, George H W Bush, Republican, 62.56
Christian, George H W Bush, Republican, 47.5
Clark, Bill Clinton, Democrat, 42.48
Clay, George H W Bush, Republican, 64
Clinton, George H W Bush, Republican, 63.8
Crittenden, Bill Clinton, Democrat, 45.55
Cumberland, George H W Bush, Republican, 60.96
Daviess, Bill Clinton, Democrat, 44.93
Edmonson, George H W Bush, Republican, 54.22
Elliott, Bill Clinton, Democrat, 71.13
Estill, George H W Bush, Republican, 48.68
Fayette, George H W Bush, Republican, 43.87
Fleming, Bill Clinton, Democrat, 43.95
Floyd, Bill Clinton, Democrat, 71.5
Franklin, Bill Clinton, Democrat, 47.05
Fulton, Bill Clinton, Democrat, 56.59
Gallatin, Bill Clinton, Democrat, 50.28
Garrard, George H W Bush, Republican, 49.18
Grant, George H W Bush, Republican, 39.44
Graves, Bill Clinton, Democrat, 52.15
Grayson, George H W Bush, Republican, 53.29
Green, George H W Bush, Republican, 54.33
Greenup, Bill Clinton, Democrat, 50.05
Hancock, Bill Clinton, Democrat, 47.55
Hardin, George H W Bush, Republican, 47.38
Harlan, Bill Clinton, Democrat, 55.59
Harrison, Bill Clinton, Democrat, 45.16
Hart, Bill Clinton, Democrat, 48.69
Henderson, Bill Clinton, Democrat, 51.28
Henry, Bill Clinton, Democrat, 54.38
Hickman, Bill Clinton, Democrat, 52.75
Hopkins, Bill Clinton, Democrat, 50.66
Jackson, George H W Bush, Republican, 74.96
Jefferson, Bill Clinton, Democrat, 49.3
Jessamine, George H W Bush, Republican, 52.47
Johnson, Bill Clinton, Democrat, 43.49
Kenton, George H W Bush, Republican, 51.31
Knott, Bill Clinton, Democrat, 75.05
Knox, George H W Bush, Republican, 51
Larue, Bill Clinton, Democrat, 44.42
Laurel, George H W Bush, Republican, 57.03
Lawrence, Bill Clinton, Democrat, 47.46
Lee, George H W Bush, Republican, 51.2
Leslie, George H W Bush, Republican, 58.33
Letcher, Bill Clinton, Democrat, 57.65
Lewis, George H W Bush, Republican, 50.84
Lincoln, George H W Bush, Republican, 44.13
Livingston, Bill Clinton, Democrat, 55.33
Logan, Bill Clinton, Democrat, 45.93
Lyon, Bill Clinton, Democrat, 58.56
Madison, George H W Bush, Republican, 43.94
Magoffin, Bill Clinton, Democrat, 57.1
Marion, Bill Clinton, Democrat, 53.81
Marshall, Bill Clinton, Democrat, 51.58
Martin, George H W Bush, Republican, 47.89
Mason, Bill Clinton, Democrat, 44.07
McCracken, Bill Clinton, Democrat, 49.13
McCreary, George H W Bush, Republican, 57.78
McLean, Bill Clinton, Democrat, 53.84
Meade, Bill Clinton, Democrat, 45.99
Menifee, Bill Clinton, Democrat, 61.12
Mercer, George H W Bush, Republican, 41.96
Metcalfe, Bill Clinton, Democrat, 44.66
Monroe, George H W Bush, Republican, 65.07
Montgomery, Bill Clinton, Democrat, 48.43
Morgan, Bill Clinton, Democrat, 60.19
Muhlenberg, Bill Clinton, Democrat, 60.25
Nelson, Bill Clinton, Democrat, 46.58
Nicholas, Bill Clinton, Democrat, 48.08
Ohio, Bill Clinton, Democrat, 45.37
Oldham, George H W Bush, Republican, 49.66
Owen, Bill Clinton, Democrat, 51.27
Owsley, George H W Bush, Republican, 61.36
Pendleton, George H W Bush, Republican, 38.77
Perry, Bill Clinton, Democrat, 54.69
Pike, Bill Clinton, Democrat, 61.81
Powell, Bill Clinton, Democrat, 46.08
Pulaski, George H W Bush, Republican, 58.84
Robertson, Bill Clinton, Democrat, 46.46
Rockcastle, George H W Bush, Republican, 67.12
Rowan, Bill Clinton, Democrat, 48.91
Russell, George H W Bush, Republican, 63.71
Scott, George H W Bush, Republican, 41.09
Shelby, George H W Bush, Republican, 43.56
Simpson, Bill Clinton, Democrat, 48.53
Spencer, Bill Clinton, Democrat, 43.67
Taylor, George H W Bush, Republican, 48.42
Todd, Bill Clinton, Democrat, 44.22
Trigg, Bill Clinton, Democrat, 50.22
Trimble, Bill Clinton, Democrat, 53.71
Union, Bill Clinton, Democrat, 57.94
Warren, George H W Bush, Republican, 49.33
Washington, George H W Bush, Republican, 44.69
Wayne, George H W Bush, Republican, 52.44
Webster, Bill Clinton, Democrat, 59.66
Whitley, George H W Bush, Republican, 49.3
Wolfe, Bill Clinton, Democrat, 62.37
Woodford, George H W Bush, Republican, 45.75
