Baker, George H W Bush, Republican, 38.01
Benton, Bill Clinton, Democrat, 47.37
Clackamas, Bill Clinton, Democrat, 39.03
Clatsop, Bill Clinton, Democrat, 45.8
Columbia, Bill Clinton, Democrat, 42.77
Coos, Bill Clinton, Democrat, 40.7
Crook, George H W Bush, Republican, 37.18
Curry, Bill Clinton, Democrat, 34.76
Deschutes, Bill Clinton, Democrat, 35.73
Douglas, George H W Bush, Republican, 41.45
Gilliam, George H W Bush, Republican, 36.32
Grant, George H W Bush, Republican, 37.53
Harney, George H W Bush, Republican, 40.04
Hood River, Bill Clinton, Democrat, 39.61
Jackson, Bill Clinton, Democrat, 37.8
Jefferson, Bill Clinton, Democrat, 36.59
Josephine, George H W Bush, Republican, 38.75
Klamath, George H W Bush, Republican, 44.61
Lake, George H W Bush, Republican, 47.11
Lane, Bill Clinton, Democrat, 48.78
Lincoln, Bill Clinton, Democrat, 44.41
Linn, George H W Bush, Republican, 36.35
Malheur, George H W Bush, Republican, 50.4
Marion, George H W Bush, Republican, 38.2
Morrow, George H W Bush, Republican, 34.17
Multnomah, Bill Clinton, Democrat, 55.34
Polk, George H W Bush, Republican, 39.36
Sherman, George H W Bush, Republican, 37.99
Tillamook, Bill Clinton, Democrat, 43.89
Umatilla, George H W Bush, Republican, 36.12
Union, George H W Bush, Republican, 36.44
Wallowa, George H W Bush, Republican, 40.01
Wasco, Bill Clinton, Democrat, 42.5
Washington, Bill Clinton, Democrat, 40.39
Wheeler, George H W Bush, Republican, 41.51
Yamhill, George H W Bush, Republican, 37.23
