Anderson, George H W Bush, Republican, 38.7
Andrews, George H W Bush, Republican, 53.6
Angelina, Bill Clinton, Democrat, 39.26
Aransas, George H W Bush, Republican, 41.74
Archer, George H W Bush, Republican, 39.32
Armstrong, George H W Bush, Republican, 54.57
Atascosa, George H W Bush, Republican, 39.41
Austin, George H W Bush, Republican, 50.89
Bailey, George H W Bush, Republican, 55.31
Bandera, George H W Bush, Republican, 50.24
Bastrop, Bill Clinton, Democrat, 43.19
Baylor, Bill Clinton, Democrat, 46.44
Bee, Bill Clinton, Democrat, 44.83
Bell, George H W Bush, Republican, 45.27
Bexar, Bill Clinton, Democrat, 41.54
Blanco, George H W Bush, Republican, 44.07
Borden, George H W Bush, Republican, 48.68
Bosque, George H W Bush, Republican, 35.44
Bowie, Bill Clinton, Democrat, 38.94
Brazoria, George H W Bush, Republican, 42.51
Brazos, George H W Bush, Republican, 48.53
Brewster, Bill Clinton, Democrat, 42.59
Briscoe, Bill Clinton, Democrat, 44.93
Brooks, Bill Clinton, Democrat, 75.86
Brown, George H W Bush, Republican, 42.07
Burleson, Bill Clinton, Democrat, 43.97
Burnet, George H W Bush, Republican, 39.53
Caldwell, Bill Clinton, Democrat, 45.47
Calhoun, George H W Bush, Republican, 38.94
Callahan, George H W Bush, Republican, 40.38
Cameron, Bill Clinton, Democrat, 49.84
Camp, Bill Clinton, Democrat, 48.69
Carson, George H W Bush, Republican, 53.88
Cass, Bill Clinton, Democrat, 46.96
Castro, George H W Bush, Republican, 44.91
Chambers, George H W Bush, Republican, 40.62
Cherokee, George H W Bush, Republican, 41.36
Childress, George H W Bush, Republican, 44.18
Clay, Bill Clinton, Democrat, 39.08
Cochran, George H W Bush, Republican, 51.33
Coke, George H W Bush, Republican, 39.65
Coleman, Bill Clinton, Democrat, 38.16
Collin, George H W Bush, Republican, 46.97
Collingsworth, George H W Bush, Republican, 43.56
Colorado, George H W Bush, Republican, 45.88
Comal, George H W Bush, Republican, 50.72
Comanche, Bill Clinton, Democrat, 43.75
Concho, Bill Clinton, Democrat, 39.56
Cooke, George H W Bush, Republican, 40.5
Coryell, George H W Bush, Republican, 42.93
Cottle, Bill Clinton, Democrat, 52.88
Crane, George H W Bush, Republican, 49.76
Crockett, Bill Clinton, Democrat, 39.7
Crosby, Bill Clinton, Democrat, 43.25
Culberson, Bill Clinton, Democrat, 50.06
Dallam, George H W Bush, Republican, 54.78
Dallas, George H W Bush, Republican, 38.72
Dawson, George H W Bush, Republican, 55.43
Deaf Smith, George H W Bush, Republican, 56.43
Delta, Bill Clinton, Democrat, 42.88
Denton, George H W Bush, Republican, 41.6
DeWitt, George H W Bush, Republican, 48.11
Dickens, Bill Clinton, Democrat, 46.21
Dimmit, Bill Clinton, Democrat, 72.42
Donley, George H W Bush, Republican, 51.47
Duval, Bill Clinton, Democrat, 79.56
Eastland, George H W Bush, Republican, 38.87
Ector, George H W Bush, Republican, 50.35
Edwards, George H W Bush, Republican, 51.86
Ellis, George H W Bush, Republican, 40.5
El Paso, Bill Clinton, Democrat, 50.1
Erath, George H W Bush, Republican, 36.77
Falls, Bill Clinton, Democrat, 47.83
Fannin, Bill Clinton, Democrat, 43.31
Fayette, George H W Bush, Republican, 42.94
Fisher, Bill Clinton, Democrat, 55.82
Floyd, George H W Bush, Republican, 55.7
Foard, Bill Clinton, Democrat, 54.65
Fort Bend, George H W Bush, Republican, 46.62
Franklin, Bill Clinton, Democrat, 40.04
Freestone, Bill Clinton, Democrat, 38.41
Frio, Bill Clinton, Democrat, 55.04
Gaines, George H W Bush, Republican, 54.36
Galveston, Bill Clinton, Democrat, 42.8
Garza, George H W Bush, Republican, 52.01
Gillespie, George H W Bush, Republican, 56.28
Glasscock, George H W Bush, Republican, 66.03
Goliad, George H W Bush, Republican, 43.66
Gonzales, George H W Bush, Republican, 45.02
Gray, George H W Bush, Republican, 58.86
Grayson, Ross Perot, Independent, 34.77
Gregg, George H W Bush, Republican, 49.11
Grimes, Bill Clinton, Democrat, 41.72
Guadalupe, George H W Bush, Republican, 46.79
Hale, George H W Bush, Republican, 59.59
Hall, Bill Clinton, Democrat, 47.78
Hamilton, George H W Bush, Republican, 37.8
Hansford, George H W Bush, Republican, 69.08
Hardeman, Bill Clinton, Democrat, 49.28
Hardin, Bill Clinton, Democrat, 40.21
Harris, George H W Bush, Republican, 43.14
Harrison, Bill Clinton, Democrat, 42.05
Hartley, George H W Bush, Republican, 60.16
Haskell, Bill Clinton, Democrat, 50.4
Hays, Bill Clinton, Democrat, 39.76
Hemphill, George H W Bush, Republican, 58.18
Henderson, Bill Clinton, Democrat, 37.53
Hidalgo, Bill Clinton, Democrat, 58.08
Hill, Bill Clinton, Democrat, 37.87
Hockley, George H W Bush, Republican, 54.16
Hood, George H W Bush, Republican, 37.52
Hopkins, Bill Clinton, Democrat, 38.38
Houston, Bill Clinton, Democrat, 40.52
Howard, George H W Bush, Republican, 47.17
Hudspeth, Bill Clinton, Democrat, 41.89
Hunt, George H W Bush, Republican, 39.51
Hutchinson, George H W Bush, Republican, 55.42
Irion, Ross Perot, Independent, 34.9
Jack, Bill Clinton, Democrat, 37.47
Jackson, George H W Bush, Republican, 47.57
Jasper, Bill Clinton, Democrat, 46.81
Jeff Davis, George H W Bush, Republican, 41.1
Jefferson, Bill Clinton, Democrat, 50.66
Jim Hogg, Bill Clinton, Democrat, 72.04
Jim Wells, Bill Clinton, Democrat, 62.19
Johnson, George H W Bush, Republican, 36.22
Jones, Bill Clinton, Democrat, 40.46
Karnes, George H W Bush, Republican, 42.34
Kaufman, George H W Bush, Republican, 34.51
Kendall, George H W Bush, Republican, 56.6
Kenedy, Bill Clinton, Democrat, 50
Kent, Bill Clinton, Democrat, 44.43
Kerr, George H W Bush, Republican, 53.72
Kimble, George H W Bush, Republican, 48.98
King, George H W Bush, Republican, 41.8
Kinney, George H W Bush, Republican, 41.2
Kleberg, Bill Clinton, Democrat, 48.36
Knox, Bill Clinton, Democrat, 47.05
Lamar, Bill Clinton, Democrat, 38.96
Lamb, George H W Bush, Republican, 55.01
Lampasas, George H W Bush, Republican, 43.07
La Salle, Bill Clinton, Democrat, 65.63
Lavaca, George H W Bush, Republican, 43.24
Lee, George H W Bush, Republican, 41.68
Leon, George H W Bush, Republican, 40.16
