Adams, Bill Clinton, Democrat, 43.97
Ashland, Bill Clinton, Democrat, 50.2
Barron, Bill Clinton, Democrat, 39.86
Bayfield, Bill Clinton, Democrat, 47.74
Brown, George H W Bush, Republican, 41.24
Buffalo, Bill Clinton, Democrat, 43.11
Burnett, Bill Clinton, Democrat, 42.66
Calumet, George H W Bush, Republican, 40.98
Chippewa, Bill Clinton, Democrat, 41.57
Clark, Bill Clinton, Democrat, 37.22
Columbia, Bill Clinton, Democrat, 38.98
Crawford, Bill Clinton, Democrat, 45.31
Dane, Bill Clinton, Democrat, 54.6
Dodge, George H W Bush, Republican, 41.93
Door, George H W Bush, Republican, 39.69
Douglas, Bill Clinton, Democrat, 55.36
Dunn, Bill Clinton, Democrat, 43.72
Eau Claire, Bill Clinton, Democrat, 45.08
Florence, Bill Clinton, Democrat, 36.96
Fond du Lac, George H W Bush, Republican, 44.45
Forest, Bill Clinton, Democrat, 43.59
Grant, Bill Clinton, Democrat, 38.49
Green, Bill Clinton, Democrat, 38.55
Green Lake, George H W Bush, Republican, 40.85
Iowa, Bill Clinton, Democrat, 44.01
Iron, Bill Clinton, Democrat, 45.28
Jackson, Bill Clinton, Democrat, 43.73
Jefferson, George H W Bush, Republican, 39.85
Juneau, Bill Clinton, Democrat, 38
Kenosha, Bill Clinton, Democrat, 44.21
Kewaunee, Bill Clinton, Democrat, 39.03
La Crosse, Bill Clinton, Democrat, 43.69
Lafayette, Bill Clinton, Democrat, 39.99
Langlade, George H W Bush, Republican, 38.74
Lincoln, Bill Clinton, Democrat, 39.82
Manitowoc, Bill Clinton, Democrat, 38.54
Marathon, Bill Clinton, Democrat, 37.44
Marinette, George H W Bush, Republican, 37.85
Marquette, Bill Clinton, Democrat, 37.69
Menominee, Bill Clinton, Democrat, 59.57
Milwaukee, Bill Clinton, Democrat, 50.6
Monroe, Bill Clinton, Democrat, 38.24
Oconto, Bill Clinton, Democrat, 36.7
Oneida, Bill Clinton, Democrat, 38.26
Outagamie, George H W Bush, Republican, 41.65
Ozaukee, George H W Bush, Republican, 53.15
Pepin, Bill Clinton, Democrat, 46.84
Pierce, Bill Clinton, Democrat, 45.3
Polk, Bill Clinton, Democrat, 42.86
Portage, Bill Clinton, Democrat, 46.13
Price, Bill Clinton, Democrat, 41.81
Racine, Bill Clinton, Democrat, 39.71
Richland, Bill Clinton, Democrat, 40.49
Rock, Bill Clinton, Democrat, 45.13
Rusk, Bill Clinton, Democrat, 42.37
Sauk, Bill Clinton, Democrat, 38.97
Sawyer, Bill Clinton, Democrat, 37.96
Shawano, George H W Bush, Republican, 40.4
Sheboygan, George H W Bush, Republican, 41.29
St. Croix, Bill Clinton, Democrat, 40.04
Taylor, George H W Bush, Republican, 36.49
Trempealeau, Bill Clinton, Democrat, 47.79
Vernon, Bill Clinton, Democrat, 44.61
Vilas, George H W Bush, Republican, 40.99
Walworth, George H W Bush, Republican, 42.74
Washburn, Bill Clinton, Democrat, 40.07
Washington, George H W Bush, Republican, 45.41
Waukesha, George H W Bush, Republican, 51.04
Waupaca, George H W Bush, Republican, 44.27
Waushara, George H W Bush, Republican, 39.16
Winnebago, George H W Bush, Republican, 43.56
Wood, George H W Bush, Republican, 37.99
