Ketchikan Gateway, Bob Dole, Republican, 63.24
Prince of Wales-Hyder, Bob Dole, Republican, 48.14
Sitka, Bob Dole, Republican, 42.07
Petersburg, Bob Dole, Republican, 44.74
Wrangell, Bob Dole, Republican, 57.21
Hoonah-Angoon, Bill Clinton, Democrat, 46.06
Juneau, Bill Clinton, Democrat, 44.25
Copper River, Bob Dole, Republican, 60.55
Chugach, Bob Dole, Republican, 44.43
Haines, Bob Dole, Republican, 45.48
Skagway, Bill Clinton, Democrat, 39.88
Yakutat, Bill Clinton, Democrat, 46.22
Yukon-Koyukuk, Bill Clinton, Democrat, 51.71
Bethel, Bill Clinton, Democrat, 57.78
Southeast Fairbanks, Bob Dole, Republican, 61.49
Wade Hampton, Bill Clinton, Democrat, 54.89
Kenai Peninsula, Bob Dole, Republican, 54.72
Fairbanks North Star, Bob Dole, Republican, 52.38
Denali, Bob Dole, Republican, 43.59
Matanuska-Susitna, Bob Dole, Republican, 57.01
Anchorage, Bob Dole, Republican, 52.78
Kodiak Island, Bob Dole, Republican, 53.08
Lake and Peninsula, Bill Clinton, Democrat, 44.39
Aleutians East, Bob Dole, Republican, 46.7
Dillingham, Bill Clinton, Democrat, 46.06
Aleutians West, Bill Clinton, Democrat, 44.1
Bristol Bay, Bob Dole, Republican, 46.76
Nome, Bill Clinton, Democrat, 48.43
Northwest Arctic, Bill Clinton, Democrat, 49.63
North Slope, Bob Dole, Republican, 43.11
