Acadia, Bill Clinton, Democrat, 51.41
Allen, Bill Clinton, Democrat, 55.89
Ascension, Bill Clinton, Democrat, 51.91
Assumption, Bill Clinton, Democrat, 62.83
Avoyelles, Bill Clinton, Democrat, 59.04
Beauregard, Bob Dole, Republican, 44.21
Bienville, Bill Clinton, Democrat, 58.71
Bossier, Bob Dole, Republican, 47.63
Caddo, Bill Clinton, Democrat, 55.89
Calcasieu, Bill Clinton, Democrat, 51.91
Caldwell, Bill Clinton, Democrat, 46.44
Cameron, Bill Clinton, Democrat, 50.7
Catahoula, Bill Clinton, Democrat, 52.11
Claiborne, Bill Clinton, Democrat, 53.55
Concordia, Bill Clinton, Democrat, 52.38
DeSoto, Bill Clinton, Democrat, 59.13
East Baton Rouge, Bill Clinton, Democrat, 48.93
East Carroll, Bill Clinton, Democrat, 63
East Feliciana, Bill Clinton, Democrat, 56.11
Evangeline, Bill Clinton, Democrat, 52.83
Franklin, Bill Clinton, Democrat, 45.29
Grant, Bob Dole, Republican, 42.75
Iberia, Bill Clinton, Democrat, 50.35
Iberville, Bill Clinton, Democrat, 64.2
Jackson, Bill Clinton, Democrat, 47.66
Jefferson, Bob Dole, Republican, 50.32
Jefferson Davis, Bill Clinton, Democrat, 53.29
Lafayette, Bob Dole, Republican, 48.91
Lafourche, Bill Clinton, Democrat, 52.84
LaSalle, Bob Dole, Republican, 44.96
Lincoln, Bill Clinton, Democrat, 49.85
Livingston, Bob Dole, Republican, 47.39
Madison, Bill Clinton, Democrat, 60.91
Morehouse, Bill Clinton, Democrat, 49.31
Natchitoches, Bill Clinton, Democrat, 54.69
Orleans, Bill Clinton, Democrat, 76.2
Ouachita, Bob Dole, Republican, 49.59
Plaquemines, Bill Clinton, Democrat, 49.53
Pointe Coupee, Bill Clinton, Democrat, 60.32
Rapides, Bill Clinton, Democrat, 46.07
Red River, Bill Clinton, Democrat, 61.48
Richland, Bill Clinton, Democrat, 46.5
Sabine, Bill Clinton, Democrat, 47.33
Saint Bernard, Bill Clinton, Democrat, 46.33
Saint Charles, Bill Clinton, Democrat, 49.61
Saint Helena, Bill Clinton, Democrat, 65.83
Saint James, Bill Clinton, Democrat, 67.46
Saint John the Baptist, Bill Clinton, Democrat, 58.28
Saint Landry, Bill Clinton, Democrat, 58.21
Saint Martin, Bill Clinton, Democrat, 60.33
Saint Mary, Bill Clinton, Democrat, 54.95
Saint Tammany, Bob Dole, Republican, 60.06
Tangipahoa, Bill Clinton, Democrat, 49.53
Tensas, Bill Clinton, Democrat, 60.73
Terrebonne, Bill Clinton, Democrat, 51.02
Union, Bob Dole, Republican, 46.3
Vermilion, Bill Clinton, Democrat, 55.64
Vernon, Bill Clinton, Democrat, 44.36
Washington, Bill Clinton, Democrat, 53.28
Webster, Bill Clinton, Democrat, 55.31
West Baton Rouge, Bill Clinton, Democrat, 58.14
West Carroll, Bob Dole, Republican, 49.66
West Feliciana, Bill Clinton, Democrat, 53.62
Winn, Bill Clinton, Democrat, 50.64
