Androscoggin, Bill Clinton, Democrat, 56.55
Aroostook, Bill Clinton, Democrat, 51.8
Cumberland, Bill Clinton, Democrat, 53.62
Franklin, Bill Clinton, Democrat, 53.16
Hancock, Bill Clinton, Democrat, 46.34
Kennebec, Bill Clinton, Democrat, 54.37
Knox, Bill Clinton, Democrat, 46.81
Lincoln, Bill Clinton, Democrat, 44.74
Oxford, Bill Clinton, Democrat, 52.05
Penobscot, Bill Clinton, Democrat, 51
Piscataquis, Bill Clinton, Democrat, 48.69
Sagadahoc, Bill Clinton, Democrat, 49.73
Somerset, Bill Clinton, Democrat, 50.94
Waldo, Bill Clinton, Democrat, 46.37
Washington, Bill Clinton, Democrat, 47.39
York, Bill Clinton, Democrat, 51
