Adams, Bob Dole, Republican, 55.41
Antelope, Bob Dole, Republican, 59.5
Arthur, Bob Dole, Republican, 72.48
Banner, Bob Dole, Republican, 76.11
Blaine, Bob Dole, Republican, 75.13
Boone, Bob Dole, Republican, 57.63
Box Butte, Bob Dole, Republican, 49.41
Boyd, Bob Dole, Republican, 57.97
Brown, Bob Dole, Republican, 62.57
Buffalo, Bob Dole, Republican, 63.09
Burt, Bob Dole, Republican, 48.83
Butler, Bob Dole, Republican, 55.25
Cass, Bob Dole, Republican, 50.37
Cedar, Bob Dole, Republican, 52.2
Chase, Bob Dole, Republican, 68.88
Cherry, Bob Dole, Republican, 68.04
Cheyenne, Bob Dole, Republican, 64.83
Clay, Bob Dole, Republican, 59.86
Colfax, Bob Dole, Republican, 55.23
Cuming, Bob Dole, Republican, 61.6
Custer, Bob Dole, Republican, 64.15
Dakota, Bill Clinton, Democrat, 43.98
Dawes, Bob Dole, Republican, 55.69
Dawson, Bob Dole, Republican, 59.44
Deuel, Bob Dole, Republican, 63.47
Dixon, Bob Dole, Republican, 51.95
Dodge, Bob Dole, Republican, 50.95
Douglas, Bob Dole, Republican, 51.38
Dundy, Bob Dole, Republican, 68.3
Fillmore, Bob Dole, Republican, 54.8
Franklin, Bob Dole, Republican, 59.03
Frontier, Bob Dole, Republican, 64.96
Furnas, Bob Dole, Republican, 61.18
Gage, Bob Dole, Republican, 44.83
Garden, Bob Dole, Republican, 65.61
Garfield, Bob Dole, Republican, 63.26
Gosper, Bob Dole, Republican, 58.78
Grant, Bob Dole, Republican, 64.82
Greeley, Bob Dole, Republican, 50.27
Hall, Bob Dole, Republican, 52.45
Hamilton, Bob Dole, Republican, 61.37
Harlan, Bob Dole, Republican, 60.28
Hayes, Bob Dole, Republican, 77.02
Hitchcock, Bob Dole, Republican, 62.27
Holt, Bob Dole, Republican, 65.27
Hooker, Bob Dole, Republican, 59.92
Howard, Bob Dole, Republican, 50.1
Jefferson, Bob Dole, Republican, 49.17
Johnson, Bob Dole, Republican, 47.98
Kearney, Bob Dole, Republican, 64.07
Keith, Bob Dole, Republican, 65.5
Keya Paha, Bob Dole, Republican, 72.1
Kimball, Bob Dole, Republican, 56.67
Knox, Bob Dole, Republican, 53.91
Lancaster, Bob Dole, Republican, 45.86
Lincoln, Bob Dole, Republican, 50.54
Logan, Bob Dole, Republican, 65.63
Loup, Bob Dole, Republican, 68.77
Madison, Bob Dole, Republican, 62.97
McPherson, Bob Dole, Republican, 72.36
Merrick, Bob Dole, Republican, 58.67
Morrill, Bob Dole, Republican, 58.86
Nance, Bob Dole, Republican, 51.74
Nemaha, Bob Dole, Republican, 51.94
Nuckolls, Bob Dole, Republican, 56.01
Otoe, Bob Dole, Republican, 50.58
Pawnee, Bob Dole, Republican, 48.82
Perkins, Bob Dole, Republican, 66.06
Phelps, Bob Dole, Republican, 65.86
Pierce, Bob Dole, Republican, 62.39
Platte, Bob Dole, Republican, 64.11
Polk, Bob Dole, Republican, 58.84
Red Willow, Bob Dole, Republican, 62.1
Richardson, Bob Dole, Republican, 48.85
Rock, Bob Dole, Republican, 63.73
Saline, Bill Clinton, Democrat, 48.75
Sarpy, Bob Dole, Republican, 57.74
Saunders, Bob Dole, Republican, 52.51
Scotts Bluff, Bob Dole, Republican, 56.43
Seward, Bob Dole, Republican, 51.86
Sheridan, Bob Dole, Republican, 61.05
Sherman, Bob Dole, Republican, 49.16
Sioux, Bob Dole, Republican, 71.74
Stanton, Bob Dole, Republican, 59.64
Thayer, Bob Dole, Republican, 60.39
Thomas, Bob Dole, Republican, 70.63
Thurston, Bill Clinton, Democrat, 45.51
Valley, Bob Dole, Republican, 56.27
Washington, Bob Dole, Republican, 57.03
Wayne, Bob Dole, Republican, 58.49
Webster, Bob Dole, Republican, 55.96
Wheeler, Bob Dole, Republican, 57.66
York, Bob Dole, Republican, 65.56
