Adams, Bob Dole, Republican, 49.91
Barnes, Bob Dole, Republican, 44.79
Benson, Bill Clinton, Democrat, 48.76
Billings, Bob Dole, Republican, 55.42
Bottineau, Bob Dole, Republican, 47.8
Bowman, Bob Dole, Republican, 48.2
Burke, Bob Dole, Republican, 44.35
Burleigh, Bob Dole, Republican, 51.74
Cass, Bob Dole, Republican, 48.02
Cavalier, Bob Dole, Republican, 47.85
Dickey, Bob Dole, Republican, 53.21
Divide, Bill Clinton, Democrat, 47.54
Dunn, Bob Dole, Republican, 47.62
Eddy, Bill Clinton, Democrat, 43.17
Emmons, Bob Dole, Republican, 53.54
Foster, Bob Dole, Republican, 45.93
Golden Valley, Bob Dole, Republican, 56.28
Grand Forks, Bob Dole, Republican, 44.92
Grant, Bob Dole, Republican, 55.51
Griggs, Bob Dole, Republican, 46.53
Hettinger, Bob Dole, Republican, 53.65
Kidder, Bob Dole, Republican, 50
LaMoure, Bob Dole, Republican, 51.15
Logan, Bob Dole, Republican, 53.09
McHenry, Bob Dole, Republican, 43.07
McIntosh, Bob Dole, Republican, 56.43
McKenzie, Bob Dole, Republican, 49.5
McLean, Bob Dole, Republican, 45.39
Mercer, Bob Dole, Republican, 48.32
Morton, Bob Dole, Republican, 46.66
Mountrail, Bill Clinton, Democrat, 48.83
Nelson, Bill Clinton, Democrat, 45.97
Oliver, Bob Dole, Republican, 48.83
Pembina, Bob Dole, Republican, 50.94
Pierce, Bob Dole, Republican, 51.52
Ramsey, Bill Clinton, Democrat, 44.47
Ransom, Bill Clinton, Democrat, 49.24
Renville, Bob Dole, Republican, 42.54
Richland, Bob Dole, Republican, 47.32
Rolette, Bill Clinton, Democrat, 63.84
Sargent, Bill Clinton, Democrat, 48.52
Sheridan, Bob Dole, Republican, 60.15
Sioux, Bill Clinton, Democrat, 56.96
Slope, Bob Dole, Republican, 58.43
Stark, Bob Dole, Republican, 46.94
Steele, Bill Clinton, Democrat, 50.61
Stutsman, Bob Dole, Republican, 44.04
Towner, Bill Clinton, Democrat, 46.79
Traill, Bill Clinton, Democrat, 45.08
Walsh, Bob Dole, Republican, 44.99
Ward, Bob Dole, Republican, 48.01
Wells, Bob Dole, Republican, 46.89
Williams, Bob Dole, Republican, 45.79
