Abbeville, Bill Clinton, Democrat, 49.2
Aiken, Bob Dole, Republican, 61.61
Allendale, Bill Clinton, Democrat, 67.89
Anderson, Bob Dole, Republican, 52.74
Bamberg, Bill Clinton, Democrat, 63.63
Barnwell, Bob Dole, Republican, 48.98
Beaufort, Bob Dole, Republican, 53
Berkeley, Bob Dole, Republican, 53.22
Calhoun, Bill Clinton, Democrat, 48.52
Charleston, Bob Dole, Republican, 50.34
Cherokee, Bob Dole, Republican, 49.04
Chester, Bill Clinton, Democrat, 56.31
Chesterfield, Bill Clinton, Democrat, 54.25
Clarendon, Bill Clinton, Democrat, 58.15
Colleton, Bill Clinton, Democrat, 51.24
Darlington, Bill Clinton, Democrat, 49.15
Dillon, Bill Clinton, Democrat, 56.54
Dorchester, Bob Dole, Republican, 56.63
Edgefield, Bob Dole, Republican, 48.62
Fairfield, Bill Clinton, Democrat, 63.12
Florence, Bob Dole, Republican, 51.26
Georgetown, Bill Clinton, Democrat, 50.75
Greenville, Bob Dole, Republican, 59.13
Greenwood, Bob Dole, Republican, 48.81
Hampton, Bill Clinton, Democrat, 65.98
Horry, Bob Dole, Republican, 47.86
Jasper, Bill Clinton, Democrat, 62.66
Kershaw, Bob Dole, Republican, 52.05
Lancaster, Bill Clinton, Democrat, 48.74
Laurens, Bob Dole, Republican, 48.69
Lee, Bill Clinton, Democrat, 60.73
Lexington, Bob Dole, Republican, 63.23
McCormick, Bill Clinton, Democrat, 59.49
Marion, Bill Clinton, Democrat, 60.85
Marlboro, Bill Clinton, Democrat, 66.63
Newberry, Bob Dole, Republican, 50.48
Oconee, Bob Dole, Republican, 52.64
Orangeburg, Bill Clinton, Democrat, 61.39
Pickens, Bob Dole, Republican, 61.47
Richland, Bill Clinton, Democrat, 54.84
Saluda, Bob Dole, Republican, 49.56
Spartanburg, Bob Dole, Republican, 53.53
Sumter, Bill Clinton, Democrat, 48.04
Union, Bill Clinton, Democrat, 53.77
Williamsburg, Bill Clinton, Democrat, 61.52
York, Bob Dole, Republican, 52.26
