Autauga, George W. Bush, Republican, 69.69
Baldwin, George W. Bush, Republican, 72.37
Barbour, Al Gore, Democrat, 49.91
Bibb, George W. Bush, Republican, 60.17
Blount, George W. Bush, Republican, 70.48
Bullock, Al Gore, Democrat, 69.23
Butler, George W. Bush, Republican, 52.89
Calhoun, George W. Bush, Republican, 57.33
Chambers, George W. Bush, Republican, 51.01
Cherokee, George W. Bush, Republican, 53.1
Chilton, George W. Bush, Republican, 66.7
Choctaw, Al Gore, Democrat, 50.27
Clarke, George W. Bush, Republican, 55.69
Clay, George W. Bush, Republican, 63.22
Cleburne, George W. Bush, Republican, 65.46
Coffee, George W. Bush, Republican, 64.39
Colbert, Al Gore, Democrat, 48.96
Conecuh, Al Gore, Democrat, 50.14
Coosa, George W. Bush, Republican, 52.16
Covington, George W. Bush, Republican, 65.83
Crenshaw, George W. Bush, Republican, 58.25
Cullman, George W. Bush, Republican, 64.88
Dale, George W. Bush, Republican, 67.02
Dallas, Al Gore, Democrat, 59.4
DeKalb, George W. Bush, Republican, 63.23
Elmore, George W. Bush, Republican, 70.48
Escambia, George W. Bush, Republican, 59.82
Etowah, George W. Bush, Republican, 53.59
Fayette, George W. Bush, Republican, 58.68
Franklin, George W. Bush, Republican, 55.11
Geneva, George W. Bush, Republican, 68.92
Greene, Al Gore, Democrat, 79.71
Hale, Al Gore, Democrat, 60.17
Henry, George W. Bush, Republican, 58.48
Houston, George W. Bush, Republican, 69.1
Jackson, Al Gore, Democrat, 50.63
Jefferson, George W. Bush, Republican, 50.59
Lamar, George W. Bush, Republican, 61.66
Lauderdale, George W. Bush, Republican, 54.39
Lawrence, Al Gore, Democrat, 51.67
Lee, George W. Bush, Republican, 58.63
Limestone, George W. Bush, Republican, 60.1
Lowndes, Al Gore, Democrat, 72.99
Macon, Al Gore, Democrat, 86.8
Madison, George W. Bush, Republican, 54.85
Marengo, Al Gore, Democrat, 50.39
Marion, George W. Bush, Republican, 58.78
Marshall, George W. Bush, Republican, 61.04
Mobile, George W. Bush, Republican, 55.93
Monroe, George W. Bush, Republican, 57.57
Montgomery, Al Gore, Democrat, 50.26
Morgan, George W. Bush, Republican, 60.39
Perry, Al Gore, Democrat, 69.47
Pickens, George W. Bush, Republican, 50.42
Pike, George W. Bush, Republican, 57.45
Randolph, George W. Bush, Republican, 58.92
Russell, Al Gore, Democrat, 56.83
St. Clair, George W. Bush, Republican, 71.05
Shelby, George W. Bush, Republican, 76.7
Sumter, Al Gore, Democrat, 72.52
Talladega, George W. Bush, Republican, 54.25
Tallapoosa, George W. Bush, Republican, 60.33
Tuscaloosa, George W. Bush, Republican, 56.56
Walker, George W. Bush, Republican, 52.6
Washington, George W. Bush, Republican, 54.2
Wilcox, Al Gore, Democrat, 67.19
Winston, George W. Bush, Republican, 68.82
