Aleutians East, George W. Bush, Republican, 72.9
Aleutians West, George W. Bush, Republican, 51.2
Anchorage, George W. Bush, Republican, 57.2
Bethel, Al Gore, Democrat, 46.4
Bristol Bay, George W. Bush, Republican, 54.6
Chugach, George W. Bush, Republican, 59.6
Copper River, George W. Bush, Republican, 72.3
Denali, George W. Bush, Republican, 55.5
Dillingham, George W. Bush, Republican, 53.8
Fairbanks North Star, George W. Bush, Republican, 61.5
Haines, George W. Bush, Republican, 55.0
Hoonah-Angoon, George W. Bush, Republican, 44.3
Juneau, George W. Bush, Republican, 45.3
Kenai Peninsula, George W. Bush, Republican, 64.0
Ketchikan Gateway, George W. Bush, Republican, 70.3
Kodiak Island, George W. Bush, Republican, 63.3
Kusilvak, George W. Bush, Republican, 49.0
Lake and Peninsula, George W. Bush, Republican, 55.1
Matanuska-Susitna, George W. Bush, Republican, 65.5
Nome, George W. Bush, Republican, 51.5
North Slope, George W. Bush, Republican, 58.0
Northwest Arctic, George W. Bush, Republican, 51.0
Petersburg, George W. Bush, Republican, 64.0
Prince of Wales-Hyder, George W. Bush, Republican, 61.7
Sitka, George W. Bush, Republican, 48.2
Skagway, George W. Bush, Republican, 49.5
Southeast Fairbanks, George W. Bush, Republican, 73.6
Wrangell, George W. Bush, Republican, 77.8
Yakutat, George W. Bush, Republican, 50.1
Yukon-Koyukuk, George W. Bush, Republican, 47.8
