Alameda, Al Gore, Democrat, 69.36
Alpine, George W. Bush, Republican, 47.95
Amador, George W. Bush, Republican, 56.69
Butte, George W. Bush, Republican, 54.45
Calaveras, George W. Bush, Republican, 56.15
Colusa, George W. Bush, Republican, 64.92
Contra Costa, Al Gore, Democrat, 58.81
Del Norte, George W. Bush, Republican, 54.57
El Dorado, George W. Bush, Republican, 58.29
Fresno, George W. Bush, Republican, 53.14
Glenn, George W. Bush, Republican, 66.53
Humboldt, Al Gore, Democrat, 44.4
Imperial, Al Gore, Democrat, 53.53
Inyo, George W. Bush, Republican, 60.31
Kern, George W. Bush, Republican, 60.7
Kings, George W. Bush, Republican, 57.8
Lake, Al Gore, Democrat, 51.23
Lassen, George W. Bush, Republican, 66.88
Los Angeles, Al Gore, Democrat, 63.47
Madera, George W. Bush, Republican, 60.74
Marin, Al Gore, Democrat, 64.26
Mariposa, George W. Bush, Republican, 58.55
Mendocino, Al Gore, Democrat, 48.34
Merced, George W. Bush, Republican, 51.77
Modoc, George W. Bush, Republican, 72.29
Mono, George W. Bush, Republican, 52.53
Monterey, Al Gore, Democrat, 57.53
Napa, Al Gore, Democrat, 54.32
Nevada, George W. Bush, Republican, 54.76
Orange, George W. Bush, Republican, 55.75
Placer, George W. Bush, Republican, 59.28
Plumas, George W. Bush, Republican, 60.98
Riverside, George W. Bush, Republican, 51.42
Sacramento, Al Gore, Democrat, 49.31
San Benito, Al Gore, Democrat, 54.25
San Bernardino, George W. Bush, Republican, 48.75
San Diego, George W. Bush, Republican, 49.63
San Francisco, Al Gore, Democrat, 75.54
San Joaquin, George W. Bush, Republican, 48.9
San Luis Obispo, George W. Bush, Republican, 52.22
San Mateo, Al Gore, Democrat, 64.29
Santa Barbara, Al Gore, Democrat, 47.37
Santa Clara, Al Gore, Democrat, 60.66
Santa Cruz, Al Gore, Democrat, 61.48
Shasta, George W. Bush, Republican, 65.04
Sierra, George W. Bush, Republican, 63.45
Siskiyou, George W. Bush, Republican, 61.55
Solano, Al Gore, Democrat, 57.02
Sonoma, Al Gore, Democrat, 59.54
Stanislaus, George W. Bush, Republican, 52.38
Sutter, George W. Bush, Republican, 65.31
Tehama, George W. Bush, Republican, 63.63
Trinity, George W. Bush, Republican, 57.62
Tulare, George W. Bush, Republican, 60.2
Tuolumne, George W. Bush, Republican, 55.51
Ventura, George W. Bush, Republican, 48.17
Yolo, Al Gore, Democrat, 54.93
Yuba, George W. Bush, Republican, 61
