Fairfield, Al Gore, Democrat, 52.33
Hartford, Al Gore, Democrat, 60.17
Litchfield, Al Gore, Democrat, 47.87
Middlesex, Al Gore, Democrat, 55.94
New Haven, Al Gore, Democrat, 58.03
New London, Al Gore, Democrat, 55.38
Tolland, Al Gore, Democrat, 53.52
Windham, Al Gore, Democrat, 54.64
Statewide Writein, Al Gore, Democrat, NaN, Al Gore, Democrat, NaN, Al Gore, Democrat, NaN, George W. Bush, Republican, NaN
Statewide Writein, George W. Bush, Republican, NaN, George W. Bush, Republican, NaN, George W. Bush, Republican, NaN, Ralph Nader, Green, NaN
Statewide Writein, Ralph Nader, Green, NaN, Ralph Nader, Green, NaN, Ralph Nader, Green, NaN, Other, Other, NaN
Statewide Writein, John Kerry, Democrat, 23.69
