Adair, George W. Bush, Republican, 55.18
Adams, George W. Bush, Republican, 54.55
Allamakee, George W. Bush, Republican, 50.71
Appanoose, George W. Bush, Republican, 52.45
Audubon, George W. Bush, Republican, 50.45
Benton, Al Gore, Democrat, 50.27
Black Hawk, Al Gore, Democrat, 54.66
Boone, Al Gore, Democrat, 51.19
Bremer, George W. Bush, Republican, 50.78
Buchanan, Al Gore, Democrat, 53.61
Buena Vista, George W. Bush, Republican, 54.58
Butler, George W. Bush, Republican, 57.06
Calhoun, George W. Bush, Republican, 55.07
Carroll, George W. Bush, Republican, 50.99
Cass, George W. Bush, Republican, 61.13
Cedar, Al Gore, Democrat, 48.33
Cerro Gordo, Al Gore, Democrat, 54.98
Cherokee, George W. Bush, Republican, 52.53
Chickasaw, Al Gore, Democrat, 52.17
Clarke, Al Gore, Democrat, 49.83
Clay, George W. Bush, Republican, 52.68
Clayton, Al Gore, Democrat, 49.45
Clinton, Al Gore, Democrat, 55.35
Crawford, George W. Bush, Republican, 53.12
Dallas, George W. Bush, Republican, 53.32
Davis, George W. Bush, Republican, 52.05
Decatur, George W. Bush, Republican, 51.31
Delaware, George W. Bush, Republican, 51.18
Des Moines, Al Gore, Democrat, 58.62
Dickinson, George W. Bush, Republican, 52.03
Dubuque, Al Gore, Democrat, 55.41
Emmet, George W. Bush, Republican, 50.35
Fayette, George W. Bush, Republican, 49.34
Floyd, Al Gore, Democrat, 52.92
Franklin, George W. Bush, Republican, 53.81
Fremont, George W. Bush, Republican, 57.22
Greene, Al Gore, Democrat, 48.76
Grundy, George W. Bush, Republican, 63.02
Guthrie, George W. Bush, Republican, 51.93
Hamilton, George W. Bush, Republican, 52.39
Hancock, George W. Bush, Republican, 54.95
Hardin, George W. Bush, Republican, 53.18
Harrison, George W. Bush, Republican, 58.11
Henry, George W. Bush, Republican, 51.62
Howard, Al Gore, Democrat, 54.02
Humboldt, George W. Bush, Republican, 57.61
Ida, George W. Bush, Republican, 56.37
Iowa, George W. Bush, Republican, 52.53
Jackson, Al Gore, Democrat, 54.75
Jasper, George W. Bush, Republican, 48.94
Jefferson, George W. Bush, Republican, 43.03
Johnson, Al Gore, Democrat, 59.08
Jones, Al Gore, Democrat, 51.3
Keokuk, George W. Bush, Republican, 51.97
Kossuth, George W. Bush, Republican, 51.95
Lee, Al Gore, Democrat, 58.12
Linn, Al Gore, Democrat, 53.11
Louisa, Al Gore, Democrat, 49.47
Lucas, George W. Bush, Republican, 52.57
Lyon, George W. Bush, Republican, 73.34
Madison, George W. Bush, Republican, 52.55
Mahaska, George W. Bush, Republican, 62.57
Marion, George W. Bush, Republican, 58.01
Marshall, George W. Bush, Republican, 49.85
Mills, George W. Bush, Republican, 62.28
Mitchell, Al Gore, Democrat, 51.34
Monona, George W. Bush, Republican, 50.53
Monroe, George W. Bush, Republican, 50.95
Montgomery, George W. Bush, Republican, 63.35
Muscatine, Al Gore, Democrat, 50.12
O'Brien, George W. Bush, Republican, 66.35
Osceola, George W. Bush, Republican, 67.38
Page, George W. Bush, Republican, 65
Palo Alto, George W. Bush, Republican, 48.54
Plymouth, George W. Bush, Republican, 61.17
Pocahontas, George W. Bush, Republican, 54.14
Polk, Al Gore, Democrat, 51.51
Pottawattamie, George W. Bush, Republican, 54.5
Poweshiek, George W. Bush, Republican, 48.95
Ringgold, George W. Bush, Republican, 50.85
Sac, George W. Bush, Republican, 55.16
Scott, Al Gore, Democrat, 50.81
Shelby, George W. Bush, Republican, 60.83
Sioux, George W. Bush, Republican, 83.32
Story, Al Gore, Democrat, 49.42
Tama, Al Gore, Democrat, 48.65
Taylor, George W. Bush, Republican, 57.17
Union, George W. Bush, Republican, 52.32
Van Buren, George W. Bush, Republican, 56.61
Wapello, Al Gore, Democrat, 55.19
Warren, George W. Bush, Republican, 48.95
Washington, George W. Bush, Republican, 53.08
Wayne, George W. Bush, Republican, 55.15
Webster, Al Gore, Democrat, 49.74
Winnebago, Al Gore, Democrat, 48.69
Winneshiek, George W. Bush, Republican, 49.35
Woodbury, George W. Bush, Republican, 49.78
Worth, Al Gore, Democrat, 55.14
Wright, George W. Bush, Republican, 53.41
