Androscoggin, Al Gore, Democrat, 53.31
Aroostook, Al Gore, Democrat, 48.93
Cumberland, Al Gore, Democrat, 52.03
Franklin, Al Gore, Democrat, 49.15
Hancock, Al Gore, Democrat, 45.44
Kennebec, Al Gore, Democrat, 52.96
Knox, Al Gore, Democrat, 46.11
Lincoln, George W. Bush, Republican, 48.08
Oxford, Al Gore, Democrat, 49.65
Penobscot, George W. Bush, Republican, 48.66
Piscataquis, George W. Bush, Republican, 52.34
Sagadahoc, Al Gore, Democrat, 48.05
Somerset, Al Gore, Democrat, 48.17
Waldo, George W. Bush, Republican, 45.4
Washington, George W. Bush, Republican, 50.66
York, Al Gore, Democrat, 49.31
