Adair, George W. Bush, Republican, 57.34
Andrew, George W. Bush, Republican, 58.52
Atchison, George W. Bush, Republican, 62.63
Audrain, George W. Bush, Republican, 52.64
Barry, George W. Bush, Republican, 63.75
Barton, George W. Bush, Republican, 71.49
Bates, George W. Bush, Republican, 54.48
Benton, George W. Bush, Republican, 55.99
Bollinger, George W. Bush, Republican, 65.87
Boone, Al Gore, Democrat, 48.33
Buchanan, Al Gore, Democrat, 49.16
Butler, George W. Bush, Republican, 63.28
Caldwell, George W. Bush, Republican, 57.66
Callaway, George W. Bush, Republican, 53.81
Camden, George W. Bush, Republican, 60.58
Cape Girardeau, George W. Bush, Republican, 66.42
Carroll, George W. Bush, Republican, 62.87
Carter, George W. Bush, Republican, 61.61
Cass, George W. Bush, Republican, 56.07
Cedar, George W. Bush, Republican, 62.33
Chariton, George W. Bush, Republican, 55.37
Christian, George W. Bush, Republican, 63.82
Clark, George W. Bush, Republican, 49.95
Clay, Al Gore, Democrat, 48.75
Clinton, George W. Bush, Republican, 50.67
Cole, George W. Bush, Republican, 61.53
Cooper, George W. Bush, Republican, 59.97
Crawford, George W. Bush, Republican, 57.26
Dade, George W. Bush, Republican, 65.78
Dallas, George W. Bush, Republican, 59.86
Daviess, George W. Bush, Republican, 57.56
DeKalb, George W. Bush, Republican, 58.36
Dent, George W. Bush, Republican, 66.73
Douglas, George W. Bush, Republican, 68.15
Dunklin, George W. Bush, Republican, 51.55
Franklin, George W. Bush, Republican, 55.78
Gasconade, George W. Bush, Republican, 63.21
Gentry, George W. Bush, Republican, 57.04
Greene, George W. Bush, Republican, 57.5
Grundy, George W. Bush, Republican, 63.21
Harrison, George W. Bush, Republican, 63.94
Henry, George W. Bush, Republican, 52.36
Hickory, George W. Bush, Republican, 51.25
Holt, George W. Bush, Republican, 65.29
Howard, George W. Bush, Republican, 53.5
Howell, George W. Bush, Republican, 64.07
Iron, George W. Bush, Republican, 50.68
Jackson, Al Gore, Democrat, 58.96
Jasper, George W. Bush, Republican, 66.43
Jefferson, Al Gore, Democrat, 50.02
Johnson, George W. Bush, Republican, 55.63
Knox, George W. Bush, Republican, 59.66
Laclede, George W. Bush, Republican, 65.58
Lafayette, George W. Bush, Republican, 54.06
Lawrence, George W. Bush, Republican, 64.36
Lewis, George W. Bush, Republican, 53.26
Lincoln, George W. Bush, Republican, 53.72
Linn, George W. Bush, Republican, 54.01
Livingston, George W. Bush, Republican, 59.1
McDonald, George W. Bush, Republican, 68.31
Macon, George W. Bush, Republican, 58.98
Madison, George W. Bush, Republican, 56.25
Maries, George W. Bush, Republican, 57.5
Marion, George W. Bush, Republican, 55.93
Mercer, George W. Bush, Republican, 67.86
Miller, George W. Bush, Republican, 63.54
Mississippi, Al Gore, Democrat, 52.85
Moniteau, George W. Bush, Republican, 62.06
Monroe, George W. Bush, Republican, 53.13
Montgomery, George W. Bush, Republican, 58.57
Morgan, George W. Bush, Republican, 56.59
New Madrid, Al Gore, Democrat, 51.45
Newton, George W. Bush, Republican, 67.25
Nodaway, George W. Bush, Republican, 57.03
Oregon, George W. Bush, Republican, 59.56
Osage, George W. Bush, Republican, 67.24
Ozark, George W. Bush, Republican, 62.05
Pemiscot, Al Gore, Democrat, 53.55
Perry, George W. Bush, Republican, 67.61
Pettis, George W. Bush, Republican, 60.51
Phelps, George W. Bush, Republican, 58.49
Pike, George W. Bush, Republican, 49.63
Platte, George W. Bush, Republican, 52.23
Polk, George W. Bush, Republican, 62.46
Pulaski, George W. Bush, Republican, 62.02
Putnam, George W. Bush, Republican, 68.25
Ralls, George W. Bush, Republican, 53.85
Randolph, George W. Bush, Republican, 52.73
Ray, Al Gore, Democrat, 50.99
Reynolds, George W. Bush, Republican, 56.28
Ripley, George W. Bush, Republican, 61.62
Saint Charles, George W. Bush, Republican, 56.04
Saint Clair, George W. Bush, Republican, 57.63
Sainte Genevieve, Al Gore, Democrat, 49.24
Saint Francois, George W. Bush, Republican, 49.5
Saint Louis County, Al Gore, Democrat, 51.48
Saline, Al Gore, Democrat, 49.01
Schuyler, George W. Bush, Republican, 57.78
Scotland, George W. Bush, Republican, 61.27
Scott, George W. Bush, Republican, 57.3
Shannon, George W. Bush, Republican, 59.38
Shelby, George W. Bush, Republican, 59.44
Stoddard, George W. Bush, Republican, 62.04
Stone, George W. Bush, Republican, 64.13
Sullivan, George W. Bush, Republican, 61.26
Taney, George W. Bush, Republican, 63.84
Texas, George W. Bush, Republican, 61.78
Vernon, George W. Bush, Republican, 59.29
Warren, George W. Bush, Republican, 55.67
Washington, Al Gore, Democrat, 48.97
Wayne, George W. Bush, Republican, 57.22
Webster, George W. Bush, Republican, 61.87
Worth, George W. Bush, Republican, 56.22
Wright, George W. Bush, Republican, 68.75
Saint Louis City, Al Gore, Democrat, 77.4
Kansas City, Al Gore, Democrat, NaN, George W. Bush, Republican, NaN, Ralph Nader, Green, NaN, Other, Other, NaN
