Accomack, George W. Bush, Republican, 53.27
Albemarle, George W. Bush, Republican, 49.64
Alleghany, George W. Bush, Republican, 54.81
Amelia, George W. Bush, Republican, 61.55
Amherst, George W. Bush, Republican, 56.86
Appomattox, George W. Bush, Republican, 61.65
Arlington, Al Gore, Democrat, 60.15
Augusta, George W. Bush, Republican, 70.21
Bath, George W. Bush, Republican, 59.32
Bedford, George W. Bush, Republican, 65.87
Bland, George W. Bush, Republican, 65.44
Botetourt, George W. Bush, Republican, 64.07
Brunswick, Al Gore, Democrat, 56.48
Buchanan, Al Gore, Democrat, 58.29
Buckingham, George W. Bush, Republican, 50.2
Campbell, George W. Bush, Republican, 64.75
Caroline, Al Gore, Democrat, 51.66
Carroll, George W. Bush, Republican, 64.92
Charles City, Al Gore, Democrat, 64.61
Charlotte, George W. Bush, Republican, 57.17
Chesterfield, George W. Bush, Republican, 63.02
Clarke, George W. Bush, Republican, 54.56
Craig, George W. Bush, Republican, 63.38
Culpeper, George W. Bush, Republican, 60.76
Cumberland, George W. Bush, Republican, 56.29
Dickenson, Al Gore, Democrat, 54.68
Dinwiddie, George W. Bush, Republican, 54.28
Essex, George W. Bush, Republican, 52.08
Fairfax, George W. Bush, Republican, 48.86
Fauquier, George W. Bush, Republican, 61.56
Floyd, George W. Bush, Republican, 59.64
Fluvanna, George W. Bush, Republican, 57
Franklin, George W. Bush, Republican, 59.62
Frederick, George W. Bush, Republican, 65.09
Giles, George W. Bush, Republican, 52.4
Gloucester, George W. Bush, Republican, 63.64
Goochland, George W. Bush, Republican, 61.27
Grayson, George W. Bush, Republican, 61.82
Greene, George W. Bush, Republican, 62.36
Greensville, Al Gore, Democrat, 59.24
Halifax, George W. Bush, Republican, 54.95
Hanover, George W. Bush, Republican, 68.81
Henrico, George W. Bush, Republican, 55.04
Henry, George W. Bush, Republican, 55.3
Highland, George W. Bush, Republican, 65.55
Isle of Wight, George W. Bush, Republican, 58.59
James City, George W. Bush, Republican, 59.73
King and Queen, George W. Bush, Republican, 49.77
King George, George W. Bush, Republican, 61.35
King William, George W. Bush, Republican, 61.48
Lancaster, George W. Bush, Republican, 62.53
Lee, George W. Bush, Republican, 52.02
Loudoun, George W. Bush, Republican, 56.12
Louisa, George W. Bush, Republican, 54.09
Lunenburg, George W. Bush, Republican, 54.67
Madison, George W. Bush, Republican, 58.48
Mathews, George W. Bush, Republican, 64.03
Mecklenburg, George W. Bush, Republican, 56.63
Middlesex, George W. Bush, Republican, 60.65
Montgomery, George W. Bush, Republican, 51.51
Nelson, George W. Bush, Republican, 47.4
New Kent, George W. Bush, Republican, 64.34
Northampton, Al Gore, Democrat, 47.83
Northumberland, George W. Bush, Republican, 59.98
Nottoway, George W. Bush, Republican, 52.26
Orange, George W. Bush, Republican, 57.15
Page, George W. Bush, Republican, 63.64
Patrick, George W. Bush, Republican, 66.36
Pittsylvania, George W. Bush, Republican, 64.98
Powhatan, George W. Bush, Republican, 70.23
Prince Edward, George W. Bush, Republican, 50.51
Prince George, George W. Bush, Republican, 60.36
Prince William, George W. Bush, Republican, 52.52
Pulaski, George W. Bush, Republican, 55.83
Rappahannock, George W. Bush, Republican, 52.66
Richmond, George W. Bush, Republican, 60.5
Roanoke, George W. Bush, Republican, 60.12
Rockbridge, George W. Bush, Republican, 57.77
Rockingham, George W. Bush, Republican, 72.86
Russell, Al Gore, Democrat, 50.43
Scott, George W. Bush, Republican, 59.29
Shenandoah, George W. Bush, Republican, 66.68
Smyth, George W. Bush, Republican, 56.05
Southampton, Al Gore, Democrat, 50.03
Spotsylvania, George W. Bush, Republican, 59.22
Stafford, George W. Bush, Republican, 60.54
Surry, Al Gore, Democrat, 57.12
Sussex, Al Gore, Democrat, 51.36
Tazewell, George W. Bush, Republican, 52.96
Warren, George W. Bush, Republican, 56.73
Washington, George W. Bush, Republican, 59.66
Westmoreland, George W. Bush, Republican, 48.66
Wise, George W. Bush, Republican, 48.87
Wythe, George W. Bush, Republican, 63.95
York, George W. Bush, Republican, 62.29
Alexandria, Al Gore, Democrat, 60.93
Bedford City, George W. Bush, Republican, 51.99
Bristol, George W. Bush, Republican, 55.66
Buena Vista, George W. Bush, Republican, 49.62
Charlottesville, Al Gore, Democrat, 58.7
Chesapeake, George W. Bush, Republican, 53.21
Colonial Heights, George W. Bush, Republican, 70.92
Covington, Al Gore, Democrat, 52.76
Danville, George W. Bush, Republican, 51.49
Emporia, Al Gore, Democrat, 53.65
Fairfax City, George W. Bush, Republican, 49.83
Falls Church, Al Gore, Democrat, 55.59
Franklin City, Al Gore, Democrat, 55.25
Fredericksburg, Al Gore, Democrat, 50.29
Galax, George W. Bush, Republican, 52.42
Hampton, Al Gore, Democrat, 57.41
Harrisonburg, George W. Bush, Republican, 57.65
Hopewell, George W. Bush, Republican, 53.73
Lexington, Al Gore, Democrat, 48.97
Lynchburg, George W. Bush, Republican, 53.25
Manassas, George W. Bush, Republican, 54.41
Manassas Park, George W. Bush, Republican, 56.59
Martinsville, Al Gore, Democrat, 53.53
Newport News, Al Gore, Democrat, 51.5
Norfolk, Al Gore, Democrat, 61.7
Norton, Al Gore, Democrat, 56.67
Petersburg, Al Gore, Democrat, 79.11
Poquoson, George W. Bush, Republican, 72.87
Portsmouth, Al Gore, Democrat, 62.86
Radford, George W. Bush, Republican, 49.24
Richmond City, Al Gore, Democrat, 64.8
Roanoke City, Al Gore, Democrat, 53.59
Salem, George W. Bush, Republican, 57.46
Staunton, George W. Bush, Republican, 57.29
Suffolk, Al Gore, Democrat, 50.57
Virginia Beach, George W. Bush, Republican, 55.87
Waynesboro, George W. Bush, Republican, 57.5
Williamsburg, George W. Bush, Republican, 47.7
Winchester, George W. Bush, Republican, 54.7
