Alachua, John Kerry, Democrat, 56.14
Baker, George W. Bush, Republican, 77.73
Bay, George W. Bush, Republican, 71.18
Bradford, George W. Bush, Republican, 69.62
Brevard, George W. Bush, Republican, 57.66
Broward, John Kerry, Democrat, 64.21
Calhoun, George W. Bush, Republican, 63.42
Charlotte, George W. Bush, Republican, 55.68
Citrus, George W. Bush, Republican, 56.86
Clay, George W. Bush, Republican, 76.17
Collier, George W. Bush, Republican, 64.99
Columbia, George W. Bush, Republican, 67.06
DeSoto, George W. Bush, Republican, 58.09
Dixie, George W. Bush, Republican, 68.83
Duval, George W. Bush, Republican, 57.78
Escambia, George W. Bush, Republican, 65.3
Flagler, George W. Bush, Republican, 51.02
Franklin, George W. Bush, Republican, 58.54
Gadsden, John Kerry, Democrat, 69.72
Gilchrist, George W. Bush, Republican, 70.36
Glades, George W. Bush, Republican, 58.33
Gulf, George W. Bush, Republican, 66.03
Hamilton, George W. Bush, Republican, 54.97
Hardee, George W. Bush, Republican, 69.65
Hendry, George W. Bush, Republican, 58.9
Hernando, George W. Bush, Republican, 52.93
Highlands, George W. Bush, Republican, 62.36
Hillsborough, George W. Bush, Republican, 53.01
Holmes, George W. Bush, Republican, 77.25
Indian River, George W. Bush, Republican, 60.15
Jackson, George W. Bush, Republican, 61.2
Jefferson, John Kerry, Democrat, 55.3
Lafayette, George W. Bush, Republican, 73.98
Lake, George W. Bush, Republican, 60.02
Lee, George W. Bush, Republican, 59.91
Leon, John Kerry, Democrat, 61.5
Levy, George W. Bush, Republican, 62.52
Liberty, George W. Bush, Republican, 63.79
Madison, George W. Bush, Republican, 50.47
Manatee, George W. Bush, Republican, 56.62
Marion, George W. Bush, Republican, 58.19
Martin, George W. Bush, Republican, 57.09
Miami-Dade, John Kerry, Democrat, 52.89
Monroe, John Kerry, Democrat, 49.71
Nassau, George W. Bush, Republican, 72.64
Okaloosa, George W. Bush, Republican, 77.65
Okeechobee, George W. Bush, Republican, 57.24
Orange, John Kerry, Democrat, 49.83
Osceola, George W. Bush, Republican, 52.45
Palm Beach, John Kerry, Democrat, 60.35
Pasco, George W. Bush, Republican, 54.07
Pinellas, George W. Bush, Republican, 49.56
Polk, George W. Bush, Republican, 58.61
Putnam, George W. Bush, Republican, 59.12
St. Johns, George W. Bush, Republican, 68.6
St. Lucie, John Kerry, Democrat, 51.8
Santa Rosa, George W. Bush, Republican, 77.35
Sarasota, George W. Bush, Republican, 53.51
Seminole, George W. Bush, Republican, 58.1
Sumter, George W. Bush, Republican, 62.18
Suwannee, George W. Bush, Republican, 70.58
Taylor, George W. Bush, Republican, 63.71
Union, George W. Bush, Republican, 72.64
Volusia, John Kerry, Democrat, 50.46
Wakulla, George W. Bush, Republican, 57.61
Walton, George W. Bush, Republican, 73.22
Washington, George W. Bush, Republican, 71.09
