Appling, George W. Bush, Republican, 70.56
Atkinson, George W. Bush, Republican, 67.45
Bacon, George W. Bush, Republican, 75.28
Baker, John Kerry, Democrat, 53.06
Baldwin, George W. Bush, Republican, 52.99
Banks, George W. Bush, Republican, 78.89
Barrow, George W. Bush, Republican, 76.27
Bartow, George W. Bush, Republican, 73.8
Ben Hill, George W. Bush, Republican, 60.17
Berrien, George W. Bush, Republican, 70.05
Bibb, John Kerry, Democrat, 50.83
Bleckley, George W. Bush, Republican, 70.9
Brantley, George W. Bush, Republican, 77.13
Brooks, George W. Bush, Republican, 56.95
Bryan, George W. Bush, Republican, 73.76
Bulloch, George W. Bush, Republican, 63.91
Burke, George W. Bush, Republican, 49.91
Butts, George W. Bush, Republican, 66.19
Calhoun, John Kerry, Democrat, 55.42
Camden, George W. Bush, Republican, 66.93
Candler, George W. Bush, Republican, 65
Carroll, George W. Bush, Republican, 70.4
Catoosa, George W. Bush, Republican, 73.56
Charlton, George W. Bush, Republican, 68.23
Chatham, John Kerry, Democrat, 49.86
Chattahoochee, George W. Bush, Republican, 53.61
Chattooga, George W. Bush, Republican, 63.62
Cherokee, George W. Bush, Republican, 79.14
Clarke, John Kerry, Democrat, 58.33
Clay, John Kerry, Democrat, 60.96
Clayton, John Kerry, Democrat, 70.54
Clinch, George W. Bush, Republican, 66.27
Cobb, George W. Bush, Republican, 62.07
Coffee, George W. Bush, Republican, 67.38
Colquitt, George W. Bush, Republican, 70.72
Columbia, George W. Bush, Republican, 75.41
Cook, George W. Bush, Republican, 63.64
Coweta, George W. Bush, Republican, 74.47
Crawford, George W. Bush, Republican, 64.29
Crisp, George W. Bush, Republican, 61.84
Dade, George W. Bush, Republican, 70.11
Dawson, George W. Bush, Republican, 81.95
Decatur, George W. Bush, Republican, 59.75
DeKalb, John Kerry, Democrat, 72.71
Dodge, George W. Bush, Republican, 65.53
Dooly, John Kerry, Democrat, 51.33
Dougherty, John Kerry, Democrat, 58.86
Douglas, George W. Bush, Republican, 61.44
Early, George W. Bush, Republican, 59.22
Echols, George W. Bush, Republican, 76.39
Effingham, George W. Bush, Republican, 77.34
Elbert, George W. Bush, Republican, 60.42
Emanuel, George W. Bush, Republican, 62.48
Evans, George W. Bush, Republican, 65.2
Fannin, George W. Bush, Republican, 71.11
Fayette, George W. Bush, Republican, 71.1
Floyd, George W. Bush, Republican, 67.67
Forsyth, George W. Bush, Republican, 83.18
Franklin, George W. Bush, Republican, 69.55
Fulton, John Kerry, Democrat, 59.35
Gilmer, George W. Bush, Republican, 74.15
Glascock, George W. Bush, Republican, 80.06
Glynn, George W. Bush, Republican, 67.2
Gordon, George W. Bush, Republican, 73.98
Grady, George W. Bush, Republican, 61.87
Greene, George W. Bush, Republican, 59.21
Gwinnett, George W. Bush, Republican, 65.78
Habersham, George W. Bush, Republican, 78.78
Hall, George W. Bush, Republican, 78.24
Hancock, John Kerry, Democrat, 76.48
Haralson, George W. Bush, Republican, 75.57
Harris, George W. Bush, Republican, 72
