Adair, George W. Bush, Republican, 75.57
Allen, George W. Bush, Republican, 72.62
Anderson, George W. Bush, Republican, 66.34
Ballard, George W. Bush, Republican, 57.19
Barren, George W. Bush, Republican, 67.05
Bath, John Kerry, Democrat, 53.02
Bell, George W. Bush, Republican, 61.1
Boone, George W. Bush, Republican, 71.71
Bourbon, George W. Bush, Republican, 60.28
Boyd, George W. Bush, Republican, 52.81
Boyle, George W. Bush, Republican, 62.16
Bracken, George W. Bush, Republican, 65.46
Breathitt, John Kerry, Democrat, 55.97
Breckinridge, George W. Bush, Republican, 65.49
Bullitt, George W. Bush, Republican, 67.88
Butler, George W. Bush, Republican, 73.66
Caldwell, George W. Bush, Republican, 64.04
Calloway, George W. Bush, Republican, 61.36
Campbell, George W. Bush, Republican, 63.57
Carlisle, George W. Bush, Republican, 60.95
Carroll, George W. Bush, Republican, 55.81
Carter, John Kerry, Democrat, 50.17
Casey, George W. Bush, Republican, 80.83
Christian, George W. Bush, Republican, 66.31
Clark, George W. Bush, Republican, 62.28
Clay, George W. Bush, Republican, 74.49
Clinton, George W. Bush, Republican, 77.41
Crittenden, George W. Bush, Republican, 65.06
Cumberland, George W. Bush, Republican, 72.74
Daviess, George W. Bush, Republican, 61.16
Edmonson, George W. Bush, Republican, 65.59
Elliott, John Kerry, Democrat, 69.8
Estill, George W. Bush, Republican, 65.17
Fayette, George W. Bush, Republican, 52.88
Fleming, George W. Bush, Republican, 60.44
Floyd, John Kerry, Democrat, 62.24
Franklin, George W. Bush, Republican, 50.89
Fulton, George W. Bush, Republican, 52.84
Gallatin, George W. Bush, Republican, 60.82
Garrard, George W. Bush, Republican, 71.85
Grant, George W. Bush, Republican, 67.44
Graves, George W. Bush, Republican, 61.02
Grayson, George W. Bush, Republican, 70.69
Green, George W. Bush, Republican, 74.26
Greenup, George W. Bush, Republican, 52.91
Hancock, George W. Bush, Republican, 56.74
Hardin, George W. Bush, Republican, 67.58
Harlan, George W. Bush, Republican, 60.15
Harrison, George W. Bush, Republican, 62.8
Hart, George W. Bush, Republican, 62.93
Henderson, George W. Bush, Republican, 55.97
Henry, George W. Bush, Republican, 62.99
Hickman, George W. Bush, Republican, 59.56
Hopkins, George W. Bush, Republican, 65.35
Jackson, George W. Bush, Republican, 84.38
Jefferson, John Kerry, Democrat, 50.44
Jessamine, George W. Bush, Republican, 69.82
Johnson, George W. Bush, Republican, 63.84
Kenton, George W. Bush, Republican, 65.05
Knott, John Kerry, Democrat, 63.36
Knox, George W. Bush, Republican, 67.41
Larue, George W. Bush, Republican, 68.88
Laurel, George W. Bush, Republican, 75.54
Lawrence, George W. Bush, Republican, 57.65
Lee, George W. Bush, Republican, 69.11
Leslie, George W. Bush, Republican, 73.75
Letcher, George W. Bush, Republican, 52.96
Lewis, George W. Bush, Republican, 68.89
Lincoln, George W. Bush, Republican, 67.65
Livingston, George W. Bush, Republican, 56.84
Logan, George W. Bush, Republican, 64.03
Lyon, George W. Bush, Republican, 54.32
McCracken, George W. Bush, Republican, 61.14
McCreary, George W. Bush, Republican, 72.39
McLean, George W. Bush, Republican, 58.26
Madison, George W. Bush, Republican, 61.62
Magoffin, John Kerry, Democrat, 49.72
Marion, George W. Bush, Republican, 53.1
Marshall, George W. Bush, Republican, 58.3
Martin, George W. Bush, Republican, 66.01
Mason, George W. Bush, Republican, 61.89
Meade, George W. Bush, Republican, 65.31
Menifee, John Kerry, Democrat, 50.79
Mercer, George W. Bush, Republican, 67.26
Metcalfe, George W. Bush, Republican, 63.63
Monroe, George W. Bush, Republican, 79.7
Montgomery, George W. Bush, Republican, 55.2
Morgan, George W. Bush, Republican, 50.87
Muhlenberg, George W. Bush, Republican, 50.07
Nelson, George W. Bush, Republican, 60.32
Nicholas, George W. Bush, Republican, 55.57
Ohio, George W. Bush, Republican, 62.93
Oldham, George W. Bush, Republican, 69.29
Owen, George W. Bush, Republican, 65.05
Owsley, George W. Bush, Republican, 77.94
Pendleton, George W. Bush, Republican, 67.14
Perry, George W. Bush, Republican, 53.08
Pike, John Kerry, Democrat, 52.3
Powell, George W. Bush, Republican, 54.17
Pulaski, George W. Bush, Republican, 76.56
Robertson, George W. Bush, Republican, 61.47
Rockcastle, George W. Bush, Republican, 77.91
Rowan, John Kerry, Democrat, 52.33
Russell, George W. Bush, Republican, 76.83
Scott, George W. Bush, Republican, 62.17
Shelby, George W. Bush, Republican, 66.87
Simpson, George W. Bush, Republican, 60.67
Spencer, George W. Bush, Republican, 70.6
Taylor, George W. Bush, Republican, 70.39
Todd, George W. Bush, Republican, 68.2
Trigg, George W. Bush, Republican, 65.83
Trimble, George W. Bush, Republican, 61.53
Union, George W. Bush, Republican, 59.13
Warren, George W. Bush, Republican, 63.21
Washington, George W. Bush, Republican, 66.44
Wayne, George W. Bush, Republican, 65.41
Webster, George W. Bush, Republican, 57.82
Whitley, George W. Bush, Republican, 70.14
Wolfe, John Kerry, Democrat, 55.28
Woodford, George W. Bush, Republican, 60.31
