Bernalillo, John Kerry, Democrat, 51.5
Catron, George W. Bush, Republican, 71.6
Chaves, George W. Bush, Republican, 68.06
Cibola, John Kerry, Democrat, 52.26
Colfax, George W. Bush, Republican, 51.64
Curry, George W. Bush, Republican, 74.54
De Baca, George W. Bush, Republican, 71.1
Doña Ana, John Kerry, Democrat, 51.26
Eddy, George W. Bush, Republican, 65.46
Grant, John Kerry, Democrat, 52.98
Guadalupe, John Kerry, Democrat, 59.11
Harding, George W. Bush, Republican, 59.01
Hidalgo, George W. Bush, Republican, 55.04
Lea, George W. Bush, Republican, 79.37
Lincoln, George W. Bush, Republican, 67.34
Los Alamos, George W. Bush, Republican, 51.89
Luna, George W. Bush, Republican, 54.84
McKinley, John Kerry, Democrat, 63.28
Mora, John Kerry, Democrat, 66.38
Otero, George W. Bush, Republican, 67.74
Quay, George W. Bush, Republican, 64.63
Rio Arriba, John Kerry, Democrat, 65.02
Roosevelt, George W. Bush, Republican, 69.95
Sandoval, George W. Bush, Republican, 50.8
San Juan, George W. Bush, Republican, 65.6
San Miguel, John Kerry, Democrat, 71.67
Santa Fe, John Kerry, Democrat, 71.11
Sierra, George W. Bush, Republican, 61.31
Socorro, John Kerry, Democrat, 51.27
Taos, John Kerry, Democrat, 74.06
Torrance, George W. Bush, Republican, 61.87
Union, George W. Bush, Republican, 77.3
Valencia, George W. Bush, Republican, 55.64
