Autauga, John McCain, Republican, 73.61
Baldwin, John McCain, Republican, 75.26
Barbour, John McCain, Republican, 50.44
Bibb, John McCain, Republican, 72.44
Blount, John McCain, Republican, 84.02
Bullock, Barack Obama, Democrat, 74.07
Butler, John McCain, Republican, 56.49
Calhoun, John McCain, Republican, 65.69
Chambers, John McCain, Republican, 53.94
Cherokee, John McCain, Republican, 74.89
Chilton, John McCain, Republican, 78.49
Choctaw, John McCain, Republican, 53.5
Clarke, John McCain, Republican, 55.57
Clay, John McCain, Republican, 73.09
Cleburne, John McCain, Republican, 80.35
Coffee, John McCain, Republican, 74.12
Colbert, John McCain, Republican, 59.33
Conecuh, John McCain, Republican, 49.98
Coosa, John McCain, Republican, 58.39
Covington, John McCain, Republican, 78.82
Crenshaw, John McCain, Republican, 68.65
Cullman, John McCain, Republican, 81.85
Dale, John McCain, Republican, 71.87
Dallas, Barack Obama, Democrat, 67.07
DeKalb, John McCain, Republican, 74.77
Elmore, John McCain, Republican, 75.12
Escambia, John McCain, Republican, 63.89
Etowah, John McCain, Republican, 68.39
Fayette, John McCain, Republican, 73.93
Franklin, John McCain, Republican, 68.83
Geneva, John McCain, Republican, 80.78
Greene, Barack Obama, Democrat, 83.09
Hale, Barack Obama, Democrat, 60.65
Henry, John McCain, Republican, 64.58
Houston, John McCain, Republican, 70.09
Jackson, John McCain, Republican, 67.47
Jefferson, Barack Obama, Democrat, 52.15
Lamar, John McCain, Republican, 76.59
Lauderdale, John McCain, Republican, 63.16
Lawrence, John McCain, Republican, 63.19
Lee, John McCain, Republican, 59.33
Limestone, John McCain, Republican, 70.33
Lowndes, Barack Obama, Democrat, 74.87
Macon, Barack Obama, Democrat, 86.88
Madison, John McCain, Republican, 56.88
Marengo, Barack Obama, Democrat, 51.66
Marion, John McCain, Republican, 77.18
Marshall, John McCain, Republican, 77.57
Mobile, John McCain, Republican, 54.04
Monroe, John McCain, Republican, 54.88
Montgomery, Barack Obama, Democrat, 59.35
Morgan, John McCain, Republican, 71.26
Perry, Barack Obama, Democrat, 72.37
Pickens, John McCain, Republican, 53.98
Pike, John McCain, Republican, 57.36
Randolph, John McCain, Republican, 69.1
Russell, Barack Obama, Democrat, 53.32
St. Clair, John McCain, Republican, 81.11
Shelby, John McCain, Republican, 76.19
Sumter, Barack Obama, Democrat, 74.99
Talladega, John McCain, Republican, 58.8
Tallapoosa, John McCain, Republican, 67.92
Tuscaloosa, John McCain, Republican, 57.54
Walker, John McCain, Republican, 72.32
Washington, John McCain, Republican, 64.43
Wilcox, Barack Obama, Democrat, 71.02
Winston, John McCain, Republican, 80.78
