Aleutians East, John McCain, Republican, 66.3
Aleutians West, John McCain, Republican, 49.7
Anchorage, John McCain, Republican, 56.8
Bethel, Barack Obama, Democrat, 52.1
Bristol Bay, John McCain, Republican, 70.1
Chugach, John McCain, Republican, 60.9
Copper River, John McCain, Republican, 74.2
Denali, John McCain, Republican, 51.2
Dillingham, John McCain, Republican, 54.6
Fairbanks North Star, John McCain, Republican, 61.6
Haines, John McCain, Republican, 51.0
Hoonah-Angoon, Barack Obama, Democrat, 51.3
Juneau, Barack Obama, Democrat, 56.1
Kenai Peninsula, John McCain, Republican, 67.3
Ketchikan Gateway, John McCain, Republican, 58.7
Kodiak Island, John McCain, Republican, 63.4
Kusilvak, Barack Obama, Democrat, 55.9
Lake and Peninsula, John McCain, Republican, 59.4
Matanuska-Susitna, John McCain, Republican, 74.5
Nome, Barack Obama, Democrat, 50.2
North Slope, John McCain, Republican, 52.7
Northwest Arctic, John McCain, Republican, 56.1
Petersburg, John McCain, Republican, 55.9
Prince of Wales-Hyder, John McCain, Republican, 52.0
Sitka, Barack Obama, Democrat, 51.0
Skagway, Barack Obama, Democrat, 55.6
Southeast Fairbanks, John McCain, Republican, 77.4
Wrangell, John McCain, Republican, 69.2
Yakutat, Barack Obama, Democrat, 50.3
Yukon-Koyukuk, John McCain, Republican, 52.5
