Appling, John McCain, Republican, 72.68
Atkinson, John McCain, Republican, 66.84
Bacon, John McCain, Republican, 78.44
Baker, Barack Obama, Democrat, 50.15
Baldwin, Barack Obama, Democrat, 51.93
Banks, John McCain, Republican, 82.04
Barrow, John McCain, Republican, 71.7
Bartow, John McCain, Republican, 71.97
Ben Hill, John McCain, Republican, 56.61
Berrien, John McCain, Republican, 76
Bibb, Barack Obama, Democrat, 58.74
Bleckley, John McCain, Republican, 72.12
Brantley, John McCain, Republican, 80.93
Brooks, John McCain, Republican, 56.56
Bryan, John McCain, Republican, 70.94
Bulloch, John McCain, Republican, 59.26
Burke, Barack Obama, Democrat, 54.36
Butts, John McCain, Republican, 65.42
Calhoun, Barack Obama, Democrat, 60.7
Camden, John McCain, Republican, 61.47
Candler, John McCain, Republican, 64.98
Carroll, John McCain, Republican, 65.89
Catoosa, John McCain, Republican, 74.37
Charlton, John McCain, Republican, 66.92
Chatham, Barack Obama, Democrat, 56.93
Chattahoochee, Barack Obama, Democrat, 50.21
Chattooga, John McCain, Republican, 67.08
Cherokee, John McCain, Republican, 74.95
Clarke, Barack Obama, Democrat, 65.02
Clay, Barack Obama, Democrat, 61.04
Clayton, Barack Obama, Democrat, 82.99
Clinch, John McCain, Republican, 62.24
Cobb, John McCain, Republican, 54.2
Coffee, John McCain, Republican, 64.54
Colquitt, John McCain, Republican, 68.37
Columbia, John McCain, Republican, 71.04
Cook, John McCain, Republican, 64.07
Coweta, John McCain, Republican, 70.16
Crawford, John McCain, Republican, 64.08
Crisp, John McCain, Republican, 58.6
Dade, John McCain, Republican, 73.39
Dawson, John McCain, Republican, 82.63
Decatur, John McCain, Republican, 56.78
DeKalb, Barack Obama, Democrat, 78.99
Dodge, John McCain, Republican, 67.5
Dooly, Barack Obama, Democrat, 51.39
Dougherty, Barack Obama, Democrat, 67.28
Douglas, Barack Obama, Democrat, 50.51
Early, John McCain, Republican, 50.82
Echols, John McCain, Republican, 82.65
Effingham, John McCain, Republican, 74.97
Elbert, John McCain, Republican, 58.53
Emanuel, John McCain, Republican, 62
Evans, John McCain, Republican, 63.87
Fannin, John McCain, Republican, 73.76
Fayette, John McCain, Republican, 64.9
Floyd, John McCain, Republican, 67.61
Forsyth, John McCain, Republican, 78.49
Franklin, John McCain, Republican, 75.18
Fulton, Barack Obama, Democrat, 67.06
Gilmer, John McCain, Republican, 75.41
Glascock, John McCain, Republican, 84.17
Glynn, John McCain, Republican, 61.42
Gordon, John McCain, Republican, 74.48
Grady, John McCain, Republican, 61.67
Greene, John McCain, Republican, 57.23
Gwinnett, John McCain, Republican, 54.71
Habersham, John McCain, Republican, 79.46
Hall, John McCain, Republican, 75.03
Hancock, Barack Obama, Democrat, 81.38
Haralson, John McCain, Republican, 78.02
Harris, John McCain, Republican, 71.42
Hart, John McCain, Republican, 65.36
Heard, John McCain, Republican, 74.15
Henry, John McCain, Republican, 53.4
Houston, John McCain, Republican, 59.7
Irwin, John McCain, Republican, 68.05
Jackson, John McCain, Republican, 77.42
Jasper, John McCain, Republican, 66.33
Jeff Davis, John McCain, Republican, 73.27
Jefferson, Barack Obama, Democrat, 57.35
Jenkins, John McCain, Republican, 56.28
Johnson, John McCain, Republican, 66.52
Jones, John McCain, Republican, 62.57
Lamar, John McCain, Republican, 63.38
Lanier, John McCain, Republican, 62.2
Laurens, John McCain, Republican, 60.45
Lee, John McCain, Republican, 75.84
Liberty, Barack Obama, Democrat, 63.96
Lincoln, John McCain, Republican, 61.84
Long, John McCain, Republican, 61.42
Lowndes, John McCain, Republican, 54.27
Lumpkin, John McCain, Republican, 75.18
McDuffie, John McCain, Republican, 56.58
McIntosh, John McCain, Republican, 52.63
Macon, Barack Obama, Democrat, 65.23
Madison, John McCain, Republican, 72.38
Marion, John McCain, Republican, 55.58
Meriwether, John McCain, Republican, 52.42
Miller, John McCain, Republican, 69.36
Mitchell, John McCain, Republican, 51.74
Monroe, John McCain, Republican, 65.39
Montgomery, John McCain, Republican, 70.22
Morgan, John McCain, Republican, 65.42
Murray, John McCain, Republican, 71.87
Muscogee, Barack Obama, Democrat, 59.62
Newton, Barack Obama, Democrat, 50.26
Oconee, John McCain, Republican, 70.74
Oglethorpe, John McCain, Republican, 64.28
Paulding, John McCain, Republican, 68.78
Peach, Barack Obama, Democrat, 53.09
Pickens, John McCain, Republican, 78.24
Pierce, John McCain, Republican, 80.99
Pike, John McCain, Republican, 79.81
Polk, John McCain, Republican, 69.79
Pulaski, John McCain, Republican, 64.58
Putnam, John McCain, Republican, 65.33
Quitman, Barack Obama, Democrat, 53.59
Rabun, John McCain, Republican, 72.21
Randolph, Barack Obama, Democrat, 57.01
Richmond, Barack Obama, Democrat, 65.67
Rockdale, Barack Obama, Democrat, 54.44
Schley, John McCain, Republican, 72.04
Screven, John McCain, Republican, 52.82
Seminole, John McCain, Republican, 57.93
Spalding, John McCain, Republican, 58.94
