Ada, John McCain, Republican, 52.02
Adams, John McCain, Republican, 65.39
Bannock, John McCain, Republican, 55.14
Bear Lake, John McCain, Republican, 80.77
Benewah, John McCain, Republican, 63.54
Bingham, John McCain, Republican, 71.29
Blaine, Barack Obama, Democrat, 65.72
Boise, John McCain, Republican, 64.48
Bonner, John McCain, Republican, 57.02
Bonneville, John McCain, Republican, 70.34
Boundary, John McCain, Republican, 65.03
Butte, John McCain, Republican, 74.89
Camas, John McCain, Republican, 68.28
Canyon, John McCain, Republican, 66.54
Caribou, John McCain, Republican, 80.44
Cassia, John McCain, Republican, 80.45
Clark, John McCain, Republican, 81.33
Clearwater, John McCain, Republican, 65.77
Custer, John McCain, Republican, 72.02
Elmore, John McCain, Republican, 67.15
Franklin, John McCain, Republican, 83.7
Fremont, John McCain, Republican, 79.93
Gem, John McCain, Republican, 70.28
Gooding, John McCain, Republican, 69.84
Idaho, John McCain, Republican, 71.8
Jefferson, John McCain, Republican, 81.79
Jerome, John McCain, Republican, 71.52
Kootenai, John McCain, Republican, 61.98
Latah, Barack Obama, Democrat, 51.91
Lemhi, John McCain, Republican, 71.57
Lewis, John McCain, Republican, 70.68
Lincoln, John McCain, Republican, 65.88
Madison, John McCain, Republican, 85.25
Minidoka, John McCain, Republican, 73.83
Nez Perce, John McCain, Republican, 58.11
Oneida, John McCain, Republican, 79.74
Owyhee, John McCain, Republican, 74.52
Payette, John McCain, Republican, 69.52
Power, John McCain, Republican, 61.72
Shoshone, John McCain, Republican, 52.12
Teton, Barack Obama, Democrat, 49.42
Twin Falls, John McCain, Republican, 67.15
Valley, John McCain, Republican, 52.34
Washington, John McCain, Republican, 70.31
