Adair, John McCain, Republican, 50.83
Adams, Barack Obama, Democrat, 50.68
Allamakee, Barack Obama, Democrat, 56.25
Appanoose, John McCain, Republican, 49.97
Audubon, Barack Obama, Democrat, 50.63
Benton, Barack Obama, Democrat, 51.47
Black Hawk, Barack Obama, Democrat, 60.49
Boone, Barack Obama, Democrat, 52.81
Bremer, Barack Obama, Democrat, 53.92
Buchanan, Barack Obama, Democrat, 58.52
Buena Vista, John McCain, Republican, 50.17
Butler, John McCain, Republican, 51.63
Calhoun, John McCain, Republican, 52.76
Carroll, Barack Obama, Democrat, 51.04
Cass, John McCain, Republican, 54.5
Cedar, Barack Obama, Democrat, 54.02
Cerro Gordo, Barack Obama, Democrat, 59.67
Cherokee, John McCain, Republican, 52.98
Chickasaw, Barack Obama, Democrat, 59.59
Clarke, Barack Obama, Democrat, 49.92
Clay, John McCain, Republican, 51.86
Clayton, Barack Obama, Democrat, 57.79
Clinton, Barack Obama, Democrat, 60.75
Crawford, Barack Obama, Democrat, 51.66
Dallas, John McCain, Republican, 51.94
Davis, John McCain, Republican, 53.18
Decatur, John McCain, Republican, 49.24
Delaware, Barack Obama, Democrat, 52.23
Des Moines, Barack Obama, Democrat, 60.58
Dickinson, John McCain, Republican, 52.11
Dubuque, Barack Obama, Democrat, 59.66
Emmet, Barack Obama, Democrat, 51.25
Fayette, Barack Obama, Democrat, 57.59
Floyd, Barack Obama, Democrat, 59.6
Franklin, Barack Obama, Democrat, 50.02
Fremont, John McCain, Republican, 51.08
Greene, Barack Obama, Democrat, 49.35
Grundy, John McCain, Republican, 57.78
Guthrie, John McCain, Republican, 52.57
Hamilton, Barack Obama, Democrat, 49.74
Hancock, John McCain, Republican, 50.86
Hardin, Barack Obama, Democrat, 49.59
Harrison, John McCain, Republican, 51.58
Henry, John McCain, Republican, 51.42
Howard, Barack Obama, Democrat, 62.2
Humboldt, John McCain, Republican, 56.52
Ida, John McCain, Republican, 57.4
Iowa, Barack Obama, Democrat, 49.17
Jackson, Barack Obama, Democrat, 61.3
Jasper, Barack Obama, Democrat, 52.78
Jefferson, Barack Obama, Democrat, 58.74
Johnson, Barack Obama, Democrat, 69.92
Jones, Barack Obama, Democrat, 54.44
Keokuk, John McCain, Republican, 50.59
Kossuth, Barack Obama, Democrat, 50.84
Lee, Barack Obama, Democrat, 57.02
Linn, Barack Obama, Democrat, 60.02
Louisa, Barack Obama, Democrat, 51.28
Lucas, John McCain, Republican, 52.11
Lyon, John McCain, Republican, 71.92
Madison, John McCain, Republican, 54
Mahaska, John McCain, Republican, 57.36
Marion, John McCain, Republican, 54.35
Marshall, Barack Obama, Democrat, 53.72
Mills, John McCain, Republican, 57.44
Mitchell, Barack Obama, Democrat, 55.13
Monona, John McCain, Republican, 50.27
Monroe, John McCain, Republican, 51.64
Montgomery, John McCain, Republican, 54.61
Muscatine, Barack Obama, Democrat, 57.12
O'Brien, John McCain, Republican, 66.74
Osceola, John McCain, Republican, 64.82
Page, John McCain, Republican, 59.15
Palo Alto, Barack Obama, Democrat, 50.52
Plymouth, John McCain, Republican, 62.06
Pocahontas, John McCain, Republican, 53.3
Polk, Barack Obama, Democrat, 56.43
Pottawattamie, John McCain, Republican, 50.18
Poweshiek, Barack Obama, Democrat, 55.02
Ringgold, John McCain, Republican, 52.1
Sac, John McCain, Republican, 53.53
Scott, Barack Obama, Democrat, 56.65
Shelby, John McCain, Republican, 54.05
Sioux, John McCain, Republican, 80.95
Story, Barack Obama, Democrat, 57
Tama, Barack Obama, Democrat, 55.36
Taylor, John McCain, Republican, 53.11
Union, Barack Obama, Democrat, 50.77
Van Buren, John McCain, Republican, 55.04
Wapello, Barack Obama, Democrat, 55.36
Warren, Barack Obama, Democrat, 49.43
Washington, John McCain, Republican, 49.38
Wayne, John McCain, Republican, 52.52
Webster, Barack Obama, Democrat, 53.45
Winnebago, Barack Obama, Democrat, 53.5
Winneshiek, Barack Obama, Democrat, 60.54
Woodbury, John McCain, Republican, 49.59
Worth, Barack Obama, Democrat, 60.3
Wright, John McCain, Republican, 50.01
