Alcona, John McCain, Republican, 53.02
Alger, Barack Obama, Democrat, 52.04
Allegan, John McCain, Republican, 54.38
Alpena, Barack Obama, Democrat, 51.08
Antrim, John McCain, Republican, 54.19
Arenac, Barack Obama, Democrat, 51.12
Baraga, John McCain, Republican, 50.66
Barry, John McCain, Republican, 53.76
Bay, Barack Obama, Democrat, 56.75
Benzie, Barack Obama, Democrat, 52.88
Berrien, Barack Obama, Democrat, 51.99
Branch, John McCain, Republican, 52.14
Calhoun, Barack Obama, Democrat, 53.84
Cass, Barack Obama, Democrat, 51.25
Charlevoix, John McCain, Republican, 50.85
Cheboygan, John McCain, Republican, 49.78
Chippewa, John McCain, Republican, 49.48
Clare, Barack Obama, Democrat, 51.46
Clinton, Barack Obama, Democrat, 49.54
Crawford, John McCain, Republican, 49.61
Delta, Barack Obama, Democrat, 52.32
Dickinson, John McCain, Republican, 52.96
Eaton, Barack Obama, Democrat, 53.36
Emmet, John McCain, Republican, 51.32
Genesee, Barack Obama, Democrat, 65.45
Gladwin, Barack Obama, Democrat, 49.77
Gogebic, Barack Obama, Democrat, 57.56
Grand Traverse, John McCain, Republican, 50.72
Gratiot, Barack Obama, Democrat, 51.33
Hillsdale, John McCain, Republican, 54.87
Houghton, John McCain, Republican, 50.72
Huron, John McCain, Republican, 49.22
Ingham, Barack Obama, Democrat, 65.85
Ionia, John McCain, Republican, 51.82
Iosco, Barack Obama, Democrat, 51.52
Iron, Barack Obama, Democrat, 49.98
Isabella, Barack Obama, Democrat, 58.83
Jackson, Barack Obama, Democrat, 50.31
Kalamazoo, Barack Obama, Democrat, 58.92
Kalkaska, John McCain, Republican, 53.27
Kent, Barack Obama, Democrat, 49.44
Keweenaw, John McCain, Republican, 53.62
Lake, Barack Obama, Democrat, 55.16
Lapeer, John McCain, Republican, 50.33
Leelanau, Barack Obama, Democrat, 50.85
Lenawee, Barack Obama, Democrat, 51.62
Livingston, John McCain, Republican, 55.79
Luce, John McCain, Republican, 54.38
Mackinac, John McCain, Republican, 51.09
Macomb, Barack Obama, Democrat, 53.38
Manistee, Barack Obama, Democrat, 55.62
Marquette, Barack Obama, Democrat, 59.17
Mason, Barack Obama, Democrat, 51.35
Mecosta, John McCain, Republican, 49.5
Menominee, Barack Obama, Democrat, 54.02
Midland, John McCain, Republican, 50.94
Missaukee, John McCain, Republican, 59.65
Monroe, Barack Obama, Democrat, 51.27
Montcalm, John McCain, Republican, 49.13
Montmorency, John McCain, Republican, 53
Muskegon, Barack Obama, Democrat, 63.87
Newaygo, John McCain, Republican, 51.34
Oakland, Barack Obama, Democrat, 56.53
Oceana, Barack Obama, Democrat, 51.2
Ogemaw, Barack Obama, Democrat, 50.07
Ontonagon, Barack Obama, Democrat, 50.6
Osceola, John McCain, Republican, 54.17
Oscoda, John McCain, Republican, 53.6
Otsego, John McCain, Republican, 53.52
Ottawa, John McCain, Republican, 61.15
Presque Isle, Barack Obama, Democrat, 49.59
Roscommon, Barack Obama, Democrat, 50.4
Saginaw, Barack Obama, Democrat, 57.91
St. Clair, Barack Obama, Democrat, 50.28
St. Joseph, John McCain, Republican, 50.14
Sanilac, John McCain, Republican, 52.95
Schoolcraft, Barack Obama, Democrat, 50.49
Shiawassee, Barack Obama, Democrat, 53.27
Tuscola, John McCain, Republican, 49.43
Van Buren, Barack Obama, Democrat, 53.47
Washtenaw, Barack Obama, Democrat, 69.78
Wayne, Barack Obama, Democrat, 74.14
Wexford, John McCain, Republican, 51.22
