Adams, Barack Obama, Democrat, 57.47
Alcorn, John McCain, Republican, 71.94
Amite, John McCain, Republican, 55.66
Attala, John McCain, Republican, 57.55
Benton, John McCain, Republican, 50.56
Bolivar, Barack Obama, Democrat, 67.4
Calhoun, John McCain, Republican, 63.71
Carroll, John McCain, Republican, 65.52
Chickasaw, Barack Obama, Democrat, 50.86
Choctaw, John McCain, Republican, 63.92
Claiborne, Barack Obama, Democrat, 85.92
Clarke, John McCain, Republican, 62.46
Clay, Barack Obama, Democrat, 59.32
Coahoma, Barack Obama, Democrat, 72
Copiah, Barack Obama, Democrat, 53.3
Covington, John McCain, Republican, 58.61
DeSoto, John McCain, Republican, 68.98
Forrest, John McCain, Republican, 56.48
Franklin, John McCain, Republican, 62.33
George, John McCain, Republican, 82.94
Greene, John McCain, Republican, 75.63
Grenada, John McCain, Republican, 55.15
Hancock, John McCain, Republican, 76.56
Harrison, John McCain, Republican, 62.83
Hinds, Barack Obama, Democrat, 69.39
Holmes, Barack Obama, Democrat, 81.54
Humphreys, Barack Obama, Democrat, 71.06
Issaquena, Barack Obama, Democrat, 61.21
Itawamba, John McCain, Republican, 77.92
Jackson, John McCain, Republican, 66.58
Jasper, Barack Obama, Democrat, 54.7
Jefferson, Barack Obama, Democrat, 86.87
Jefferson Davis, Barack Obama, Democrat, 60.6
Jones, John McCain, Republican, 69.12
Kemper, Barack Obama, Democrat, 62.51
Lafayette, John McCain, Republican, 55.87
Lamar, John McCain, Republican, 77.7
Lauderdale, John McCain, Republican, 59.27
Lawrence, John McCain, Republican, 62.6
Leake, John McCain, Republican, 55.18
Lee, John McCain, Republican, 65.14
Leflore, Barack Obama, Democrat, 68.14
Lincoln, John McCain, Republican, 65.93
Lowndes, John McCain, Republican, 51.1
Madison, John McCain, Republican, 57.66
Marion, John McCain, Republican, 65.59
Marshall, Barack Obama, Democrat, 58.89
Monroe, John McCain, Republican, 58.45
Montgomery, John McCain, Republican, 53.89
Neshoba, John McCain, Republican, 72.31
Newton, John McCain, Republican, 66.55
Noxubee, Barack Obama, Democrat, 76.44
Oktibbeha, Barack Obama, Democrat, 49.63
Panola, Barack Obama, Democrat, 52.94
Pearl River, John McCain, Republican, 80.09
Perry, John McCain, Republican, 72.11
Pike, Barack Obama, Democrat, 51.56
Pontotoc, John McCain, Republican, 76.05
Prentiss, John McCain, Republican, 71.36
Quitman, Barack Obama, Democrat, 67.46
Rankin, John McCain, Republican, 76.58
Scott, John McCain, Republican, 56.56
Sharkey, Barack Obama, Democrat, 68.35
Simpson, John McCain, Republican, 60.91
Smith, John McCain, Republican, 75.69
Stone, John McCain, Republican, 71.59
Sunflower, Barack Obama, Democrat, 70.26
Tallahatchie, Barack Obama, Democrat, 59.3
Tate, John McCain, Republican, 60.31
Tippah, John McCain, Republican, 72.04
Tishomingo, John McCain, Republican, 75.36
Tunica, Barack Obama, Democrat, 75.85
Union, John McCain, Republican, 74.92
Walthall, John McCain, Republican, 54.88
Warren, John McCain, Republican, 51.37
Washington, Barack Obama, Democrat, 67.24
Wayne, John McCain, Republican, 60.72
Webster, John McCain, Republican, 74.87
Wilkinson, Barack Obama, Democrat, 69
Winston, John McCain, Republican, 53.95
Yalobusha, John McCain, Republican, 53.35
Yazoo, Barack Obama, Democrat, 53.41
