Adams, John McCain, Republican, 62
Barnes, John McCain, Republican, 49.63
Benson, Barack Obama, Democrat, 66.09
Billings, John McCain, Republican, 75.15
Bottineau, John McCain, Republican, 58.56
Bowman, John McCain, Republican, 67.5
Burke, John McCain, Republican, 67.87
Burleigh, John McCain, Republican, 60.91
Cass, Barack Obama, Democrat, 52.68
Cavalier, John McCain, Republican, 52.96
Dickey, John McCain, Republican, 58.21
Divide, John McCain, Republican, 55.7
Dunn, John McCain, Republican, 65.69
Eddy, Barack Obama, Democrat, 50.04
Emmons, John McCain, Republican, 66.96
Foster, John McCain, Republican, 55.36
Golden Valley, John McCain, Republican, 73.37
Grand Forks, Barack Obama, Democrat, 51.69
Grant, John McCain, Republican, 44.17
Griggs, John McCain, Republican, 51.9
Hettinger, John McCain, Republican, 66.25
Kidder, John McCain, Republican, 61.24
LaMoure, John McCain, Republican, 58.46
Logan, John McCain, Republican, 68.68
McHenry, John McCain, Republican, 56.87
McIntosh, John McCain, Republican, 59.79
McKenzie, John McCain, Republican, 64.09
McLean, John McCain, Republican, 58.42
Mercer, John McCain, Republican, 63.43
Morton, John McCain, Republican, 59.33
Mountrail, Barack Obama, Democrat, 50.27
Nelson, Barack Obama, Democrat, 51.77
Oliver, John McCain, Republican, 65.58
Pembina, John McCain, Republican, 52.07
Pierce, John McCain, Republican, 60.82
Ramsey, John McCain, Republican, 49.58
Ransom, Barack Obama, Democrat, 56.35
Renville, John McCain, Republican, 59.36
Richland, John McCain, Republican, 51.57
Rolette, Barack Obama, Democrat, 75.06
Sargent, Barack Obama, Democrat, 57.86
Sheridan, John McCain, Republican, 69.12
Sioux, Barack Obama, Democrat, 83.09
Slope, John McCain, Republican, 72.26
Stark, John McCain, Republican, 63.45
Steele, Barack Obama, Democrat, 59.5
Stutsman, John McCain, Republican, 56.2
Towner, Barack Obama, Democrat, 51.88
Traill, Barack Obama, Democrat, 52.86
Walsh, John McCain, Republican, 49.47
Ward, John McCain, Republican, 58.78
Wells, John McCain, Republican, 61.76
Williams, John McCain, Republican, 67.12
