Adams, John McCain, Republican, 60.71
Allen, John McCain, Republican, 59.57
Ashland, John McCain, Republican, 60.23
Ashtabula, Barack Obama, Democrat, 55.77
Athens, Barack Obama, Democrat, 66.63
Auglaize, John McCain, Republican, 69.81
Belmont, Barack Obama, Democrat, 50.3
Brown, John McCain, Republican, 60.62
Butler, John McCain, Republican, 60.62
Carroll, John McCain, Republican, 50.86
Champaign, John McCain, Republican, 58.99
Clark, John McCain, Republican, 50.37
Clermont, John McCain, Republican, 65.52
Clinton, John McCain, Republican, 64.28
Columbiana, John McCain, Republican, 52.77
Coshocton, John McCain, Republican, 51.44
Crawford, John McCain, Republican, 58.17
Cuyahoga, Barack Obama, Democrat, 68.89
Darke, John McCain, Republican, 67.03
Defiance, John McCain, Republican, 54.21
Delaware, John McCain, Republican, 59.27
Erie, Barack Obama, Democrat, 56.14
Fairfield, John McCain, Republican, 57.79
Fayette, John McCain, Republican, 60.73
Franklin, Barack Obama, Democrat, 59.73
Fulton, John McCain, Republican, 53.2
Gallia, John McCain, Republican, 61.92
Geauga, John McCain, Republican, 56.94
Greene, John McCain, Republican, 58.54
Guernsey, John McCain, Republican, 53.09
Hamilton, Barack Obama, Democrat, 52.97
Hancock, John McCain, Republican, 60.63
Hardin, John McCain, Republican, 59.09
Harrison, John McCain, Republican, 49.72
Henry, John McCain, Republican, 55.52
Highland, John McCain, Republican, 62.06
Hocking, John McCain, Republican, 49.06
Holmes, John McCain, Republican, 69.47
Huron, John McCain, Republican, 50.36
Jackson, John McCain, Republican, 58.74
Jefferson, Barack Obama, Democrat, 49.07
Knox, John McCain, Republican, 58.94
Lake, Barack Obama, Democrat, 49.58
Lawrence, John McCain, Republican, 56.69
Licking, John McCain, Republican, 56.98
Logan, John McCain, Republican, 62.33
Lorain, Barack Obama, Democrat, 58.07
Lucas, Barack Obama, Democrat, 64.98
Madison, John McCain, Republican, 60.76
Mahoning, Barack Obama, Democrat, 62.33
Marion, John McCain, Republican, 53.26
Medina, John McCain, Republican, 53.28
Meigs, John McCain, Republican, 58.09
Mercer, John McCain, Republican, 70.99
Miami, John McCain, Republican, 63.28
Monroe, Barack Obama, Democrat, 53.07
Montgomery, Barack Obama, Democrat, 52.42
Morgan, John McCain, Republican, 52.06
Morrow, John McCain, Republican, 60.49
Muskingum, John McCain, Republican, 52.59
Noble, John McCain, Republican, 55.9
Ottawa, Barack Obama, Democrat, 52.23
Paulding, John McCain, Republican, 54.43
Perry, John McCain, Republican, 50.12
Pickaway, John McCain, Republican, 59.97
Pike, John McCain, Republican, 49.27
Portage, Barack Obama, Democrat, 53.52
Preble, John McCain, Republican, 64.57
Putnam, John McCain, Republican, 69.98
Richland, John McCain, Republican, 55.68
Ross, John McCain, Republican, 52.64
Sandusky, Barack Obama, Democrat, 51.36
Scioto, John McCain, Republican, 52.18
Seneca, John McCain, Republican, 50.36
Shelby, John McCain, Republican, 67.28
Stark, Barack Obama, Democrat, 51.72
Summit, Barack Obama, Democrat, 57.65
Trumbull, Barack Obama, Democrat, 60.01
Tuscarawas, Barack Obama, Democrat, 50.05
Union, John McCain, Republican, 63.16
Van Wert, John McCain, Republican, 62.57
Vinton, John McCain, Republican, 53.51
Warren, John McCain, Republican, 67.5
Washington, John McCain, Republican, 56.86
Wayne, John McCain, Republican, 56.27
Williams, John McCain, Republican, 53.7
Wood, Barack Obama, Democrat, 52.73
Wyandot, John McCain, Republican, 57.12
