Baker, John McCain, Republican, 64.37
Benton, Barack Obama, Democrat, 64.33
Clackamas, Barack Obama, Democrat, 53.93
Clatsop, Barack Obama, Democrat, 57.69
Columbia, Barack Obama, Democrat, 54.06
Coos, John McCain, Republican, 49.61
Crook, John McCain, Republican, 61.54
Curry, John McCain, Republican, 53.89
Deschutes, John McCain, Republican, 48.96
Douglas, John McCain, Republican, 58.41
Gilliam, John McCain, Republican, 58.38
Grant, John McCain, Republican, 71.25
Harney, John McCain, Republican, 70.46
Hood River, Barack Obama, Democrat, 64.11
Jackson, Barack Obama, Democrat, 48.58
Jefferson, John McCain, Republican, 52.92
Josephine, John McCain, Republican, 54.63
Klamath, John McCain, Republican, 65.01
Lake, John McCain, Republican, 71.53
Lane, Barack Obama, Democrat, 62.35
Lincoln, Barack Obama, Democrat, 59.68
Linn, John McCain, Republican, 54
Malheur, John McCain, Republican, 68.6
Marion, Barack Obama, Democrat, 49.63
Morrow, John McCain, Republican, 61.83
Multnomah, Barack Obama, Democrat, 76.69
Polk, John McCain, Republican, 48.92
Sherman, John McCain, Republican, 60.55
Tillamook, Barack Obama, Democrat, 53.18
Umatilla, John McCain, Republican, 59.77
Union, John McCain, Republican, 60.2
Wallowa, John McCain, Republican, 63.52
Wasco, Barack Obama, Democrat, 51.9
Washington, Barack Obama, Democrat, 59.82
Wheeler, John McCain, Republican, 61.33
Yamhill, John McCain, Republican, 49.14
