Addison, Barack Obama, Democrat, 68.62
Bennington, Barack Obama, Democrat, 65.47
Caledonia, Barack Obama, Democrat, 60.43
Chittenden, Barack Obama, Democrat, 71.44
Essex, Barack Obama, Democrat, 55.89
Franklin, Barack Obama, Democrat, 61.41
Grand Isle, Barack Obama, Democrat, 63.11
Lamoille, Barack Obama, Democrat, 70.37
Orange, Barack Obama, Democrat, 64.56
Orleans, Barack Obama, Democrat, 62.63
Rutland, Barack Obama, Democrat, 61.22
Washington, Barack Obama, Democrat, 69.33
Windham, Barack Obama, Democrat, 73.02
Windsor, Barack Obama, Democrat, 68.81
