Adams, Mitt Romney, Republican, 66.7
Alexander, Barack Obama, Democrat, 56.13
Bond, Mitt Romney, Republican, 55.82
Boone, Mitt Romney, Republican, 51.94
Brown, Mitt Romney, Republican, 64
Bureau, Mitt Romney, Republican, 49.09
Calhoun, Mitt Romney, Republican, 55.9
Carroll, Barack Obama, Democrat, 49.62
Cass, Mitt Romney, Republican, 55.68
Champaign, Barack Obama, Democrat, 52.11
Christian, Mitt Romney, Republican, 60.44
Clark, Mitt Romney, Republican, 65.45
Clay, Mitt Romney, Republican, 70.92
Clinton, Mitt Romney, Republican, 63.98
Coles, Mitt Romney, Republican, 54.46
Cook, Barack Obama, Democrat, 74
Crawford, Mitt Romney, Republican, 64.87
Cumberland, Mitt Romney, Republican, 66.27
DeKalb, Barack Obama, Democrat, 51.61
DeWitt, Mitt Romney, Republican, 62.34
Douglas, Mitt Romney, Republican, 67.54
DuPage, Barack Obama, Democrat, 49.73
Edgar, Mitt Romney, Republican, 65.63
Edwards, Mitt Romney, Republican, 74.5
Effingham, Mitt Romney, Republican, 75.25
Fayette, Mitt Romney, Republican, 66.34
Ford, Mitt Romney, Republican, 70.41
Franklin, Mitt Romney, Republican, 57.31
Fulton, Barack Obama, Democrat, 54.23
Gallatin, Mitt Romney, Republican, 57.99
Greene, Mitt Romney, Republican, 61.38
Grundy, Mitt Romney, Republican, 53.39
Hamilton, Mitt Romney, Republican, 65.11
Hancock, Mitt Romney, Republican, 57.85
Hardin, Mitt Romney, Republican, 65.88
Henderson, Barack Obama, Democrat, 55.44
Henry, Barack Obama, Democrat, 50.7
Iroquois, Mitt Romney, Republican, 71.34
Jackson, Barack Obama, Democrat, 55.47
Jasper, Mitt Romney, Republican, 69.68
Jefferson, Mitt Romney, Republican, 60.12
Jersey, Mitt Romney, Republican, 60.64
Jo Daviess, Barack Obama, Democrat, 49.58
Johnson, Mitt Romney, Republican, 69.87
Kane, Barack Obama, Democrat, 49.73
Kankakee, Mitt Romney, Republican, 50.84
Kendall, Mitt Romney, Republican, 50.84
Knox, Barack Obama, Democrat, 57.78
Lake, Barack Obama, Democrat, 53.48
LaSalle, Mitt Romney, Republican, 49.21
Lawrence, Mitt Romney, Republican, 64.4
Lee, Mitt Romney, Republican, 52.67
Livingston, Mitt Romney, Republican, 64.85
Logan, Mitt Romney, Republican, 65.08
McDonough, Mitt Romney, Republican, 49.36
McHenry, Mitt Romney, Republican, 53.49
McLean, Mitt Romney, Republican, 54.44
Macon, Mitt Romney, Republican, 51.76
Macoupin, Mitt Romney, Republican, 52.1
Madison, Mitt Romney, Republican, 49.49
Marion, Mitt Romney, Republican, 58.67
Marshall, Mitt Romney, Republican, 56.24
Mason, Mitt Romney, Republican, 52.06
Massac, Mitt Romney, Republican, 65.87
Menard, Mitt Romney, Republican, 64.18
Mercer, Barack Obama, Democrat, 52.81
Monroe, Mitt Romney, Republican, 62.46
Montgomery, Mitt Romney, Republican, 55.85
Morgan, Mitt Romney, Republican, 56.56
Moultrie, Mitt Romney, Republican, 62.47
Ogle, Mitt Romney, Republican, 57.44
Peoria, Barack Obama, Democrat, 51.28
Perry, Mitt Romney, Republican, 57.67
Piatt, Mitt Romney, Republican, 62.17
Pike, Mitt Romney, Republican, 66.7
Pope, Mitt Romney, Republican, 68.05
Pulaski, Mitt Romney, Republican, 52.08
Putnam, Barack Obama, Democrat, 49.73
Randolph, Mitt Romney, Republican, 57.6
Richland, Mitt Romney, Republican, 65.31
Rock Island, Barack Obama, Democrat, 60.23
St. Clair, Barack Obama, Democrat, 56.32
Saline, Mitt Romney, Republican, 63.49
Sangamon, Mitt Romney, Republican, 53.26
Schuyler, Mitt Romney, Republican, 53.19
Scott, Mitt Romney, Republican, 62.11
Shelby, Mitt Romney, Republican, 65.83
Stark, Mitt Romney, Republican, 57.4
Stephenson, Mitt Romney, Republican, 49.93
Tazewell, Mitt Romney, Republican, 57.88
Union, Mitt Romney, Republican, 59.85
Vermilion, Mitt Romney, Republican, 55.72
Wabash, Mitt Romney, Republican, 67.74
Warren, Barack Obama, Democrat, 51.89
Washington, Mitt Romney, Republican, 64.71
Wayne, Mitt Romney, Republican, 77.97
White, Mitt Romney, Republican, 66.97
Whiteside, Barack Obama, Democrat, 57.82
Will, Barack Obama, Democrat, 52
Williamson, Mitt Romney, Republican, 61.45
Winnebago, Barack Obama, Democrat, 51.88
Woodford, Mitt Romney, Republican, 68.67
