Adams, Mitt Romney, Republican, 63.04
Allegheny, Barack Obama, Democrat, 56.69
Armstrong, Mitt Romney, Republican, 68.04
Beaver, Mitt Romney, Republican, 52.62
Bedford, Mitt Romney, Republican, 76.98
Berks, Mitt Romney, Republican, 49.73
Blair, Mitt Romney, Republican, 66.32
Bradford, Mitt Romney, Republican, 61.51
Bucks, Barack Obama, Democrat, 50
Butler, Mitt Romney, Republican, 66.81
Cambria, Mitt Romney, Republican, 58.1
Cameron, Mitt Romney, Republican, 64.38
Carbon, Mitt Romney, Republican, 52.79
Centre, Barack Obama, Democrat, 49.09
Chester, Mitt Romney, Republican, 49.54
Clarion, Mitt Romney, Republican, 66.9
Clearfield, Mitt Romney, Republican, 63.65
Clinton, Mitt Romney, Republican, 55.05
Columbia, Mitt Romney, Republican, 55.56
Crawford, Mitt Romney, Republican, 59.06
Cumberland, Mitt Romney, Republican, 58.48
Dauphin, Barack Obama, Democrat, 52.39
Delaware, Barack Obama, Democrat, 60.16
Elk, Mitt Romney, Republican, 57.25
Erie, Barack Obama, Democrat, 57.36
Fayette, Mitt Romney, Republican, 53.64
Forest, Mitt Romney, Republican, 59.82
Franklin, Mitt Romney, Republican, 68.58
Fulton, Mitt Romney, Republican, 77.71
Greene, Mitt Romney, Republican, 58.27
Huntingdon, Mitt Romney, Republican, 67.91
Indiana, Mitt Romney, Republican, 58.53
Jefferson, Mitt Romney, Republican, 72.1
Juniata, Mitt Romney, Republican, 71.97
Lackawanna, Barack Obama, Democrat, 63.09
Lancaster, Mitt Romney, Republican, 58.74
Lawrence, Mitt Romney, Republican, 53.92
Lebanon, Mitt Romney, Republican, 63.4
Lehigh, Barack Obama, Democrat, 53.25
Luzerne, Barack Obama, Democrat, 51.68
Lycoming, Mitt Romney, Republican, 65.94
McKean, Mitt Romney, Republican, 63.18
Mercer, Mitt Romney, Republican, 50.97
Mifflin, Mitt Romney, Republican, 72.93
Monroe, Barack Obama, Democrat, 55.98
Montgomery, Barack Obama, Democrat, 56.61
Montour, Mitt Romney, Republican, 59.4
Northampton, Barack Obama, Democrat, 51.71
Northumberland, Mitt Romney, Republican, 58.77
Perry, Mitt Romney, Republican, 68.59
Philadelphia, Barack Obama, Democrat, 85.29
Pike, Mitt Romney, Republican, 54.93
Potter, Mitt Romney, Republican, 72.23
Schuylkill, Mitt Romney, Republican, 55.91
Snyder, Mitt Romney, Republican, 67.14
Somerset, Mitt Romney, Republican, 70.66
Sullivan, Mitt Romney, Republican, 63.34
Susquehanna, Mitt Romney, Republican, 59.85
Tioga, Mitt Romney, Republican, 66.7
Union, Mitt Romney, Republican, 60.83
Venango, Mitt Romney, Republican, 62.32
Warren, Mitt Romney, Republican, 57.86
Washington, Mitt Romney, Republican, 56.18
Wayne, Mitt Romney, Republican, 59.68
Westmoreland, Mitt Romney, Republican, 61.29
Wyoming, Mitt Romney, Republican, 55.48
York, Mitt Romney, Republican, 59.88
