Adams, Barack Obama, Democrat, 53.87
Ashland, Barack Obama, Democrat, 64.49
Barron, Mitt Romney, Republican, 50.43
Bayfield, Barack Obama, Democrat, 61.64
Brown, Mitt Romney, Republican, 50.29
Buffalo, Barack Obama, Democrat, 50.72
Burnett, Mitt Romney, Republican, 52.44
Calumet, Mitt Romney, Republican, 55.03
Chippewa, Mitt Romney, Republican, 49.53
Clark, Mitt Romney, Republican, 53.71
Columbia, Barack Obama, Democrat, 56.23
Crawford, Barack Obama, Democrat, 59.22
Dane, Barack Obama, Democrat, 71.03
Dodge, Mitt Romney, Republican, 56.67
Door, Barack Obama, Democrat, 52.95
Douglas, Barack Obama, Democrat, 64.92
Dunn, Barack Obama, Democrat, 51.46
Eau Claire, Barack Obama, Democrat, 55.95
Florence, Mitt Romney, Republican, 62.67
Fond du Lac, Mitt Romney, Republican, 56.84
Forest, Barack Obama, Democrat, 52.17
Grant, Barack Obama, Democrat, 56.06
Green, Barack Obama, Democrat, 58
Green Lake, Mitt Romney, Republican, 59.76
Iowa, Barack Obama, Democrat, 64.66
Iron, Mitt Romney, Republican, 49.28
Jackson, Barack Obama, Democrat, 56.89
Jefferson, Mitt Romney, Republican, 53.11
Juneau, Barack Obama, Democrat, 52.78
Kenosha, Barack Obama, Democrat, 55.46
Kewaunee, Mitt Romney, Republican, 52.07
La Crosse, Barack Obama, Democrat, 57.82
Lafayette, Barack Obama, Democrat, 57.04
Langlade, Mitt Romney, Republican, 55.29
Lincoln, Barack Obama, Democrat, 49.7
Manitowoc, Mitt Romney, Republican, 50.69
Marathon, Mitt Romney, Republican, 52.41
Marinette, Mitt Romney, Republican, 51.11
Marquette, Barack Obama, Democrat, 49.52
Menominee, Barack Obama, Democrat, 86.49
Milwaukee, Barack Obama, Democrat, 67.49
Monroe, Mitt Romney, Republican, 49.65
Oconto, Mitt Romney, Republican, 54.09
Oneida, Mitt Romney, Republican, 50.42
Outagamie, Mitt Romney, Republican, 50.08
Ozaukee, Mitt Romney, Republican, 64.63
Pepin, Barack Obama, Democrat, 50.72
Pierce, Mitt Romney, Republican, 49.46
Polk, Mitt Romney, Republican, 53.58
Portage, Barack Obama, Democrat, 56.12
Price, Barack Obama, Democrat, 49.2
Racine, Barack Obama, Democrat, 51.28
Richland, Barack Obama, Democrat, 57.41
Rock, Barack Obama, Democrat, 61
Rusk, Mitt Romney, Republican, 51.12
St. Croix, Mitt Romney, Republican, 55.17
Sauk, Barack Obama, Democrat, 58.68
Sawyer, Barack Obama, Democrat, 49.71
Shawano, Mitt Romney, Republican, 54.35
Sheboygan, Mitt Romney, Republican, 54.38
Taylor, Mitt Romney, Republican, 58.88
Trempealeau, Barack Obama, Democrat, 56.41
Vernon, Barack Obama, Democrat, 56.37
Vilas, Mitt Romney, Republican, 55.98
Walworth, Mitt Romney, Republican, 55.46
Washburn, Mitt Romney, Republican, 50.6
Washington, Mitt Romney, Republican, 69.55
Waukesha, Mitt Romney, Republican, 66.76
Waupaca, Mitt Romney, Republican, 58.95
Waushara, Mitt Romney, Republican, 54.47
Winnebago, Barack Obama, Democrat, 50.97
Wood, Mitt Romney, Republican, 50.65
