Alachua, Hillary Clinton, Democrat, 58.97
Baker, Donald Trump, Republican, 81.48
Bay, Donald Trump, Republican, 71.12
Bradford, Donald Trump, Republican, 73.67
Brevard, Donald Trump, Republican, 57.78
Broward, Hillary Clinton, Democrat, 66.51
Calhoun, Donald Trump, Republican, 76.55
Charlotte, Donald Trump, Republican, 62.48
Citrus, Donald Trump, Republican, 68.33
Clay, Donald Trump, Republican, 70.4
Collier, Donald Trump, Republican, 61.73
Columbia, Donald Trump, Republican, 70.95
DeSoto, Donald Trump, Republican, 62.65
Dixie, Donald Trump, Republican, 80.84
Duval, Donald Trump, Republican, 48.92
Escambia, Donald Trump, Republican, 58.25
Flagler, Donald Trump, Republican, 58.87
Franklin, Donald Trump, Republican, 68.58
Gadsden, Hillary Clinton, Democrat, 67.92
Gilchrist, Donald Trump, Republican, 80.05
Glades, Donald Trump, Republican, 68.83
Gulf, Donald Trump, Republican, 73.07
Hamilton, Donald Trump, Republican, 63.06
Hardee, Donald Trump, Republican, 69.13
Hendry, Donald Trump, Republican, 55.74
Hernando, Donald Trump, Republican, 62.87
Highlands, Donald Trump, Republican, 64.71
Hillsborough, Hillary Clinton, Democrat, 51.52
Holmes, Donald Trump, Republican, 87.89
Indian River, Donald Trump, Republican, 60.77
Jackson, Donald Trump, Republican, 67.76
Jefferson, Donald Trump, Republican, 51.41
Lafayette, Donald Trump, Republican, 82.81
Lake, Donald Trump, Republican, 59.95
Lee, Donald Trump, Republican, 58.68
Leon, Hillary Clinton, Democrat, 60.52
Levy, Donald Trump, Republican, 71.02
Liberty, Donald Trump, Republican, 77.15
Madison, Donald Trump, Republican, 57.04
Manatee, Donald Trump, Republican, 56.97
Marion, Donald Trump, Republican, 61.72
Martin, Donald Trump, Republican, 62.02
Miami-Dade, Hillary Clinton, Democrat, 63.68
Monroe, Donald Trump, Republican, 51.57
Nassau, Donald Trump, Republican, 73.52
Okaloosa, Donald Trump, Republican, 71.28
Okeechobee, Donald Trump, Republican, 68.53
Orange, Hillary Clinton, Democrat, 60.39
Osceola, Hillary Clinton, Democrat, 60.95
Palm Beach, Hillary Clinton, Democrat, 56.57
Pasco, Donald Trump, Republican, 58.93
Pinellas, Donald Trump, Republican, 48.58
Polk, Donald Trump, Republican, 55.37
Putnam, Donald Trump, Republican, 66.85
St. Johns, Donald Trump, Republican, 64.96
St. Lucie, Donald Trump, Republican, 49.9
Santa Rosa, Donald Trump, Republican, 74.46
Sarasota, Donald Trump, Republican, 54.32
Seminole, Donald Trump, Republican, 48.66
Sumter, Donald Trump, Republican, 68.78
Suwannee, Donald Trump, Republican, 76.43
Taylor, Donald Trump, Republican, 74.6
Union, Donald Trump, Republican, 80.22
Volusia, Donald Trump, Republican, 54.82
Wakulla, Donald Trump, Republican, 68.48
Walton, Donald Trump, Republican, 76.57
Washington, Donald Trump, Republican, 77.42
