Adams, Donald Trump, Republican, 71.33
Alexander, Donald Trump, Republican, 52.57
Bond, Donald Trump, Republican, 64.91
Boone, Donald Trump, Republican, 53.4
Brown, Donald Trump, Republican, 75.49
Bureau, Donald Trump, Republican, 56.01
Calhoun, Donald Trump, Republican, 66.94
Carroll, Donald Trump, Republican, 59.56
Cass, Donald Trump, Republican, 62.76
Champaign, Hillary Clinton, Democrat, 54.72
Christian, Donald Trump, Republican, 68.2
Clark, Donald Trump, Republican, 70.91
Clay, Donald Trump, Republican, 79.07
Clinton, Donald Trump, Republican, 71.26
Coles, Donald Trump, Republican, 59.47
Cook, Hillary Clinton, Democrat, 74.68
Crawford, Donald Trump, Republican, 71.92
Cumberland, Donald Trump, Republican, 75.55
DeKalb, Hillary Clinton, Democrat, 46.94
DeWitt, Donald Trump, Republican, 67.31
Douglas, Donald Trump, Republican, 69.75
DuPage, Hillary Clinton, Democrat, 53.32
Edgar, Donald Trump, Republican, 71.7
Edwards, Donald Trump, Republican, 83
Effingham, Donald Trump, Republican, 77.43
Fayette, Donald Trump, Republican, 76.91
Ford, Donald Trump, Republican, 70.04
Franklin, Donald Trump, Republican, 70.1
Fulton, Donald Trump, Republican, 53.76
Gallatin, Donald Trump, Republican, 71.74
Greene, Donald Trump, Republican, 74.22
Grundy, Donald Trump, Republican, 57.9
Hamilton, Donald Trump, Republican, 76.96
Hancock, Donald Trump, Republican, 70.5
Hardin, Donald Trump, Republican, 76.96
Henderson, Donald Trump, Republican, 61.26
Henry, Donald Trump, Republican, 56.75
Iroquois, Donald Trump, Republican, 74.63
Jackson, Hillary Clinton, Democrat, 47.26
Jasper, Donald Trump, Republican, 77.39
Jefferson, Donald Trump, Republican, 68.8
Jersey, Donald Trump, Republican, 70.49
Jo Daviess, Donald Trump, Republican, 54.01
Johnson, Donald Trump, Republican, 76.35
Kane, Hillary Clinton, Democrat, 52.01
Kankakee, Donald Trump, Republican, 53.12
Kendall, Donald Trump, Republican, 46.7
Knox, Donald Trump, Republican, 48.27
Lake, Hillary Clinton, Democrat, 56.37
LaSalle, Donald Trump, Republican, 53.65
Lawrence, Donald Trump, Republican, 74.19
Lee, Donald Trump, Republican, 55.6
Livingston, Donald Trump, Republican, 66.85
Logan, Donald Trump, Republican, 65.97
McDonough, Donald Trump, Republican, 51.9
McHenry, Donald Trump, Republican, 50.52
McLean, Donald Trump, Republican, 46.64
Macon, Donald Trump, Republican, 55.9
Macoupin, Donald Trump, Republican, 64.05
Madison, Donald Trump, Republican, 54.15
Marion, Donald Trump, Republican, 69.46
Marshall, Donald Trump, Republican, 63.25
Mason, Donald Trump, Republican, 62.57
Massac, Donald Trump, Republican, 72.51
Menard, Donald Trump, Republican, 64.94
Mercer, Donald Trump, Republican, 56.39
Monroe, Donald Trump, Republican, 65.25
Montgomery, Donald Trump, Republican, 66.5
Morgan, Donald Trump, Republican, 61.32
Moultrie, Donald Trump, Republican, 70.91
Ogle, Donald Trump, Republican, 59.32
Peoria, Hillary Clinton, Democrat, 48.48
Perry, Donald Trump, Republican, 69.57
Piatt, Donald Trump, Republican, 62.54
Pike, Donald Trump, Republican, 76.41
Pope, Donald Trump, Republican, 78.34
Pulaski, Donald Trump, Republican, 61.24
Putnam, Donald Trump, Republican, 56.8
Randolph, Donald Trump, Republican, 70.61
Richland, Donald Trump, Republican, 74.69
Rock Island, Hillary Clinton, Democrat, 50.47
St. Clair, Hillary Clinton, Democrat, 50.39
Saline, Donald Trump, Republican, 72.7
Sangamon, Donald Trump, Republican, 50.77
Schuyler, Donald Trump, Republican, 65.94
Scott, Donald Trump, Republican, 75.38
Shelby, Donald Trump, Republican, 74.74
Stark, Donald Trump, Republican, 64.82
Stephenson, Donald Trump, Republican, 54.48
Tazewell, Donald Trump, Republican, 60.1
Union, Donald Trump, Republican, 67.82
Vermilion, Donald Trump, Republican, 62.44
Wabash, Donald Trump, Republican, 74.07
Warren, Donald Trump, Republican, 54.76
Washington, Donald Trump, Republican, 75.01
Wayne, Donald Trump, Republican, 84.34
White, Donald Trump, Republican, 76.89
Whiteside, Donald Trump, Republican, 49.31
Will, Hillary Clinton, Democrat, 50.49
Williamson, Donald Trump, Republican, 67.72
Winnebago, Hillary Clinton, Democrat, 47.06
Woodford, Donald Trump, Republican, 66.49
