Acadia, Donald Trump, Republican, 77.26
Allen, Donald Trump, Republican, 74.28
Ascension, Donald Trump, Republican, 66.1
Assumption, Donald Trump, Republican, 61.57
Avoyelles, Donald Trump, Republican, 67.32
Beauregard, Donald Trump, Republican, 81.16
Bienville, Donald Trump, Republican, 53.62
Bossier, Donald Trump, Republican, 71.16
Caddo, Hillary Clinton, Democrat, 50.55
Calcasieu, Donald Trump, Republican, 64.68
Caldwell, Donald Trump, Republican, 81.46
Cameron, Donald Trump, Republican, 88.19
Catahoula, Donald Trump, Republican, 71.64
Claiborne, Donald Trump, Republican, 55.83
Concordia, Donald Trump, Republican, 61.73
DeSoto, Donald Trump, Republican, 59.76
East Baton Rouge, Hillary Clinton, Democrat, 52.33
East Carroll, Hillary Clinton, Democrat, 62.54
East Feliciana, Donald Trump, Republican, 55.46
Evangeline, Donald Trump, Republican, 69.61
Franklin, Donald Trump, Republican, 71.1
Grant, Donald Trump, Republican, 83.98
Iberia, Donald Trump, Republican, 64.41
Iberville, Hillary Clinton, Democrat, 51.89
Jackson, Donald Trump, Republican, 69.25
Jefferson, Donald Trump, Republican, 55.27
Jefferson Davis, Donald Trump, Republican, 75.47
Lafayette, Donald Trump, Republican, 64.58
Lafourche, Donald Trump, Republican, 76.74
LaSalle, Donald Trump, Republican, 88.84
Lincoln, Donald Trump, Republican, 57.64
Livingston, Donald Trump, Republican, 84.57
Madison, Hillary Clinton, Democrat, 57.99
Morehouse, Donald Trump, Republican, 54.86
Natchitoches, Donald Trump, Republican, 53.96
Orleans, Hillary Clinton, Democrat, 80.81
Ouachita, Donald Trump, Republican, 61.36
Plaquemines, Donald Trump, Republican, 65.26
Pointe Coupee, Donald Trump, Republican, 57.72
Rapides, Donald Trump, Republican, 64.77
Red River, Donald Trump, Republican, 54.07
Richland, Donald Trump, Republican, 65.51
Sabine, Donald Trump, Republican, 80.5
Saint Bernard, Donald Trump, Republican, 64.73
Saint Charles, Donald Trump, Republican, 63.46
Saint Helena, Hillary Clinton, Democrat, 56.22
Saint James, Hillary Clinton, Democrat, 53.11
Saint John the Baptist, Hillary Clinton, Democrat, 61.04
Saint Landry, Donald Trump, Republican, 54.96
Saint Martin, Donald Trump, Republican, 65.53
Saint Mary, Donald Trump, Republican, 62.77
Saint Tammany, Donald Trump, Republican, 73.09
Tangipahoa, Donald Trump, Republican, 64.79
Tensas, Hillary Clinton, Democrat, 52.28
Terrebonne, Donald Trump, Republican, 72.68
Union, Donald Trump, Republican, 73.18
Vermilion, Donald Trump, Republican, 78.27
Vernon, Donald Trump, Republican, 80.99
Washington, Donald Trump, Republican, 67.4
Webster, Donald Trump, Republican, 63.61
West Baton Rouge, Donald Trump, Republican, 54.49
West Carroll, Donald Trump, Republican, 83.42
West Feliciana, Donald Trump, Republican, 58.46
Winn, Donald Trump, Republican, 72.32
