Albany, Hillary Clinton, Democrat, 59.41
Allegany, Donald Trump, Republican, 67.01
Bronx, Hillary Clinton, Democrat, 88.52
Broome, Donald Trump, Republican, 47.57
Cattaraugus, Donald Trump, Republican, 63.19
Cayuga, Donald Trump, Republican, 52.41
Chautauqua, Donald Trump, Republican, 58.25
Chemung, Donald Trump, Republican, 55.64
Chenango, Donald Trump, Republican, 59.13
Clinton, Hillary Clinton, Democrat, 46.91
Columbia, Hillary Clinton, Democrat, 49.46
Cortland, Donald Trump, Republican, 48.9
Delaware, Donald Trump, Republican, 60.34
Dutchess, Hillary Clinton, Democrat, 47.55
Erie, Hillary Clinton, Democrat, 50.86
Essex, Donald Trump, Republican, 46.22
Franklin, Donald Trump, Republican, 48.5
Fulton, Donald Trump, Republican, 63.46
Genesee, Donald Trump, Republican, 63.99
Greene, Donald Trump, Republican, 59.29
Hamilton, Donald Trump, Republican, 64
Herkimer, Donald Trump, Republican, 63.6
Jefferson, Donald Trump, Republican, 56.92
Kings, Hillary Clinton, Democrat, 79.51
Lewis, Donald Trump, Republican, 65.34
Livingston, Donald Trump, Republican, 57.57
Madison, Donald Trump, Republican, 53.01
Monroe, Hillary Clinton, Democrat, 54.23
Montgomery, Donald Trump, Republican, 59.31
Nassau, Hillary Clinton, Democrat, 51.19
New York, Hillary Clinton, Democrat, 86.56
Niagara, Donald Trump, Republican, 56.23
Oneida, Donald Trump, Republican, 56.52
Onondaga, Hillary Clinton, Democrat, 53.89
Ontario, Donald Trump, Republican, 49.81
Orange, Donald Trump, Republican, 50.42
Orleans, Donald Trump, Republican, 66.76
Oswego, Donald Trump, Republican, 57.47
Otsego, Donald Trump, Republican, 51.85
Putnam, Donald Trump, Republican, 55.65
Queens, Hillary Clinton, Democrat, 75.35
Rensselaer, Donald Trump, Republican, 47.13
Richmond, Donald Trump, Republican, 56.05
Rockland, Hillary Clinton, Democrat, 51.33
St. Lawrence, Donald Trump, Republican, 50.93
Saratoga, Donald Trump, Republican, 47.83
Schenectady, Hillary Clinton, Democrat, 50.16
Schoharie, Donald Trump, Republican, 62.85
Schuyler, Donald Trump, Republican, 57.57
Seneca, Donald Trump, Republican, 51.76
Steuben, Donald Trump, Republican, 63.88
Suffolk, Donald Trump, Republican, 51.46
Sullivan, Donald Trump, Republican, 53.18
Tioga, Donald Trump, Republican, 59.46
Tompkins, Hillary Clinton, Democrat, 67.69
Ulster, Hillary Clinton, Democrat, 51.75
Warren, Donald Trump, Republican, 50.15
Washington, Donald Trump, Republican, 55.49
Wayne, Donald Trump, Republican, 58.91
Westchester, Hillary Clinton, Democrat, 64.88
Wyoming, Donald Trump, Republican, 71.93
Yates, Donald Trump, Republican, 56.23
