Abbeville, Donald Trump, Republican, 62.77
Aiken, Donald Trump, Republican, 61.49
Allendale, Hillary Clinton, Democrat, 76.14
Anderson, Donald Trump, Republican, 69.87
Bamberg, Hillary Clinton, Democrat, 62.73
Barnwell, Donald Trump, Republican, 51.54
Beaufort, Donald Trump, Republican, 54.66
Berkeley, Donald Trump, Republican, 56.07
Calhoun, Donald Trump, Republican, 50.17
Charleston, Hillary Clinton, Democrat, 50.64
Cherokee, Donald Trump, Republican, 69.7
Chester, Donald Trump, Republican, 51.19
Chesterfield, Donald Trump, Republican, 56.16
Clarendon, Hillary Clinton, Democrat, 50.22
Colleton, Donald Trump, Republican, 52.7
Darlington, Donald Trump, Republican, 50.51
Dillon, Hillary Clinton, Democrat, 49.87
Dorchester, Donald Trump, Republican, 55.92
Edgefield, Donald Trump, Republican, 58.76
Fairfield, Hillary Clinton, Democrat, 61.64
Florence, Donald Trump, Republican, 51.05
Georgetown, Donald Trump, Republican, 54.93
Greenville, Donald Trump, Republican, 59.41
Greenwood, Donald Trump, Republican, 58.97
Hampton, Hillary Clinton, Democrat, 58.71
Horry, Donald Trump, Republican, 67.17
Jasper, Hillary Clinton, Democrat, 52.12
Kershaw, Donald Trump, Republican, 60.5
Lancaster, Donald Trump, Republican, 60.91
Laurens, Donald Trump, Republican, 63.3
Lee, Hillary Clinton, Democrat, 63.74
Lexington, Donald Trump, Republican, 65.55
McCormick, Donald Trump, Republican, 50.84
Marion, Hillary Clinton, Democrat, 60.02
Marlboro, Hillary Clinton, Democrat, 57.31
Newberry, Donald Trump, Republican, 59.6
Oconee, Donald Trump, Republican, 71.88
Orangeburg, Hillary Clinton, Democrat, 67.64
Pickens, Donald Trump, Republican, 73.88
Richland, Hillary Clinton, Democrat, 64.01
Saluda, Donald Trump, Republican, 64.53
Spartanburg, Donald Trump, Republican, 62.99
Sumter, Hillary Clinton, Democrat, 54.55
Union, Donald Trump, Republican, 58.39
Williamsburg, Hillary Clinton, Democrat, 66.12
York, Donald Trump, Republican, 58.37
