Barbour, Donald Trump, Republican, 74.78
Berkeley, Donald Trump, Republican, 65.91
Boone, Donald Trump, Republican, 74.9
Braxton, Donald Trump, Republican, 69.49
Brooke, Donald Trump, Republican, 68.92
Cabell, Donald Trump, Republican, 60
Calhoun, Donald Trump, Republican, 77.76
Clay, Donald Trump, Republican, 77.39
Doddridge, Donald Trump, Republican, 83.03
Fayette, Donald Trump, Republican, 67.53
Gilmer, Donald Trump, Republican, 74.56
Grant, Donald Trump, Republican, 87.69
Greenbrier, Donald Trump, Republican, 67.94
Hampshire, Donald Trump, Republican, 77.74
Hancock, Donald Trump, Republican, 70.14
Hardy, Donald Trump, Republican, 75.74
Harrison, Donald Trump, Republican, 67.06
Jackson, Donald Trump, Republican, 74.01
Jefferson, Donald Trump, Republican, 54.68
Kanawha, Donald Trump, Republican, 57.93
Lewis, Donald Trump, Republican, 76.13
Lincoln, Donald Trump, Republican, 75.11
Logan, Donald Trump, Republican, 80.08
McDowell, Donald Trump, Republican, 74.63
Marion, Donald Trump, Republican, 63.69
Marshall, Donald Trump, Republican, 73.14
Mason, Donald Trump, Republican, 75.14
Mercer, Donald Trump, Republican, 75.73
Mineral, Donald Trump, Republican, 78.43
Mingo, Donald Trump, Republican, 83.19
Monongalia, Donald Trump, Republican, 51.13
Monroe, Donald Trump, Republican, 76.54
Morgan, Donald Trump, Republican, 74.89
Nicholas, Donald Trump, Republican, 76.4
Ohio, Donald Trump, Republican, 62.1
Pendleton, Donald Trump, Republican, 74.36
Pleasants, Donald Trump, Republican, 74.86
Pocahontas, Donald Trump, Republican, 68.46
Preston, Donald Trump, Republican, 75.35
Putnam, Donald Trump, Republican, 71.46
Raleigh, Donald Trump, Republican, 74.44
Randolph, Donald Trump, Republican, 70.15
Ritchie, Donald Trump, Republican, 83.56
Roane, Donald Trump, Republican, 72.06
Summers, Donald Trump, Republican, 71.06
Taylor, Donald Trump, Republican, 72.39
Tucker, Donald Trump, Republican, 73.81
Tyler, Donald Trump, Republican, 81.99
Upshur, Donald Trump, Republican, 75.99
Wayne, Donald Trump, Republican, 73.46
Webster, Donald Trump, Republican, 77.3
Wetzel, Donald Trump, Republican, 72.13
Wirt, Donald Trump, Republican, 78.9
Wood, Donald Trump, Republican, 71.41
Wyoming, Donald Trump, Republican, 83.6
