Aleutians East, Donald Trump, Republican, 61.4
Aleutians West, Joe Biden, Democrat, 54.0
Anchorage, Joe Biden, Democrat, 48.9
Bethel, Joe Biden, Democrat, 60.4
Bristol Bay, Donald Trump, Republican, 60.1
Chugach, Donald Trump, Republican, 55.0
Copper River, Donald Trump, Republican, 66.9
Denali, Donald Trump, Republican, 54.8
Dillingham, Joe Biden, Democrat, 51.6
Fairbanks North Star, Donald Trump, Republican, 54.8
Haines, Joe Biden, Democrat, 59.7
Hoonah-Angoon, Joe Biden, Democrat, 71.5
Juneau, Joe Biden, Democrat, 59.8
Kenai Peninsula, Donald Trump, Republican, 64.1
Ketchikan Gateway, Donald Trump, Republican, 58.8
Kodiak Island, Donald Trump, Republican, 56.0
Kusilvak, Joe Biden, Democrat, 62.0
Lake and Peninsula, Joe Biden, Democrat, 55.3
Matanuska-Susitna, Donald Trump, Republican, 71.9
Nome, Joe Biden, Democrat, 58.1
North Slope, Donald Trump, Republican, 47.9
Northwest Arctic, Joe Biden, Democrat, 54.1
Petersburg, Donald Trump, Republican, 62.3
Prince of Wales-Hyder, Joe Biden, Democrat, 52.9
Sitka, Joe Biden, Democrat, 52.7
Skagway, Joe Biden, Democrat, 71.2
Southeast Fairbanks, Donald Trump, Republican, 76.2
Wrangell, Donald Trump, Republican, 64.8
Yakutat, Joe Biden, Democrat, 50.5
Yukon-Koyukuk, Joe Biden, Democrat, 61.3
