Alameda, Joe Biden, Democrat, 80.21
Alpine, Joe Biden, Democrat, 64.24
Amador, Donald Trump, Republican, 60.91
Butte, Joe Biden, Democrat, 49.41
Calaveras, Donald Trump, Republican, 60.81
Colusa, Donald Trump, Republican, 57.27
Contra Costa, Joe Biden, Democrat, 71.63
Del Norte, Donald Trump, Republican, 56.41
El Dorado, Donald Trump, Republican, 53.24
Fresno, Joe Biden, Democrat, 52.9
Glenn, Donald Trump, Republican, 62.52
Humboldt, Joe Biden, Democrat, 65.03
Imperial, Joe Biden, Democrat, 61.11
Inyo, Joe Biden, Democrat, 48.86
Kern, Donald Trump, Republican, 53.88
Kings, Donald Trump, Republican, 54.88
Lake, Joe Biden, Democrat, 51.86
Lassen, Donald Trump, Republican, 74.98
Los Angeles, Joe Biden, Democrat, 71.03
Madera, Donald Trump, Republican, 54.68
Marin, Joe Biden, Democrat, 82.53
Mariposa, Donald Trump, Republican, 57.88
Mendocino, Joe Biden, Democrat, 66.41
Merced, Joe Biden, Democrat, 54.1
Modoc, Donald Trump, Republican, 71.59
Mono, Joe Biden, Democrat, 59.56
Monterey, Joe Biden, Democrat, 69.52
Napa, Joe Biden, Democrat, 69.05
Nevada, Joe Biden, Democrat, 56.15
Orange, Joe Biden, Democrat, 53.49
Placer, Donald Trump, Republican, 52.1
Plumas, Donald Trump, Republican, 57.24
Riverside, Joe Biden, Democrat, 52.98
Sacramento, Joe Biden, Democrat, 61.36
San Benito, Joe Biden, Democrat, 61.14
San Bernardino, Joe Biden, Democrat, 54.18
San Diego, Joe Biden, Democrat, 60.21
San Francisco, Joe Biden, Democrat, 85.26
San Joaquin, Joe Biden, Democrat, 55.85
San Luis Obispo, Joe Biden, Democrat, 55.29
San Mateo, Joe Biden, Democrat, 77.91
Santa Barbara, Joe Biden, Democrat, 64.87
Santa Clara, Joe Biden, Democrat, 72.64
Santa Cruz, Joe Biden, Democrat, 78.88
Shasta, Donald Trump, Republican, 65.41
Sierra, Donald Trump, Republican, 59.14
Siskiyou, Donald Trump, Republican, 56.62
Solano, Joe Biden, Democrat, 63.94
Sonoma, Joe Biden, Democrat, 74.52
Stanislaus, Joe Biden, Democrat, 49.24
Sutter, Donald Trump, Republican, 57.16
Tehama, Donald Trump, Republican, 66.62
Trinity, Donald Trump, Republican, 50.93
Tulare, Donald Trump, Republican, 52.82
Tuolumne, Donald Trump, Republican, 58.17
Ventura, Joe Biden, Democrat, 59.45
Yolo, Joe Biden, Democrat, 69.48
Yuba, Donald Trump, Republican, 59.32
