Adair, Donald Trump, Republican, 69.83
Adams, Donald Trump, Republican, 70.83
Allamakee, Donald Trump, Republican, 63.8
Appanoose, Donald Trump, Republican, 69.24
Audubon, Donald Trump, Republican, 67.11
Benton, Donald Trump, Republican, 62.75
Black Hawk, Joe Biden, Democrat, 53.53
Boone, Donald Trump, Republican, 56.68
Bremer, Donald Trump, Republican, 57.02
Buchanan, Donald Trump, Republican, 59.59
Buena Vista, Donald Trump, Republican, 61.91
Butler, Donald Trump, Republican, 68.44
Calhoun, Donald Trump, Republican, 70.16
Carroll, Donald Trump, Republican, 68.26
Cass, Donald Trump, Republican, 68.29
Cedar, Donald Trump, Republican, 57.56
Cerro Gordo, Donald Trump, Republican, 52.28
Cherokee, Donald Trump, Republican, 68.96
Chickasaw, Donald Trump, Republican, 64.97
Clarke, Donald Trump, Republican, 67.32
Clay, Donald Trump, Republican, 68.42
Clayton, Donald Trump, Republican, 63.64
Clinton, Donald Trump, Republican, 54.13
Crawford, Donald Trump, Republican, 67.85
Dallas, Donald Trump, Republican, 49.96
Davis, Donald Trump, Republican, 73.92
Decatur, Donald Trump, Republican, 68.74
Delaware, Donald Trump, Republican, 66.64
Des Moines, Donald Trump, Republican, 53.08
Dickinson, Donald Trump, Republican, 66.15
Dubuque, Donald Trump, Republican, 50.47
Emmet, Donald Trump, Republican, 67.28
Fayette, Donald Trump, Republican, 60.33
Floyd, Donald Trump, Republican, 58.91
Franklin, Donald Trump, Republican, 66.71
Fremont, Donald Trump, Republican, 70.29
Greene, Donald Trump, Republican, 63.73
Grundy, Donald Trump, Republican, 67.74
Guthrie, Donald Trump, Republican, 67.05
Hamilton, Donald Trump, Republican, 62.39
Hancock, Donald Trump, Republican, 71.13
Hardin, Donald Trump, Republican, 65.08
Harrison, Donald Trump, Republican, 68.29
Henry, Donald Trump, Republican, 65.19
Howard, Donald Trump, Republican, 63.07
Humboldt, Donald Trump, Republican, 71.69
Ida, Donald Trump, Republican, 74.82
Iowa, Donald Trump, Republican, 61.68
Jackson, Donald Trump, Republican, 62.33
Jasper, Donald Trump, Republican, 59.87
Jefferson, Donald Trump, Republican, 49.59
Johnson, Joe Biden, Democrat, 70.57
Jones, Donald Trump, Republican, 59.81
Keokuk, Donald Trump, Republican, 71.6
Kossuth, Donald Trump, Republican, 69.03
Lee, Donald Trump, Republican, 58.4
Linn, Joe Biden, Democrat, 55.61
Louisa, Donald Trump, Republican, 65.64
Lucas, Donald Trump, Republican, 70.99
Lyon, Donald Trump, Republican, 83.16
Madison, Donald Trump, Republican, 66.24
Mahaska, Donald Trump, Republican, 72.76
Marion, Donald Trump, Republican, 65.84
Marshall, Donald Trump, Republican, 52.77
Mills, Donald Trump, Republican, 67.55
Mitchell, Donald Trump, Republican, 63.16
Monona, Donald Trump, Republican, 68.7
Monroe, Donald Trump, Republican, 72.77
Montgomery, Donald Trump, Republican, 68.69
Muscatine, Donald Trump, Republican, 52.36
O'Brien, Donald Trump, Republican, 77.62
Osceola, Donald Trump, Republican, 80.83
Page, Donald Trump, Republican, 70.66
Palo Alto, Donald Trump, Republican, 67.97
Plymouth, Donald Trump, Republican, 73.95
Pocahontas, Donald Trump, Republican, 73.92
Polk, Joe Biden, Democrat, 56.52
Pottawattamie, Donald Trump, Republican, 57.38
Poweshiek, Donald Trump, Republican, 55.79
Ringgold, Donald Trump, Republican, 72.51
Sac, Donald Trump, Republican, 73.37
Scott, Joe Biden, Democrat, 50.68
Shelby, Donald Trump, Republican, 69.12
Sioux, Donald Trump, Republican, 82.31
Story, Joe Biden, Democrat, 57.16
Tama, Donald Trump, Republican, 58.61
Taylor, Donald Trump, Republican, 75.81
Union, Donald Trump, Republican, 64.83
Van Buren, Donald Trump, Republican, 75.42
Wapello, Donald Trump, Republican, 60.87
Warren, Donald Trump, Republican, 57.29
Washington, Donald Trump, Republican, 59.25
Wayne, Donald Trump, Republican, 75.2
Webster, Donald Trump, Republican, 61.37
Winnebago, Donald Trump, Republican, 62.09
Winneshiek, Donald Trump, Republican, 51.68
Woodbury, Donald Trump, Republican, 57.63
Worth, Donald Trump, Republican, 61.97
Wright, Donald Trump, Republican, 66.13
