Adair, Donald Trump, Republican, 62.05
Andrew, Donald Trump, Republican, 74.39
Atchison, Donald Trump, Republican, 78.14
Audrain, Donald Trump, Republican, 72.56
Barry, Donald Trump, Republican, 79.66
Barton, Donald Trump, Republican, 85.04
Bates, Donald Trump, Republican, 78.39
Benton, Donald Trump, Republican, 77.41
Bollinger, Donald Trump, Republican, 86.36
Boone, Joe Biden, Democrat, 54.91
Buchanan, Donald Trump, Republican, 61.34
Butler, Donald Trump, Republican, 80.49
Caldwell, Donald Trump, Republican, 79.56
Callaway, Donald Trump, Republican, 70.07
Camden, Donald Trump, Republican, 75.97
Cape Girardeau, Donald Trump, Republican, 71.68
Carroll, Donald Trump, Republican, 81.77
Carter, Donald Trump, Republican, 84.6
Cass, Donald Trump, Republican, 64.79
Cedar, Donald Trump, Republican, 82.17
Chariton, Donald Trump, Republican, 76.31
Christian, Donald Trump, Republican, 74.55
Clark, Donald Trump, Republican, 78.73
Clay, Donald Trump, Republican, 51.04
Clinton, Donald Trump, Republican, 71.63
Cole, Donald Trump, Republican, 65.99
Cooper, Donald Trump, Republican, 72.15
Crawford, Donald Trump, Republican, 79.51
Dade, Donald Trump, Republican, 82.88
Dallas, Donald Trump, Republican, 81.68
Daviess, Donald Trump, Republican, 79.31
DeKalb, Donald Trump, Republican, 79.04
Dent, Donald Trump, Republican, 83.83
Douglas, Donald Trump, Republican, 84.26
Dunklin, Donald Trump, Republican, 78.08
Franklin, Donald Trump, Republican, 70.89
Gasconade, Donald Trump, Republican, 78.53
Gentry, Donald Trump, Republican, 79.73
Greene, Donald Trump, Republican, 58.98
Grundy, Donald Trump, Republican, 80.8
Harrison, Donald Trump, Republican, 83.59
Henry, Donald Trump, Republican, 74.41
Hickory, Donald Trump, Republican, 78.07
Holt, Donald Trump, Republican, 84.34
Howard, Donald Trump, Republican, 69.78
Howell, Donald Trump, Republican, 81.4
Iron, Donald Trump, Republican, 78.31
Jackson, Joe Biden, Democrat, 60
Jasper, Donald Trump, Republican, 72.07
Jefferson, Donald Trump, Republican, 66.03
Johnson, Donald Trump, Republican, 66.99
Knox, Donald Trump, Republican, 80.15
Laclede, Donald Trump, Republican, 81.95
Lafayette, Donald Trump, Republican, 71.96
Lawrence, Donald Trump, Republican, 80.57
Lewis, Donald Trump, Republican, 77.09
Lincoln, Donald Trump, Republican, 75.29
Linn, Donald Trump, Republican, 76.2
Livingston, Donald Trump, Republican, 77.94
Macon, Donald Trump, Republican, 77.54
Madison, Donald Trump, Republican, 80.76
Maries, Donald Trump, Republican, 81.58
Marion, Donald Trump, Republican, 74.28
McDonald, Donald Trump, Republican, 82.46
Mercer, Donald Trump, Republican, 86.62
Miller, Donald Trump, Republican, 82.18
Mississippi, Donald Trump, Republican, 74.37
Moniteau, Donald Trump, Republican, 80.26
Monroe, Donald Trump, Republican, 77.56
Montgomery, Donald Trump, Republican, 77.36
Morgan, Donald Trump, Republican, 78.44
New Madrid, Donald Trump, Republican, 75.13
Newton, Donald Trump, Republican, 77.87
Nodaway, Donald Trump, Republican, 69.39
Oregon, Donald Trump, Republican, 81.18
Osage, Donald Trump, Republican, 85.22
Ozark, Donald Trump, Republican, 83.55
Pemiscot, Donald Trump, Republican, 71.84
Perry, Donald Trump, Republican, 81.05
Pettis, Donald Trump, Republican, 72.55
Phelps, Donald Trump, Republican, 68.89
Pike, Donald Trump, Republican, 76.19
Platte, Donald Trump, Republican, 50.49
Polk, Donald Trump, Republican, 78.66
Pulaski, Donald Trump, Republican, 71.66
Putnam, Donald Trump, Republican, 84.03
Ralls, Donald Trump, Republican, 77.64
Randolph, Donald Trump, Republican, 74.63
Ray, Donald Trump, Republican, 71.64
Reynolds, Donald Trump, Republican, 82.87
Ripley, Donald Trump, Republican, 84.64
Saline, Donald Trump, Republican, 67.77
Schuyler, Donald Trump, Republican, 80.18
Scotland, Donald Trump, Republican, 78.63
Scott, Donald Trump, Republican, 77.71
Shannon, Donald Trump, Republican, 81.03
Shelby, Donald Trump, Republican, 80.6
St. Charles, Donald Trump, Republican, 57.83
St. Clair, Donald Trump, Republican, 79.05
St. Francois, Donald Trump, Republican, 73.25
St. Louis, Joe Biden, Democrat, 61.17
St. Louis City, Joe Biden, Democrat, 82.24
Ste. Genevieve, Donald Trump, Republican, 69.91
Stoddard, Donald Trump, Republican, 85.54
Stone, Donald Trump, Republican, 80.07
Sullivan, Donald Trump, Republican, 79.89
Taney, Donald Trump, Republican, 78.01
Texas, Donald Trump, Republican, 83.76
Vernon, Donald Trump, Republican, 77.9
Warren, Donald Trump, Republican, 71.96
Washington, Donald Trump, Republican, 80.66
Wayne, Donald Trump, Republican, 84.84
Webster, Donald Trump, Republican, 79.24
Worth, Donald Trump, Republican, 79.22
Wright, Donald Trump, Republican, 85.28
