Adams, Donald Trump, Republican, 66.37
Allegheny, Joe Biden, Democrat, 59.61
Armstrong, Donald Trump, Republican, 75.58
Beaver, Donald Trump, Republican, 58.18
Bedford, Donald Trump, Republican, 83.5
Berks, Donald Trump, Republican, 53.39
Blair, Donald Trump, Republican, 71.24
Bradford, Donald Trump, Republican, 71.62
Bucks, Joe Biden, Democrat, 51.66
Butler, Donald Trump, Republican, 65.63
Cambria, Donald Trump, Republican, 68.13
Cameron, Donald Trump, Republican, 72.76
Carbon, Donald Trump, Republican, 65.37
Centre, Joe Biden, Democrat, 51.69
Chester, Joe Biden, Democrat, 57.99
Clarion, Donald Trump, Republican, 74.79
Clearfield, Donald Trump, Republican, 74.08
Clinton, Donald Trump, Republican, 67.53
Columbia, Donald Trump, Republican, 64.48
Crawford, Donald Trump, Republican, 67.99
Cumberland, Donald Trump, Republican, 54.53
Dauphin, Joe Biden, Democrat, 53.6
Delaware, Joe Biden, Democrat, 62.95
Elk, Donald Trump, Republican, 71.81
Erie, Joe Biden, Democrat, 49.81
Fayette, Donald Trump, Republican, 66.35
Forest, Donald Trump, Republican, 71.13
Franklin, Donald Trump, Republican, 70.86
Fulton, Donald Trump, Republican, 85.55
Greene, Donald Trump, Republican, 71.19
Huntingdon, Donald Trump, Republican, 74.86
Indiana, Donald Trump, Republican, 68.18
Jefferson, Donald Trump, Republican, 78.69
Juniata, Donald Trump, Republican, 80.12
Lackawanna, Joe Biden, Democrat, 53.71
Lancaster, Donald Trump, Republican, 57.17
Lawrence, Donald Trump, Republican, 64.24
Lebanon, Donald Trump, Republican, 65.22
Lehigh, Joe Biden, Democrat, 53.21
Luzerne, Donald Trump, Republican, 56.7
Lycoming, Donald Trump, Republican, 69.97
McKean, Donald Trump, Republican, 72.35
Mercer, Donald Trump, Republican, 62.36
Mifflin, Donald Trump, Republican, 77.53
Monroe, Joe Biden, Democrat, 52.56
Montgomery, Joe Biden, Democrat, 62.63
Montour, Donald Trump, Republican, 59.81
Northampton, Joe Biden, Democrat, 49.78
Northumberland, Donald Trump, Republican, 68.47
Perry, Donald Trump, Republican, 74.2
Philadelphia, Joe Biden, Democrat, 81.44
Pike, Donald Trump, Republican, 59.02
Potter, Donald Trump, Republican, 79.87
Schuylkill, Donald Trump, Republican, 69.22
Snyder, Donald Trump, Republican, 73.06
Somerset, Donald Trump, Republican, 77.61
Sullivan, Donald Trump, Republican, 72.85
Susquehanna, Donald Trump, Republican, 69.91
Tioga, Donald Trump, Republican, 74.7
Union, Donald Trump, Republican, 61.43
Venango, Donald Trump, Republican, 70
Warren, Donald Trump, Republican, 68.94
Washington, Donald Trump, Republican, 60.84
Wayne, Donald Trump, Republican, 66.35
Westmoreland, Donald Trump, Republican, 63.62
Wyoming, Donald Trump, Republican, 66.87
York, Donald Trump, Republican, 61.53
