Accomack, Donald Trump, Republican, 54.07
Albemarle, Joe Biden, Democrat, 65.68
Alexandria, Joe Biden, Democrat, 80.28
Alleghany, Donald Trump, Republican, 71.43
Amelia, Donald Trump, Republican, 68.29
Amherst, Donald Trump, Republican, 64.93
Appomattox, Donald Trump, Republican, 72.31
Arlington, Joe Biden, Democrat, 80.6
Augusta, Donald Trump, Republican, 72.65
Bath, Donald Trump, Republican, 73.33
Bedford, Donald Trump, Republican, 73.15
Bland, Donald Trump, Republican, 83.44
Botetourt, Donald Trump, Republican, 71.49
Bristol, Donald Trump, Republican, 68.5
Brunswick, Joe Biden, Democrat, 57.27
Buchanan, Donald Trump, Republican, 83.5
Buckingham, Donald Trump, Republican, 55.92
Buena Vista, Donald Trump, Republican, 67.11
Campbell, Donald Trump, Republican, 71.07
Caroline, Donald Trump, Republican, 51.18
Carroll, Donald Trump, Republican, 80.88
Charles City, Joe Biden, Democrat, 59.09
Charlotte, Donald Trump, Republican, 61.62
Charlottesville, Joe Biden, Democrat, 85.5
Chesapeake, Joe Biden, Democrat, 52.22
Chesterfield, Joe Biden, Democrat, 52.45
Clarke, Donald Trump, Republican, 55.61
Colonial Heights, Donald Trump, Republican, 65.68
Covington, Donald Trump, Republican, 60.7
Craig, Donald Trump, Republican, 80.03
Culpeper, Donald Trump, Republican, 59.05
Cumberland, Donald Trump, Republican, 56.85
Danville, Joe Biden, Democrat, 60.4
Dickenson, Donald Trump, Republican, 78.71
Dinwiddie, Donald Trump, Republican, 57.61
Emporia, Joe Biden, Democrat, 67.7
Essex, Donald Trump, Republican, 49.77
Fairfax City, Joe Biden, Democrat, 68.04
Fairfax, Joe Biden, Democrat, 69.89
Falls Church, Joe Biden, Democrat, 81.03
Fauquier, Donald Trump, Republican, 57.5
Floyd, Donald Trump, Republican, 66.17
Fluvanna, Donald Trump, Republican, 51.48
Franklin City, Joe Biden, Democrat, 62.22
Franklin, Donald Trump, Republican, 70.35
Frederick, Donald Trump, Republican, 62.74
Fredericksburg, Joe Biden, Democrat, 66.22
Galax, Donald Trump, Republican, 69.67
Giles, Donald Trump, Republican, 74.93
Gloucester, Donald Trump, Republican, 66.76
Goochland, Donald Trump, Republican, 58.8
Grayson, Donald Trump, Republican, 80.3
Greene, Donald Trump, Republican, 60.7
Greensville, Joe Biden, Democrat, 57.43
Halifax, Donald Trump, Republican, 57.09
Hampton, Joe Biden, Democrat, 70.14
Hanover, Donald Trump, Republican, 62.45
Harrisonburg, Joe Biden, Democrat, 64.51
Henrico, Joe Biden, Democrat, 63.65
Henry, Donald Trump, Republican, 64.07
Highland, Donald Trump, Republican, 71.23
Hopewell, Joe Biden, Democrat, 56.52
Isle of Wight, Donald Trump, Republican, 58.44
James City, Joe Biden, Democrat, 51.5
King and Queen, Donald Trump, Republican, 59.54
King George, Donald Trump, Republican, 59.38
King William, Donald Trump, Republican, 68.18
Lancaster, Donald Trump, Republican, 51.69
Lee, Donald Trump, Republican, 84.1
Lexington, Joe Biden, Democrat, 64.84
Loudoun, Joe Biden, Democrat, 61.54
Louisa, Donald Trump, Republican, 60.66
Lunenburg, Donald Trump, Republican, 58.95
Lynchburg, Joe Biden, Democrat, 49.63
Madison, Donald Trump, Republican, 65.2
Manassas, Joe Biden, Democrat, 61.03
Manassas Park, Joe Biden, Democrat, 65.58
Martinsville, Joe Biden, Democrat, 62.63
Mathews, Donald Trump, Republican, 66.96
Mecklenburg, Donald Trump, Republican, 57.18
Middlesex, Donald Trump, Republican, 61.84
Montgomery, Joe Biden, Democrat, 51.55
Nelson, Donald Trump, Republican, 51.65
New Kent, Donald Trump, Republican, 66.59
Newport News, Joe Biden, Democrat, 65.39
Norfolk, Joe Biden, Democrat, 71.69
Northampton, Joe Biden, Democrat, 54.47
Northumberland, Donald Trump, Republican, 57.39
Norton, Donald Trump, Republican, 69.27
Nottoway, Donald Trump, Republican, 56.89
Orange, Donald Trump, Republican, 59.91
Page, Donald Trump, Republican, 74.68
Patrick, Donald Trump, Republican, 78.51
Petersburg, Joe Biden, Democrat, 87.75
