Adams, Donald Trump, Republican, 66.65
Asotin, Donald Trump, Republican, 61.24
Benton, Donald Trump, Republican, 58.59
Chelan, Donald Trump, Republican, 52.52
Clallam, Joe Biden, Democrat, 50.18
Clark, Joe Biden, Democrat, 50.95
Columbia, Donald Trump, Republican, 70.3
Cowlitz, Donald Trump, Republican, 57.11
Douglas, Donald Trump, Republican, 60.8
Ferry, Donald Trump, Republican, 63.45
Franklin, Donald Trump, Republican, 55.67
Garfield, Donald Trump, Republican, 71.79
Grant, Donald Trump, Republican, 65.72
Grays Harbor, Donald Trump, Republican, 51.71
Island, Joe Biden, Democrat, 54.17
Jefferson, Joe Biden, Democrat, 69.39
King, Joe Biden, Democrat, 74.95
Kitsap, Joe Biden, Democrat, 56.9
Kittitas, Donald Trump, Republican, 53.5
Klickitat, Donald Trump, Republican, 53.37
Lewis, Donald Trump, Republican, 64.87
Lincoln, Donald Trump, Republican, 73.23
Mason, Donald Trump, Republican, 50.16
Okanogan, Donald Trump, Republican, 55.63
Pacific, Donald Trump, Republican, 49.44
Pend Oreille, Donald Trump, Republican, 66.97
Pierce, Joe Biden, Democrat, 53.76
San Juan, Joe Biden, Democrat, 73.69
Skagit, Joe Biden, Democrat, 52.1
Skamania, Donald Trump, Republican, 53.13
Snohomish, Joe Biden, Democrat, 58.51
Spokane, Donald Trump, Republican, 50.29
Stevens, Donald Trump, Republican, 69.67
Thurston, Joe Biden, Democrat, 57.46
Wahkiakum, Donald Trump, Republican, 58.4
Walla Walla, Donald Trump, Republican, 52.46
Whatcom, Joe Biden, Democrat, 60.35
Whitman, Joe Biden, Democrat, 52.94
Yakima, Donald Trump, Republican, 52.56
