Albany, Joe Biden, Democrat, 48.84
Big Horn, Donald Trump, Republican, 83.55
Campbell, Donald Trump, Republican, 86.76
Carbon, Donald Trump, Republican, 75.24
Converse, Donald Trump, Republican, 84.89
Crook, Donald Trump, Republican, 88.64
Fremont, Donald Trump, Republican, 66.3
Goshen, Donald Trump, Republican, 78.16
Hot Springs, Donald Trump, Republican, 77.57
Johnson, Donald Trump, Republican, 78.98
Laramie, Donald Trump, Republican, 62
Lincoln, Donald Trump, Republican, 82.57
Natrona, Donald Trump, Republican, 71.79
Niobrara, Donald Trump, Republican, 85.47
Park, Donald Trump, Republican, 76.65
Platte, Donald Trump, Republican, 79.18
Sheridan, Donald Trump, Republican, 72.09
Sublette, Donald Trump, Republican, 79.62
Sweetwater, Donald Trump, Republican, 73.66
Teton, Joe Biden, Democrat, 67.1
Uinta, Donald Trump, Republican, 79.73
Washakie, Donald Trump, Republican, 80.88
Weston, Donald Trump, Republican, 87.72
