Alachua, Kamala Harris, Democrat, 59.42
Baker, Donald Trump, Republican, 86.11
Bay, Donald Trump, Republican, 72.84
Bradford, Donald Trump, Republican, 78.27
Brevard, Donald Trump, Republican, 59.65
Broward, Kamala Harris, Democrat, 57.83
Calhoun, Donald Trump, Republican, 83.29
Charlotte, Donald Trump, Republican, 66.45
Citrus, Donald Trump, Republican, 72.41
Clay, Donald Trump, Republican, 68.9
Collier, Donald Trump, Republican, 65.89
Columbia, Donald Trump, Republican, 74.53
DeSoto, Donald Trump, Republican, 70.96
Dixie, Donald Trump, Republican, 84.77
Duval, Donald Trump, Republican, 49.92
Escambia, Donald Trump, Republican, 58.96
Flagler, Donald Trump, Republican, 63.59
Franklin, Donald Trump, Republican, 71.2
Gadsden, Kamala Harris, Democrat, 64.76
Gilchrist, Donald Trump, Republican, 83.27
Glades, Donald Trump, Republican, 76.11
Gulf, Donald Trump, Republican, 76.62
Hamilton, Donald Trump, Republican, 68.92
Hardee, Donald Trump, Republican, 77.65
Hendry, Donald Trump, Republican, 68.61
Hernando, Donald Trump, Republican, 67.94
Highlands, Donald Trump, Republican, 69.92
Hillsborough, Donald Trump, Republican, 50.68
Holmes, Donald Trump, Republican, 89.72
Indian River, Donald Trump, Republican, 63.06
Jackson, Donald Trump, Republican, 72.56
Jefferson, Donald Trump, Republican, 58.73
Lafayette, Donald Trump, Republican, 87.5
Lake, Donald Trump, Republican, 61.75
Lee, Donald Trump, Republican, 63.6
Leon, Kamala Harris, Democrat, 59.93
Levy, Donald Trump, Republican, 74.62
Liberty, Donald Trump, Republican, 82.89
Madison, Donald Trump, Republican, 64.01
Manatee, Donald Trump, Republican, 61.13
Marion, Donald Trump, Republican, 65.27
Martin, Donald Trump, Republican, 64.9
Miami-Dade, Donald Trump, Republican, 55.19
Monroe, Donald Trump, Republican, 58.57
Nassau, Donald Trump, Republican, 72.72
Okaloosa, Donald Trump, Republican, 70.31
Okeechobee, Donald Trump, Republican, 76.51
Orange, Kamala Harris, Democrat, 55.91
Osceola, Donald Trump, Republican, 50.04
Palm Beach, Kamala Harris, Democrat, 49.77
Pasco, Donald Trump, Republican, 61.87
Pinellas, Donald Trump, Republican, 51.89
Polk, Donald Trump, Republican, 59.71
Putnam, Donald Trump, Republican, 73.41
St. Johns, Donald Trump, Republican, 64.87
St. Lucie, Donald Trump, Republican, 54
Santa Rosa, Donald Trump, Republican, 74.67
Sarasota, Donald Trump, Republican, 58.48
Seminole, Donald Trump, Republican, 50.9
Sumter, Donald Trump, Republican, 68.3
Suwannee, Donald Trump, Republican, 79.98
Taylor, Donald Trump, Republican, 79.37
Union, Donald Trump, Republican, 83.64
Volusia, Donald Trump, Republican, 60.23
Wakulla, Donald Trump, Republican, 71.51
Walton, Donald Trump, Republican, 78.25
Washington, Donald Trump, Republican, 82.14
