Carson City, Donald Trump, Republican, 54.31
Churchill, Donald Trump, Republican, 73.78
Clark, Kamala Harris, Democrat, 50.44
Douglas, Donald Trump, Republican, 65.35
Elko, Donald Trump, Republican, 77.24
Esmeralda, Donald Trump, Republican, 81.56
Eureka, Donald Trump, Republican, 87.84
Humboldt, Donald Trump, Republican, 76.48
Lander, Donald Trump, Republican, 80
Lincoln, Donald Trump, Republican, 85.28
Lyon, Donald Trump, Republican, 71.14
Mineral, Donald Trump, Republican, 66.58
Nye, Donald Trump, Republican, 70.18
Pershing, Donald Trump, Republican, 76.43
Storey, Donald Trump, Republican, 68.55
Washoe, Kamala Harris, Democrat, 49.32
White Pine, Donald Trump, Republican, 77.32
