Anderson, Donald Trump, Republican, 67.26
Bedford, Donald Trump, Republican, 78.51
Benton, Donald Trump, Republican, 81.07
Bledsoe, Donald Trump, Republican, 84.87
Blount, Donald Trump, Republican, 73.24
Bradley, Donald Trump, Republican, 78.86
Campbell, Donald Trump, Republican, 84.46
Cannon, Donald Trump, Republican, 82.58
Carroll, Donald Trump, Republican, 80.35
Carter, Donald Trump, Republican, 81.15
Cheatham, Donald Trump, Republican, 72.26
Chester, Donald Trump, Republican, 81.91
Claiborne, Donald Trump, Republican, 84.7
Clay, Donald Trump, Republican, 82.9
Cocke, Donald Trump, Republican, 83.67
Coffee, Donald Trump, Republican, 76.91
Crockett, Donald Trump, Republican, 78.94
Cumberland, Donald Trump, Republican, 79.09
Davidson, Kamala Harris, Democrat, 62.7
Decatur, Donald Trump, Republican, 84.08
DeKalb, Donald Trump, Republican, 80.87
Dickson, Donald Trump, Republican, 75.39
Dyer, Donald Trump, Republican, 80.61
Fayette, Donald Trump, Republican, 70.71
Fentress, Donald Trump, Republican, 87.56
Franklin, Donald Trump, Republican, 76.12
Gibson, Donald Trump, Republican, 75.51
Giles, Donald Trump, Republican, 77.07
Grainger, Donald Trump, Republican, 86.52
Greene, Donald Trump, Republican, 82.28
Grundy, Donald Trump, Republican, 84.29
Hamblen, Donald Trump, Republican, 79.03
Hamilton, Donald Trump, Republican, 55.72
Hancock, Donald Trump, Republican, 87.96
Hardeman, Donald Trump, Republican, 61.63
Hardin, Donald Trump, Republican, 85.11
Hawkins, Donald Trump, Republican, 84.01
Haywood, Kamala Harris, Democrat, 49.77
Henderson, Donald Trump, Republican, 83.7
Henry, Donald Trump, Republican, 77.14
Hickman, Donald Trump, Republican, 80.17
Houston, Donald Trump, Republican, 78.45
Humphreys, Donald Trump, Republican, 77.44
Jackson, Donald Trump, Republican, 80.8
Jefferson, Donald Trump, Republican, 81.61
Johnson, Donald Trump, Republican, 84.29
Knox, Donald Trump, Republican, 58.96
Lake, Donald Trump, Republican, 77
Lauderdale, Donald Trump, Republican, 68.15
Lawrence, Donald Trump, Republican, 84.11
Lewis, Donald Trump, Republican, 82.38
Lincoln, Donald Trump, Republican, 81.89
Loudon, Donald Trump, Republican, 75.96
Macon, Donald Trump, Republican, 86.69
Madison, Donald Trump, Republican, 58.52
Marion, Donald Trump, Republican, 77.43
Marshall, Donald Trump, Republican, 77.85
Maury, Donald Trump, Republican, 71.75
McMinn, Donald Trump, Republican, 81.73
McNairy, Donald Trump, Republican, 83.76
Meigs, Donald Trump, Republican, 83.37
Monroe, Donald Trump, Republican, 82.99
Montgomery, Donald Trump, Republican, 58.46
Moore, Donald Trump, Republican, 83.74
Morgan, Donald Trump, Republican, 86.76
Obion, Donald Trump, Republican, 82.14
Overton, Donald Trump, Republican, 81.69
Perry, Donald Trump, Republican, 84.47
Pickett, Donald Trump, Republican, 82.63
Polk, Donald Trump, Republican, 83.67
Putnam, Donald Trump, Republican, 73.14
Rhea, Donald Trump, Republican, 82.9
Roane, Donald Trump, Republican, 76.65
Robertson, Donald Trump, Republican, 74.88
Rutherford, Donald Trump, Republican, 60.15
Scott, Donald Trump, Republican, 89.62
Sequatchie, Donald Trump, Republican, 82.66
Sevier, Donald Trump, Republican, 80.07
Shelby, Kamala Harris, Democrat, 61.8
Smith, Donald Trump, Republican, 81.99
Stewart, Donald Trump, Republican, 81.4
Sullivan, Donald Trump, Republican, 76.98
Sumner, Donald Trump, Republican, 70.34
Tipton, Donald Trump, Republican, 75.95
Trousdale, Donald Trump, Republican, 79.02
Unicoi, Donald Trump, Republican, 80.51
Union, Donald Trump, Republican, 85.18
Van Buren, Donald Trump, Republican, 83.25
Warren, Donald Trump, Republican, 77.53
Washington, Donald Trump, Republican, 69.08
Wayne, Donald Trump, Republican, 88.07
Weakley, Donald Trump, Republican, 78.7
White, Donald Trump, Republican, 82.88
Williamson, Donald Trump, Republican, 65.36
Wilson, Donald Trump, Republican, 69.44
