Adams, Donald Trump, Republican, 60.26
Ashland, Kamala Harris, Democrat, 51.5
Barron, Donald Trump, Republican, 62.39
Bayfield, Kamala Harris, Democrat, 54.33
Brown, Donald Trump, Republican, 52.99
Buffalo, Donald Trump, Republican, 64.36
Burnett, Donald Trump, Republican, 64.83
Calumet, Donald Trump, Republican, 59.21
Chippewa, Donald Trump, Republican, 60.82
Clark, Donald Trump, Republican, 68.32
Columbia, Donald Trump, Republican, 51.52
Crawford, Donald Trump, Republican, 56.16
Dane, Kamala Harris, Democrat, 74.88
Dodge, Donald Trump, Republican, 65.74
Door, Kamala Harris, Democrat, 50.44
Douglas, Kamala Harris, Democrat, 51.81
Dunn, Donald Trump, Republican, 57.35
Eau Claire, Kamala Harris, Democrat, 54.45
Florence, Donald Trump, Republican, 74.6
Fond du Lac, Donald Trump, Republican, 63.68
Forest, Donald Trump, Republican, 66.35
Grant, Donald Trump, Republican, 58.31
Green, Kamala Harris, Democrat, 49.39
Green Lake, Donald Trump, Republican, 67.48
Iowa, Kamala Harris, Democrat, 52.8
Iron, Donald Trump, Republican, 62.61
Jackson, Donald Trump, Republican, 59.07
Jefferson, Donald Trump, Republican, 57.37
Juneau, Donald Trump, Republican, 65.45
Kenosha, Donald Trump, Republican, 52.36
Kewaunee, Donald Trump, Republican, 66.22
La Crosse, Kamala Harris, Democrat, 53.98
Lafayette, Donald Trump, Republican, 59.51
Langlade, Donald Trump, Republican, 66.72
Lincoln, Donald Trump, Republican, 61.79
Manitowoc, Donald Trump, Republican, 60.89
Marathon, Donald Trump, Republican, 58.63
Marinette, Donald Trump, Republican, 68.28
Marquette, Donald Trump, Republican, 64.08
Menominee, Kamala Harris, Democrat, 80.53
Milwaukee, Kamala Harris, Democrat, 68.15
Monroe, Donald Trump, Republican, 62.32
Oconto, Donald Trump, Republican, 70.95
Oneida, Donald Trump, Republican, 58.06
Outagamie, Donald Trump, Republican, 54.34
Ozaukee, Donald Trump, Republican, 54.36
Pepin, Donald Trump, Republican, 64.26
Pierce, Donald Trump, Republican, 56.78
Polk, Donald Trump, Republican, 64.83
Portage, Kamala Harris, Democrat, 49.71
Price, Donald Trump, Republican, 65.07
Racine, Donald Trump, Republican, 52.33
Richland, Donald Trump, Republican, 55.85
Rock, Kamala Harris, Democrat, 52.82
Rusk, Donald Trump, Republican, 68.44
St. Croix, Donald Trump, Republican, 58.6
Sauk, Donald Trump, Republican, 50.02
Sawyer, Donald Trump, Republican, 57.65
Shawano, Donald Trump, Republican, 67.45
Sheboygan, Donald Trump, Republican, 57.37
Taylor, Donald Trump, Republican, 73.39
Trempealeau, Donald Trump, Republican, 60.08
Vernon, Donald Trump, Republican, 53.03
Vilas, Donald Trump, Republican, 60.97
Walworth, Donald Trump, Republican, 60.4
Washburn, Donald Trump, Republican, 63.42
Washington, Donald Trump, Republican, 67.4
Waukesha, Donald Trump, Republican, 59.02
Waupaca, Donald Trump, Republican, 66.09
Waushara, Donald Trump, Republican, 67.01
Winnebago, Donald Trump, Republican, 51.57
Wood, Donald Trump, Republican, 59.21
