Albany, Donald Trump, Republican, 49.95
Big Horn, Donald Trump, Republican, 84.86
Campbell, Donald Trump, Republican, 87.26
Carbon, Donald Trump, Republican, 77.53
Converse, Donald Trump, Republican, 85.41
Crook, Donald Trump, Republican, 87.59
Fremont, Donald Trump, Republican, 66.94
Goshen, Donald Trump, Republican, 79.25
Hot Springs, Donald Trump, Republican, 79.47
Johnson, Donald Trump, Republican, 80.36
Laramie, Donald Trump, Republican, 64.72
Lincoln, Donald Trump, Republican, 82.63
Natrona, Donald Trump, Republican, 72.73
Niobrara, Donald Trump, Republican, 89.79
Park, Donald Trump, Republican, 78.15
Platte, Donald Trump, Republican, 81.3
Sheridan, Donald Trump, Republican, 73.31
Sublette, Donald Trump, Republican, 79.31
Sweetwater, Donald Trump, Republican, 75.1
Teton, Kamala Harris, Democrat, 65.84
Uinta, Donald Trump, Republican, 80.12
Washakie, Donald Trump, Republican, 80.6
Weston, Donald Trump, Republican, 87.39
